ortho,phon,lemme,Lexique383 cgram,Lexique383 freqlemfilms2,Lexique383 freqfilms2,Lexique383 islem,Lexique383 nblettres,Lexique383 puorth,Lexique383 puphon,Lexique383 nbsyll,Lexique383 cgramortho,Megalex-auditory rt.m,Megalex-auditory rt.sd,Megalex-auditory rt.n,Megalex-auditory zrt.m,Megalex-auditory zrt.sd,Megalex-auditory zrt.n,Megalex-auditory acy,Megalex-auditory acy.n,Megalex-auditory nbphon,Megalex-auditory puPhon,Megalex-auditory pld20,Megalex-auditory accd,Megalex-auditory fb,Megalex-auditory ff,Megalex-auditory ft,node,freqlemfilms2,freqlemlivres,freqfilms2,freqlivres,all,replace,delins
raciaux,Rasjo,racial,ADJ,3.08,0.22,0,7,0,5,2,ADJ,1107.5085,175.45708,42,0.3084174404,0.852964,42,0.893617,47,5,5,1.75,561,0.20000001,0.22,0.42,104670,3.08,1.35,0.22,0.2,13,13,0
racine,Rasin,racine,NOM,12.53,5.17,1,6,6,5,2,NOM,1068.867,128.90001,42,0.0386792393,0.5851918,42,0.9767442,43,5,5,1.5,741,11.01000007,5.17,16.18,104672,12.53,31.96,5.17,11.01,40,30,10
racisme,Rasizm,racisme,NOM,2.09,2.09,1,7,6,5,2,"ADV,NOM",1181.4914,150.37073,43,0.8569733468,0.8583924,43,0.9782609,46,6,6,2.0,739,2.83999996,2.09,4.93,104682,0.0,0.07,0.0,0.07,2,0,2
racisme,Rasizm,racisme,NOM,2.09,2.09,1,7,6,5,2,"ADV,NOM",1181.4914,150.37073,43,0.8569733468,0.8583924,43,0.9782609,46,6,6,2.0,739,2.83999996,2.09,4.93,104683,2.09,2.97,2.09,2.77,2,0,2
racisme,Rasizm,racisme,ADV,0.0,0.0,1,7,6,5,2,"ADV,NOM",1181.4914,150.37073,43,0.8569733468,0.8583924,43,0.9782609,46,6,6,2.0,739,2.83999996,2.09,4.93,104682,0.0,0.07,0.0,0.07,2,0,2
racisme,Rasizm,racisme,ADV,0.0,0.0,1,7,6,5,2,"ADV,NOM",1181.4914,150.37073,43,0.8569733468,0.8583924,43,0.9782609,46,6,6,2.0,739,2.83999996,2.09,4.93,104683,2.09,2.97,2.09,2.77,2,0,2
raciste,Rasist,raciste,NOM,3.54,2.36,1,7,6,5,2,"ADJ,NOM",1137.4355,120.76699,45,0.6550387456,0.5980197,45,1.0,46,6,3,1.95,754,3.44999999,6.25,9.7,104685,4.97,3.45,3.89,2.03,4,2,2
raciste,Rasist,raciste,NOM,3.54,2.36,1,7,6,5,2,"ADJ,NOM",1137.4355,120.76699,45,0.6550387456,0.5980197,45,1.0,46,6,3,1.95,754,3.44999999,6.25,9.7,104686,3.54,2.7,2.36,1.42,4,2,2
raciste,Rasist,raciste,ADJ,4.97,3.89,1,7,6,5,2,"ADJ,NOM",1137.4355,120.76699,45,0.6550387456,0.5980197,45,1.0,46,6,3,1.95,754,3.44999999,6.25,9.7,104685,4.97,3.45,3.89,2.03,4,2,2
raciste,Rasist,raciste,ADJ,4.97,3.89,1,7,6,5,2,"ADJ,NOM",1137.4355,120.76699,45,0.6550387456,0.5980197,45,1.0,46,6,3,1.95,754,3.44999999,6.25,9.7,104686,3.54,2.7,2.36,1.42,4,2,2
racket,RakEt,racket,NOM,2.33,2.07,1,6,6,5,2,NOM,1073.7101,133.17433,48,0.0791874905,0.8610462,48,1.0,48,5,5,1.6,696,0.67999999,2.07,2.75,104690,2.33,0.68,2.07,0.68,26,21,5
racla,Rakla,racler,VER,1.36,0.0,0,5,0,0,2,VER,1152.1241,167.29782,38,0.5674212699,0.8487676,38,0.8444444,45,5,5,1.85,623,1.88999998,0.0,1.89,104698,1.36,12.5,0.0,1.89,21,15,6
raclait,RaklE,racler,VER,1.36,0.04,0,7,0,0,2,VER,1077.7307,119.28503,41,0.1483592108,0.858318,41,0.9347826,46,5,5,1.8,654,2.09,0.04,2.13,104702,1.36,12.5,0.04,2.09,32,17,15
raclant,Rakl@,racler,VER,1.36,0.06,0,7,6,5,2,"ADJ,VER",1137.4306,173.16784,45,0.4774339925,1.0289634,45,1.0,46,5,5,1.8,629,1.69,0.06,1.75,104704,1.36,12.5,0.06,1.49,24,16,8
raclant,Rakl@,raclant,ADJ,0.0,0.0,1,7,6,5,2,"ADJ,VER",1137.4306,173.16784,45,0.4774339925,1.0289634,45,1.0,46,5,5,1.8,629,1.69,0.06,1.75,104703,0.0,0.27,0.0,0.2,24,16,8
racle,Rakl,racler,VER,1.36,0.26,0,5,5,4,1,"NOM,VER",1071.041,281.38926,43,-0.224883882,1.2678606,43,0.9148936,47,4,4,1.5,515,1.61999999,0.26,1.88,104707,1.36,12.5,0.26,1.55,47,18,29
racle,Rakl,racle,NOM,0.0,0.0,1,5,5,4,1,"NOM,VER",1071.041,281.38926,43,-0.224883882,1.2678606,43,0.9148936,47,4,4,1.5,515,1.61999999,0.26,1.88,104706,0.0,0.07,0.0,0.07,47,18,29
raclement,Rakl°m@,raclement,NOM,0.07,0.07,1,9,6,5,3,NOM,1054.7977,107.93342,40,0.2734458305,0.7897098,40,0.9318182,44,7,6,2.85,600,1.15,0.07,1.22,104708,0.07,2.09,0.07,1.15,1,0,1
racler,Rakle,racler,VER,1.36,0.51,1,6,6,5,2,VER,1091.0322,166.3821,47,0.215889356,0.9722436,47,1.0,48,5,5,1.55,657,2.03000001,0.51,2.54,104711,1.36,12.5,0.51,2.03,40,25,15
raclure,RaklyR,raclure,NOM,1.73,1.48,1,7,5,5,2,NOM,1120.3825,164.50524,45,0.5772231492,0.8198608,45,1.0,46,6,5,1.9,762,0.88,1.48,2.36,104720,1.73,1.49,1.48,0.88,3,3,0
racolage,RakolaZ,racolage,NOM,0.57,0.57,1,8,6,6,3,NOM,1146.7631,223.59709,44,0.4517356179,0.9713694,44,0.9777778,45,7,6,2.05,822,0.54,0.57,1.11,104729,0.57,0.61,0.57,0.54,2,1,1
raconta,Rak§ta,raconter,VER,253.84,1.08,0,7,0,0,3,VER,1017.0807,129.17973,45,-0.3213769995,0.5941754,45,1.0,45,6,6,3.15,657,18.03999982,1.08,19.12,104748,253.84,261.89,1.08,18.04,18,13,5
racontai,Rak§tE,raconter,VER,253.84,0.26,0,8,0,0,3,VER,1023.4219,144.05923,47,-0.2183290009,0.9111668,47,0.9791667,48,6,6,3.45,642,3.10999998,0.26,3.37,104751,253.84,261.89,0.26,3.11,18,14,4
racontais,Rak§tE,raconter,VER,253.84,2.41,0,9,0,0,3,VER,1025.7004,128.40241,44,-0.2084969153,0.819398,44,1.0,45,6,6,3.45,675,4.99999999,2.41,7.41,104753,253.84,261.89,2.41,5.0,18,14,4
racontant,Rak§t@,raconter,VER,253.84,0.93,0,9,0,0,3,VER,1096.1394,179.06674,45,0.1926038154,0.9737414,45,1.0,45,6,6,2.95,629,6.14999997,0.93,7.08,104755,253.84,261.89,0.93,6.15,18,15,3
racontars,Rak§taR,racontar,NOM,1.11,1.08,0,9,0,7,3,NOM,1139.5965,245.48232,27,0.3580340487,1.2602693,27,0.7727273,44,7,7,3.5,842,1.75999999,1.08,2.84,104757,1.11,2.23,1.08,1.76,5,2,3
raconte,Rak§t,raconter,VER,253.84,78.06,0,7,0,0,2,VER,1110.4312,134.34886,43,0.2441342813,0.8251685,43,1.0,43,5,5,2.8,774,54.12000014,78.06,132.18,104759,253.84,261.89,78.06,54.12,24,6,18
radar,RadaR,radar,NOM,10.36,8.05,1,5,5,5,2,NOM,989.0559,145.5825,43,-0.5228034947,0.7021439,43,0.9555556,45,5,5,2.0,601,1.95999999,8.05,10.01,104798,10.36,2.7,8.05,1.96,3,2,1
radeau,Rado,radeau,NOM,3.27,2.97,1,6,6,4,2,NOM,1037.2677,147.11765,37,-0.0621323243,0.8792196,37,0.8604651,43,4,4,1.0,494,4.31999997,2.97,7.29,104803,3.27,5.2,2.97,4.32,46,34,12
radiaux,Radjo,radial,ADJ,0.34,0.02,0,7,0,5,2,ADJ,1177.5575,120.42601,43,0.8208864338,0.8043553,43,0.9375,48,5,5,1.65,644,0.0,0.02,0.02,104821,0.34,0.34,0.02,0.0,20,18,2
radier,Radje,radier,VER,1.33,0.2,1,6,6,5,2,"NOM,VER",1076.4108,162.67844,36,0.1309971486,0.9852768,36,0.8372093,43,5,5,1.45,530,0.07000001,0.23,0.3,104842,0.03,0.14,0.03,0.0,41,28,13
radier,Radje,radier,VER,1.33,0.2,1,6,6,5,2,"NOM,VER",1076.4108,162.67844,36,0.1309971486,0.9852768,36,0.8372093,43,5,5,1.45,530,0.07000001,0.23,0.3,104843,1.33,0.27,0.2,0.07,41,28,13
radier,Radje,radier,NOM,0.03,0.03,1,6,6,5,2,"NOM,VER",1076.4108,162.67844,36,0.1309971486,0.9852768,36,0.8372093,43,5,5,1.45,530,0.07000001,0.23,0.3,104842,0.03,0.14,0.03,0.0,41,28,13
