ortho,phon,lemme,Lexique383 cgram,Lexique383 freqlemfilms2,Lexique383 freqfilms2,Lexique383 islem,Lexique383 nblettres,Lexique383 puorth,Lexique383 puphon,Lexique383 nbsyll,Lexique383 cgramortho,Megalex-auditory rt.m,Megalex-auditory rt.sd,Megalex-auditory rt.n,Megalex-auditory zrt.m,Megalex-auditory zrt.sd,Megalex-auditory zrt.n,Megalex-auditory acy,Megalex-auditory acy.n,Megalex-auditory nbphon,Megalex-auditory puPhon,Megalex-auditory pld20,Megalex-auditory accd,Megalex-auditory fb,Megalex-auditory ff,Megalex-auditory ft,node,freqlemfilms2,freqlemlivres,freqfilms2,freqlivres,all,replace,delins
droite,dRwat,droite,NOM,58.7,58.44,1,6,6,5,1,"ADJ,NOM",928.4334,97.09275,48,-0.8138722314,0.5349033,48,1.0,48,5,5,1.95,597,195.9500022,94.77,290.72,39002,58.7,117.97,58.44,116.69,7,0,7
droite,dRwat,droit,ADJ,77.74,36.33,0,6,6,5,1,"ADJ,NOM",928.4334,97.09275,48,-0.8138722314,0.5349033,48,1.0,48,5,5,1.95,597,195.9500022,94.77,290.72,39001,77.74,163.38,36.33,79.26,7,0,7
drôle,dRol,drôle,ADJ,144.48,138.46,1,5,5,4,1,"ADJ,NOM",945.6131,132.01861,45,-0.79462094,0.6980845,45,1.0,45,4,4,1.65,543,99.92999924,152.05,251.98,39066,144.48,95.07,138.46,85.47,15,10,5
drôle,dRol,drôle,ADJ,144.48,138.46,1,5,5,4,1,"ADJ,NOM",945.6131,132.01861,45,-0.79462094,0.6980845,45,1.0,45,4,4,1.65,543,99.92999924,152.05,251.98,39067,18.73,21.01,13.59,14.46,15,10,5
drôle,dRol,drôle,NOM,18.73,13.59,1,5,5,4,1,"ADJ,NOM",945.6131,132.01861,45,-0.79462094,0.6980845,45,1.0,45,4,4,1.65,543,99.92999924,152.05,251.98,39066,144.48,95.07,138.46,85.47,15,10,5
drôle,dRol,drôle,NOM,18.73,13.59,1,5,5,4,1,"ADJ,NOM",945.6131,132.01861,45,-0.79462094,0.6980845,45,1.0,45,4,4,1.65,543,99.92999924,152.05,251.98,39067,18.73,21.01,13.59,14.46,15,10,5
drôlement,dRol°m@,drôlement,ADV,10.79,10.79,1,9,6,6,3,ADV,1051.5507,148.1555,45,-0.0097413776,0.8530112,45,0.9787234,47,6,6,2.8,649,24.85999997,10.79,35.65,39068,10.79,24.86,10.79,24.86,4,4,0
du,dy,du,ART:def,4394.7,4394.7,1,2,2,2,1,ART:def,907.6804,165.10644,45,-0.9869999117,1.0245094,45,0.9782609,46,2,2,1.0,329,6882.15992224,4394.7,11276.86,39078,4394.7,6882.16,4394.7,6882.16,203,143,60
duc,dyk,duc,NOM,12.4,7.66,1,3,3,3,1,NOM,1015.8468,163.46022,50,-0.2281999119,1.0134124,50,0.9615385,52,3,3,1.3,522,14.80000011,7.66,22.46,39090,12.4,23.51,7.66,14.8,57,40,17
duel,d8El,duel,NOM,7.54,6.17,1,4,4,4,1,NOM,975.5851,124.9627,44,-0.5370775132,0.7130528,44,0.9777778,45,4,4,1.8,544,4.92999995,6.17,11.1,39113,7.54,5.95,6.17,4.93,6,6,0
dune,dyn,dune,NOM,3.96,1.55,1,4,4,3,1,NOM,989.824,210.64059,48,-0.5691193325,0.9646566,48,0.98,50,3,3,1.35,483,3.44999999,1.55,5.0,39132,3.96,12.84,1.55,3.45,70,51,19
duo,d8o,duo,NOM,2.58,2.49,1,3,3,3,1,NOM,1068.0887,188.96088,49,0.0882017306,0.9821192,49,0.98,50,3,3,1.85,506,2.09,2.49,4.58,39137,2.58,2.5,2.49,2.09,4,2,2
dupe,dyp,duper,VER,4.77,0.28,0,4,4,3,1,"ADJ,NOM,VER",944.016,143.88014,44,-0.7464374901,0.836277,44,0.9361702,47,3,3,1.55,393,8.51000007,3.0,11.51,39149,4.77,2.7,0.28,0.27,49,28,21
dupe,dyp,dupe,ADJ,2.71,2.37,1,4,4,3,1,"ADJ,NOM,VER",944.016,143.88014,44,-0.7464374901,0.836277,44,0.9361702,47,3,3,1.55,393,8.51000007,3.0,11.51,39147,2.71,8.51,2.37,7.36,49,28,21
dupe,dyp,dupe,ADJ,2.71,2.37,1,4,4,3,1,"ADJ,NOM,VER",944.016,143.88014,44,-0.7464374901,0.836277,44,0.9361702,47,3,3,1.55,393,8.51000007,3.0,11.51,39148,1.01,1.28,0.35,0.88,49,28,21
dupe,dyp,dupe,NOM,1.01,0.35,1,4,4,3,1,"ADJ,NOM,VER",944.016,143.88014,44,-0.7464374901,0.836277,44,0.9361702,47,3,3,1.55,393,8.51000007,3.0,11.51,39147,2.71,8.51,2.37,7.36,49,28,21
dupe,dyp,dupe,NOM,1.01,0.35,1,4,4,3,1,"ADJ,NOM,VER",944.016,143.88014,44,-0.7464374901,0.836277,44,0.9361702,47,3,3,1.55,393,8.51000007,3.0,11.51,39148,1.01,1.28,0.35,0.88,49,28,21
duper,dype,duper,VER,4.77,1.96,1,5,5,4,2,VER,945.2789,90.82522,41,-0.7607965534,0.6828838,41,0.9761905,42,4,4,1.75,453,1.34999999,1.96,3.31,39151,4.77,2.7,1.96,1.35,28,17,11
dur,dyR,dur,ADV,1.31,1.31,1,3,3,3,1,"ADJ,ADV,NOM",898.5869,177.10291,47,-1.0885811646,0.8979595,47,0.9791667,48,3,3,1.25,508,95.20999897,163.06,258.27,39179,187.84,146.69,145.55,80.68,99,67,32
dur,dyR,dur,ADV,1.31,1.31,1,3,3,3,1,"ADJ,ADV,NOM",898.5869,177.10291,47,-1.0885811646,0.8979595,47,0.9791667,48,3,3,1.25,508,95.20999897,163.06,258.27,39180,1.31,0.54,1.31,0.54,99,67,32
dur,dyR,dur,ADV,1.31,1.31,1,3,3,3,1,"ADJ,ADV,NOM",898.5869,177.10291,47,-1.0885811646,0.8979595,47,0.9791667,48,3,3,1.25,508,95.20999897,163.06,258.27,39181,20.68,16.96,16.2,13.99,99,67,32
dur,dyR,dur,ADJ,187.84,145.55,1,3,3,3,1,"ADJ,ADV,NOM",898.5869,177.10291,47,-1.0885811646,0.8979595,47,0.9791667,48,3,3,1.25,508,95.20999897,163.06,258.27,39179,187.84,146.69,145.55,80.68,99,67,32
dur,dyR,dur,ADJ,187.84,145.55,1,3,3,3,1,"ADJ,ADV,NOM",898.5869,177.10291,47,-1.0885811646,0.8979595,47,0.9791667,48,3,3,1.25,508,95.20999897,163.06,258.27,39180,1.31,0.54,1.31,0.54,99,67,32
dur,dyR,dur,ADJ,187.84,145.55,1,3,3,3,1,"ADJ,ADV,NOM",898.5869,177.10291,47,-1.0885811646,0.8979595,47,0.9791667,48,3,3,1.25,508,95.20999897,163.06,258.27,39181,20.68,16.96,16.2,13.99,99,67,32
dur,dyR,dur,NOM,20.68,16.2,1,3,3,3,1,"ADJ,ADV,NOM",898.5869,177.10291,47,-1.0885811646,0.8979595,47,0.9791667,48,3,3,1.25,508,95.20999897,163.06,258.27,39179,187.84,146.69,145.55,80.68,99,67,32
dur,dyR,dur,NOM,20.68,16.2,1,3,3,3,1,"ADJ,ADV,NOM",898.5869,177.10291,47,-1.0885811646,0.8979595,47,0.9791667,48,3,3,1.25,508,95.20999897,163.06,258.27,39180,1.31,0.54,1.31,0.54,99,67,32
dur,dyR,dur,NOM,20.68,16.2,1,3,3,3,1,"ADJ,ADV,NOM",898.5869,177.10291,47,-1.0885811646,0.8979595,47,0.9791667,48,3,3,1.25,508,95.20999897,163.06,258.27,39181,20.68,16.96,16.2,13.99,99,67,32
dura,dyRa,durer,VER,74.39,1.56,0,4,0,0,2,VER,1031.0674,123.67343,43,-0.1087303612,0.6402466,43,0.9782609,46,4,4,1.5,525,12.70000009,1.56,14.26,39182,74.39,101.62,1.56,12.7,50,26,24
durable,dyRabl,durable,ADJ,2.13,1.61,1,7,7,6,2,ADJ,987.5434,96.01184,45,-0.5039134119,0.4160895,45,0.9782609,46,6,6,1.9,701,4.72999997,1.61,6.34,39184,2.13,5.95,1.61,4.73,4,2,2
duraient,dyRE,durer,VER,74.39,0.43,0,8,0,0,2,VER,1042.4304,218.71988,41,-0.3021615392,1.0696934,41,0.9318182,44,4,4,1.65,467,2.03000001,0.43,2.46,39187,74.39,101.62,0.43,2.03,58,41,17
durant,dyR@,durant,PRE,34.15,34.15,1,6,5,4,2,"NOM,PRE,VER",1015.95,186.15245,48,-0.3378309218,1.0042929,48,1.0,48,4,4,1.75,511,73.25000034,37.31,110.56,39193,0.02,0.0,0.02,0.0,32,15,17
durant,dyR@,durant,PRE,34.15,34.15,1,6,5,4,2,"NOM,PRE,VER",1015.95,186.15245,48,-0.3378309218,1.0042929,48,1.0,48,4,4,1.75,511,73.25000034,37.31,110.56,39194,34.15,65.95,34.15,65.95,32,15,17
durant,dyR@,durant,NOM,0.02,0.02,1,6,5,4,2,"NOM,PRE,VER",1015.95,186.15245,48,-0.3378309218,1.0042929,48,1.0,48,4,4,1.75,511,73.25000034,37.31,110.56,39193,0.02,0.0,0.02,0.0,32,15,17
durant,dyR@,durant,NOM,0.02,0.02,1,6,5,4,2,"NOM,PRE,VER",1015.95,186.15245,48,-0.3378309218,1.0042929,48,1.0,48,4,4,1.75,511,73.25000034,37.31,110.56,39194,34.15,65.95,34.15,65.95,32,15,17
durant,dyR@,durer,VER,74.39,3.14,0,6,5,4,2,"NOM,PRE,VER",1015.95,186.15245,48,-0.3378309218,1.0042929,48,1.0,48,4,4,1.75,511,73.25000034,37.31,110.56,39195,74.39,101.62,3.14,7.3,32,15,17
durci,dyRsi,durci,ADJ,0.22,0.16,1,5,5,5,2,"ADJ,VER",944.9554,177.38646,49,-0.9429419099,0.9329454,49,0.98,50,5,5,1.85,487,3.63999999,0.3,3.94,39197,0.22,4.12,0.16,1.55,15,2,13
durci,dyRsi,durcir,VER,1.79,0.14,0,5,5,5,2,"ADJ,VER",944.9554,177.38646,49,-0.9429419099,0.9329454,49,0.98,50,5,5,1.85,487,3.63999999,0.3,3.94,39198,1.79,13.99,0.14,2.09,15,2,13
durcir,dyRsiR,durcir,VER,1.79,0.73,1,6,6,6,2,VER,1005.4564,183.7457,47,-0.2805582732,1.1387419,47,1.0,47,6,6,2.0,743,2.22999998,0.73,2.96,39203,1.79,13.99,0.73,2.23,13,2,11
durement,dyR°m@,durement,ADV,3.27,3.27,1,8,5,5,3,ADV,1094.3981,202.86996,40,0.1098446658,1.1097791,40,0.9090909,44,5,5,2.7,551,12.97000012,3.27,16.24,39221,3.27,12.97,3.27,12.97,3,3,0
durer,dyRe,durer,VER,74.39,20.59,1,5,5,4,2,VER,978.095,147.19325,44,-0.5788415576,0.7368988,44,1.0,45,4,4,1.4,470,24.04999999,20.59,44.64,39224,74.39,101.62,20.59,24.05,81,58,23
durera,dyR°Ra,durer,VER,74.39,8.35,0,6,0,0,3,VER,1121.6601,138.19927,48,0.2926604641,0.7687831,48,0.9795918,49,5,6,3.65,639,4.72999997,8.35,13.08,39225,74.39,101.62,8.35,4.73,14,12,2
durerai,dyR°RE,durer,VER,74.39,0.19,0,7,0,0,3,VER,991.491,149.7625,42,-0.5727068685,0.7031831,42,0.9347826,46,5,6,3.6,470,0.20000001,0.19,0.39,39226,74.39,101.62,0.19,0.2,9,8,1
durerait,dyR°RE,durer,VER,74.39,1.16,0,8,0,0,3,VER,1105.2059,137.94511,42,0.3843058314,0.6487718,42,0.9545455,44,5,6,3.6,673,3.31,1.16,4.47,39229,74.39,101.62,1.16,3.31,9,8,1
durèrent,dyRER,durer,VER,74.39,0.04,0,8,0,0,2,VER,1071.621,165.54998,43,0.0797721036,1.0313819,43,0.877551,49,5,4,1.95,618,1.34999999,0.04,1.39,39248,74.39,101.62,0.04,1.35,5,2,3
dureté,dyR°te,dureté,NOM,1.56,1.56,1,6,5,5,3,NOM,1092.2865,190.15403,45,0.1267822938,0.9066155,45,0.9375,48,5,5,2.65,629,11.35000007,1.56,12.91,39236,1.56,12.23,1.56,11.35,16,16,0
duvet,dyvE,duvet,NOM,1.7,1.58,1,5,5,4,2,NOM,1023.0216,176.74894,45,-0.2330437029,1.0906719,45,0.9375,48,4,4,2.0,533,7.56999996,1.58,9.15,39262,1.7,8.85,1.58,7.57,12,12,0
ébahi,ebai,ébahi,ADJ,0.27,0.13,1,5,5,4,3,"ADJ,VER",969.7621,174.01246,46,-0.6976281272,0.8655281,46,0.9583333,48,4,4,1.95,513,2.09999997,0.29,2.39,137800,0.27,3.18,0.13,1.49,7,1,6
ébahi,ebai,ébahir,VER,0.46,0.16,0,5,5,4,3,"ADJ,VER",969.7621,174.01246,46,-0.6976281272,0.8655281,46,0.9583333,48,4,4,1.95,513,2.09999997,0.29,2.39,137801,0.46,1.96,0.16,0.61,7,1,6
ébats,eba,ébat,NOM,0.41,0.41,0,5,0,0,2,NOM,991.233,203.8891,38,-0.7083742229,1.0123384,38,0.8666667,45,3,3,1.75,342,2.3,0.41,2.71,137820,0.41,2.3,0.41,2.3,29,8,21
ébaucha,eboSa,ébaucher,VER,0.05,0.0,0,7,0,0,3,VER,1077.9267,194.45996,40,0.1380280253,1.1326574,40,0.8541667,48,5,5,2.35,588,2.36000002,0.0,2.36,137836,0.05,7.97,0.0,2.36,20,16,4
ébauchant,eboS@,ébaucher,VER,0.05,0.0,0,9,0,0,3,VER,1097.1766,233.12938,40,0.171253885,1.3157117,40,0.8333333,48,5,5,2.35,553,0.67999999,0.0,0.68,137841,0.05,7.97,0.0,0.68,21,16,5
ébauche,eboS,ébaucher,VER,0.05,0.01,0,7,7,4,2,"NOM,VER",1039.6713,151.96952,43,-0.0547389929,0.9931644,43,0.9777778,45,4,4,1.85,615,5.13999998,1.18,6.32,137843,0.05,7.97,0.01,0.68,25,5,20
ébauche,eboS,ébauche,NOM,1.33,1.17,1,7,7,4,2,"NOM,VER",1039.6713,151.96952,43,-0.0547389929,0.9931644,43,0.9777778,45,4,4,1.85,615,5.13999998,1.18,6.32,137842,1.33,5.47,1.17,4.46,25,5,20
ébaucher,eboSe,ébaucher,VER,0.05,0.03,1,8,8,5,3,VER,949.8988,113.33042,45,-0.7401560967,0.6328323,45,0.92,50,5,5,1.85,557,1.15,0.03,1.18,137845,0.05,7.97,0.03,1.15,31,15,16
ébène,ebEn,ébène,NOM,0.51,0.51,1,5,3,4,2,"ADJ,NOM",1051.0368,172.21468,43,-0.0721062382,0.8108019,43,0.877551,49,4,3,1.85,526,4.45999997,0.62,5.08,138018,0.11,0.2,0.11,0.2,7,5,2
ébène,ebEn,ébène,NOM,0.51,0.51,1,5,3,4,2,"ADJ,NOM",1051.0368,172.21468,43,-0.0721062382,0.8108019,43,0.877551,49,4,3,1.85,526,4.45999997,0.62,5.08,138019,0.51,4.26,0.51,4.26,7,5,2
ébène,ebEn,ébène,ADJ,0.11,0.11,1,5,3,4,2,"ADJ,NOM",1051.0368,172.21468,43,-0.0721062382,0.8108019,43,0.877551,49,4,3,1.85,526,4.45999997,0.62,5.08,138018,0.11,0.2,0.11,0.2,7,5,2
ébène,ebEn,ébène,ADJ,0.11,0.11,1,5,3,4,2,"ADJ,NOM",1051.0368,172.21468,43,-0.0721062382,0.8108019,43,0.877551,49,4,3,1.85,526,4.45999997,0.62,5.08,138019,0.51,4.26,0.51,4.26,7,5,2
éboueur,ebw9R,éboueur,NOM,1.93,0.97,1,7,6,3,2,NOM,1052.9109,172.69583,42,-0.1429913251,0.7601851,42,1.0,42,5,4,2.45,780,0.61000001,0.97,1.58,137904,1.93,2.7,0.97,0.61,1,0,1
ébranla,ebR@la,ébranler,VER,3.37,0.15,0,7,0,0,3,VER,1050.6216,127.68336,47,-0.057978619,0.8981936,47,1.0,47,6,6,2.6,639,3.85000002,0.15,4.0,137961,3.37,23.45,0.15,3.85,12,9,3
ébranlait,ebR@lE,ébranler,VER,3.37,0.01,0,9,0,0,3,VER,1017.4604,125.94021,49,-0.2185773462,0.620575,49,1.0,50,6,6,2.65,647,2.69999997,0.01,2.71,137963,3.37,23.45,0.01,2.7,15,9,6
ébranle,ebR@l,ébranler,VER,3.37,0.22,0,7,0,0,2,VER,1052.3828,185.39644,40,-0.0522095347,1.0164642,40,0.9318182,44,5,5,2.0,470,2.97000003,0.22,3.19,137965,3.37,23.45,0.22,2.97,15,0,15
ébranler,ebR@le,ébranler,VER,3.37,1.35,1,8,8,6,3,VER,1002.9741,139.18614,43,-0.3321708899,0.716678,43,0.9555556,45,6,6,2.2,666,3.78000004,1.35,5.13,137969,3.37,23.45,1.35,3.78,17,8,9
ébrécher,ebReSe,ébrécher,VER,0.74,0.0,1,8,7,6,3,VER,1131.2991,203.80076,39,0.2904354994,1.116487,39,0.8863636,44,6,6,1.95,662,0.14,0.0,0.14,138006,0.74,0.95,0.0,0.14,4,4,0
ébroua,ebRua,ébrouer,VER,0.01,0.0,0,6,0,0,3,VER,1148.5206,201.46841,30,0.4948279248,0.7487944,30,0.6666667,48,5,5,2.05,657,1.75999999,0.0,1.76,137982,0.01,8.11,0.0,1.76,8,6,2
écaillant,ekaj@,écailler,VER,0.74,0.0,0,9,0,0,3,VER,983.2482,141.96811,40,-0.4763868052,0.6225012,40,0.8510638,47,5,5,1.85,521,0.34000001,0.0,0.34,138027,0.74,4.66,0.0,0.34,23,17,6
écaille,ekaj,écailler,VER,0.74,0.19,0,7,7,4,2,"NOM,VER",961.7883,126.17633,42,-0.6099725757,0.7425213,42,1.0,44,4,4,1.6,591,7.10000002,0.76,7.86,138029,0.74,4.66,0.19,0.95,32,12,20
écaille,ekaj,écaille,NOM,1.42,0.57,1,7,7,4,2,"NOM,VER",961.7883,126.17633,42,-0.6099725757,0.7425213,42,1.0,44,4,4,1.6,591,7.10000002,0.76,7.86,138028,1.42,11.35,0.57,6.15,32,12,20
écaillé,ekaje,écailler,VER,0.74,0.04,0,7,7,5,3,"VER,ADJ",1027.0303,163.62292,45,-0.3189162322,0.8071459,45,0.9574468,47,5,5,1.7,557,1.28000002,0.06,1.34,138045,0.74,4.66,0.04,0.27,36,23,13
écaillé,ekaje,écaillé,ADJ,0.07,0.02,1,7,7,5,3,"VER,ADJ",1027.0303,163.62292,45,-0.3189162322,0.8071459,45,0.9574468,47,5,5,1.7,557,1.28000002,0.06,1.34,138046,0.07,2.97,0.02,1.01,36,23,13
écailleur,ekaj9R,écailleur,NOM,0.0,0.0,1,9,9,5,3,NOM,1185.6365,206.21036,31,0.7635137386,1.1278861,31,0.673913,46,6,5,1.95,748,0.07000001,0.0,0.07,138038,0.0,0.07,0.0,0.07,3,3,0
écart,ekaR,écart,NOM,14.71,14.36,1,5,5,4,2,NOM,1065.9091,126.3553,42,0.1154927355,0.8166564,42,0.8958333,48,4,4,1.5,591,32.29999973,14.36,46.66,138077,14.71,34.53,14.36,32.3,50,23,27
écarta,ekaRta,écarter,VER,24.83,0.51,0,6,0,0,3,VER,1012.3569,157.62555,47,-0.5100374615,0.7392506,47,1.0,47,6,6,1.95,551,13.72,0.51,14.23,138078,24.83,92.36,0.51,13.72,24,19,5
écartai,ekaRtE,écarter,VER,24.83,0.0,0,7,0,0,3,VER,1028.7398,274.49436,48,-0.3329514739,1.0954653,48,0.9795918,49,6,6,2.15,606,1.88999998,0.0,1.89,138079,24.83,92.36,0.0,1.89,25,19,6
écartait,ekaRtE,écarter,VER,24.83,0.51,0,8,0,0,3,VER,1007.3613,178.9568,48,-0.5244781754,0.7592392,48,0.9795918,49,6,6,2.15,608,7.23000009,0.51,7.74,138082,24.83,92.36,0.51,7.23,25,19,6
écartant,ekaRt@,écarter,VER,24.83,0.16,0,8,0,0,3,VER,1001.0932,142.37548,45,-0.5400486404,0.5552181,45,0.9782609,46,6,6,1.95,563,9.86000012,0.16,10.02,138083,24.83,92.36,0.16,9.86,23,20,3
écarte,ekaRt,écarter,VER,24.83,5.95,0,6,0,0,2,VER,1041.8415,153.24263,46,-0.1162275962,0.727361,46,0.9583333,48,5,5,1.8,636,13.4500001,5.95,19.4,138084,24.83,92.36,5.95,13.45,35,8,27
écartelé,ekaRt°le,écartelé,ADJ,0.19,0.04,1,8,8,7,4,"VER,ADJ,NOM",1153.5453,215.20417,43,0.4814606422,0.9294422,43,0.9555556,45,8,8,3.6,716,1.69999997,0.44,2.14,138091,0.19,1.96,0.04,0.68,5,5,0
écartelé,ekaRt°le,écartelé,ADJ,0.19,0.04,1,8,8,7,4,"VER,ADJ,NOM",1153.5453,215.20417,43,0.4814606422,0.9294422,43,0.9555556,45,8,8,3.6,716,1.69999997,0.44,2.14,138092,0.14,0.14,0.14,0.07,5,5,0
écartelé,ekaRt°le,écartelé,NOM,0.14,0.14,1,8,8,7,4,"VER,ADJ,NOM",1153.5453,215.20417,43,0.4814606422,0.9294422,43,0.9555556,45,8,8,3.6,716,1.69999997,0.44,2.14,138091,0.19,1.96,0.04,0.68,5,5,0
écartelé,ekaRt°le,écartelé,NOM,0.14,0.14,1,8,8,7,4,"VER,ADJ,NOM",1153.5453,215.20417,43,0.4814606422,0.9294422,43,0.9555556,45,8,8,3.6,716,1.69999997,0.44,2.14,138092,0.14,0.14,0.14,0.07,5,5,0
écartelé,ekaRt°le,écarteler,VER,0.42,0.26,0,8,8,7,4,"VER,ADJ,NOM",1153.5453,215.20417,43,0.4814606422,0.9294422,43,0.9555556,45,8,8,3.6,716,1.69999997,0.44,2.14,138090,0.42,3.18,0.26,0.95,5,5,0
échafaud,eSafo,échafaud,NOM,0.85,0.85,1,8,8,5,3,NOM,1168.7503,178.70829,44,0.6716441757,0.9256732,44,0.88,50,5,5,2.2,641,2.22999998,0.85,3.08,138142,0.85,2.43,0.85,2.23,4,0,4
échancrés,eS@kRe,échancré,ADJ,0.06,0.01,0,9,0,6,3,ADJ,1165.0152,183.32487,44,0.6710071354,0.8262048,44,0.9166667,48,6,6,2.65,708,0.20000001,0.01,0.21,138174,0.06,1.15,0.01,0.2,2,1,1
échange,eS@Z,échange,NOM,32.77,29.97,1,7,7,4,2,"NOM,VER",959.0375,97.27683,46,-0.645801234,0.5783762,46,1.0,46,4,4,1.9,691,26.96000019,35.04,62.0,138175,32.77,32.43,29.97,23.99,18,0,18
échange,eS@Z,échanger,VER,27.38,5.07,0,7,7,4,2,"NOM,VER",959.0375,97.27683,46,-0.645801234,0.5783762,46,1.0,46,4,4,1.9,691,26.96000019,35.04,62.0,138176,27.38,58.18,5.07,2.97,18,0,18
échangea,eS@Za,échanger,VER,27.38,0.02,0,8,0,0,3,VER,1026.1397,159.01879,49,-0.3004221303,0.6785641,49,1.0,49,5,5,2.4,619,2.03000001,0.02,2.05,138177,27.38,58.18,0.02,2.03,21,12,9
échanger,eS@Ze,échanger,VER,27.38,9.86,1,8,8,5,3,VER,971.0608,174.34655,48,-0.6536203468,0.837023,48,0.9795918,49,5,5,1.85,620,12.03000013,9.86,21.89,138186,27.38,58.18,9.86,12.03,27,11,16
échappa,eSapa,échapper,VER,95.07,0.28,0,7,0,0,3,VER,987.9951,128.69057,49,-0.4460093638,0.8019663,49,0.98,50,5,5,1.95,552,4.05000002,0.28,4.33,138220,95.07,132.64,0.28,4.05,25,21,4
échappais,eSapE,échapper,VER,95.07,0.28,0,9,0,0,3,VER,1043.2154,132.55512,45,-0.2955444999,0.6730498,45,0.9787234,47,5,5,2.05,606,1.07999998,0.28,1.36,138223,95.07,132.64,0.28,1.08,25,18,7
échappant,eSap@,échapper,VER,95.07,0.29,0,9,0,0,3,VER,1036.1519,159.31446,48,-0.1730328226,0.7738305,48,1.0,49,5,5,1.95,612,3.78000004,0.29,4.07,138225,95.07,132.64,0.29,3.78,24,21,3
échappe,eSap,échapper,VER,95.07,16.76,0,7,0,0,2,VER,1128.7827,204.17312,45,0.3947798662,1.0072634,45,0.9583333,48,4,4,1.7,621,18.64999979,16.76,35.41,138228,95.07,132.64,16.76,18.65,39,6,33
échapper,eSape,échapper,VER,95.07,39.72,1,8,8,5,3,VER,947.72,146.66216,44,-0.6562642654,0.9625715,44,1.0,44,5,5,1.9,581,48.03999983,39.72,87.76,138232,95.07,132.64,39.72,48.04,22,8,14
échappera,eSap°Ra,échapper,VER,95.07,2.76,0,9,0,0,4,VER,1048.0502,166.45789,50,-0.0820524083,0.9320946,50,1.0,50,6,7,3.9,632,1.28000002,2.76,4.04,138233,95.07,132.64,2.76,1.28,8,7,1
échappiez,eSapje,échapper,VER,95.07,0.09,0,9,0,0,3,VER,1266.6719,227.51051,33,1.174820325,1.1874189,33,0.7555556,45,6,6,1.95,678,0.07000001,0.09,0.16,138246,95.07,132.64,0.09,0.07,19,5,14
écharde,eSaRd,écharde,NOM,0.62,0.37,1,7,6,5,2,NOM,1105.2515,130.63121,44,0.4534627235,0.6642905,44,0.92,50,5,5,1.95,691,1.42000002,0.37,1.79,138264,0.62,2.91,0.37,1.42,5,5,0
écharpe,eSaRp,écharpe,NOM,5.14,4.68,1,7,7,5,2,"NOM,VER",1017.4606,139.38689,48,-0.1849405158,0.8374978,48,0.9795918,49,5,5,1.9,627,11.42000012,4.68,16.1,138268,5.14,13.92,4.68,11.22,8,2,6
écharpe,eSaRp,écharper,VER,0.07,0.0,0,7,7,5,2,"NOM,VER",1017.4606,139.38689,48,-0.1849405158,0.8374978,48,0.9795918,49,5,5,1.9,627,11.42000012,4.68,16.1,138269,0.07,1.08,0.0,0.2,8,2,6
écharpé,eSaRpe,écharper,VER,0.07,0.0,0,7,0,6,3,VER,1032.2824,182.14758,30,-0.2096093229,0.8460332,30,0.6888889,45,6,6,1.85,592,0.07000001,0.0,0.07,138275,0.07,1.08,0.0,0.07,20,1,19
échasses,eSas,échasse,NOM,0.42,0.38,0,8,0,4,2,NOM,1041.5159,147.78784,42,-0.2175473312,0.7345841,42,0.9333333,45,4,4,1.9,614,1.15,0.38,1.53,138278,0.42,1.15,0.38,1.15,16,9,7
échassier,eSasje,échassier,NOM,0.02,0.01,1,9,7,5,3,NOM,1089.2259,109.32898,32,0.139507204,0.6634836,32,0.7619048,42,6,6,1.9,648,2.57000003,0.01,2.58,138279,0.02,3.51,0.01,2.57,16,12,4
échaudés,eSode,échauder,VER,0.05,0.04,0,8,0,4,3,"VER,NOM",1077.415,225.59255,29,0.0177037567,1.0895415,29,0.6744186,43,5,5,1.9,575,0.34000001,0.04,0.38,138289,0.05,0.34,0.04,0.0,15,15,0
échaudés,eSode,échaudé,NOM,0.0,0.0,0,8,0,4,3,"VER,NOM",1077.415,225.59255,29,0.0177037567,1.0895415,29,0.6744186,43,5,5,1.9,575,0.34000001,0.04,0.38,138290,0.0,0.47,0.0,0.34,15,15,0
échauffe,eSof,échauffer,VER,3.27,0.59,0,8,0,0,2,VER,1078.1003,139.46416,40,0.1314578864,0.6745979,40,0.9148936,47,4,4,1.9,615,0.88,0.59,1.47,138296,3.27,6.76,0.59,0.88,18,0,18
échauffer,eSofe,échauffer,VER,3.27,1.4,1,9,9,5,3,VER,1032.9326,179.05852,44,-0.1426918993,1.014708,44,1.0,45,5,5,1.8,628,0.88,1.4,2.28,138300,3.27,6.76,1.4,0.88,39,21,18
échéance,eSe@s,échéance,NOM,2.47,2.13,1,8,8,5,3,NOM,985.9349,126.2932,48,-0.507626345,0.7054422,48,0.9795918,49,5,5,2.2,744,5.67999996,2.13,7.81,138415,2.47,6.69,2.13,5.68,3,0,3
échéant,eSe@,échéant,ADJ,0.47,0.47,1,7,7,4,3,ADJ,1162.4081,227.01486,46,0.5326965252,1.2194461,46,0.9387755,49,4,4,1.9,544,3.85000002,0.47,4.32,138418,0.47,3.85,0.47,3.85,4,1,3
échec,eSEk,échec,NOM,24.31,15.47,1,5,5,4,2,NOM,927.8083,120.54089,47,-0.8754074018,0.6541647,47,0.94,50,4,4,1.8,555,21.76000012,15.47,37.23,138311,24.31,33.72,15.47,21.76,14,8,6
