idx,degree
4584,2
4585,1
4592,5
4594,4
4610,1
4611,2
4618,2
4629,10
4632,1
4637,2
4644,2
4645,1
4648,1
4670,1
4673,1
4675,11
4678,2
4679,3
4681,3
4685,1
4687,3
4689,7
4690,1
4699,6
4714,1
4719,1
4721,1
4722,1
4723,1
4747,1
4748,2
4749,1
4750,1
4753,1
4755,1
4756,1
4763,1
4766,1
4768,1
4773,1
4776,1
4778,1
4779,1
4782,1
4808,9
4817,3
4821,4
4823,1
4831,15
4836,11
4846,8
4848,1
4854,1
4860,1
4865,8
4867,6
4868,5
4870,1
4872,1
4878,8
4881,14
4882,1
4883,8
4887,6
4893,8
4901,8
4904,1
4910,8
4912,1
4913,9
4914,8
4920,6
4922,11
4924,9
4925,2
4927,4
4931,2
4932,9
4934,4
4937,9
4944,6
4947,9
4950,3
4953,3
4955,3
4963,1
4970,1
4976,1
4977,1
4985,1
4987,1
4993,2
4998,1
5005,8
5012,1
5027,1
5028,1
5029,1
5032,1
5047,1
5048,1
5060,1
5061,1
5074,1
5081,1
5082,1
5086,1
5089,1
5091,1
5097,8
5098,5
5099,1
5100,4
5107,8
5113,4
5117,3
5122,1
5126,3
5129,1
5131,6
5142,1
5143,5
5145,15
5146,10
5147,5
5148,2
5149,9
5156,1
5157,1
5159,11
5160,7
5161,3
5163,2
5165,4
5167,3
5169,10
5180,6
5184,10
5187,2
5189,3
5190,10
5192,11
5193,9
5194,2
5199,1
5201,9
5203,7
5205,10
5206,2
5207,2
5211,1
5212,7
5213,9
5214,4
5215,7
5216,9
5219,3
5220,6
5221,6
5222,7
5228,4
5229,4
5230,6
5232,9
5233,1
5234,3
5236,2
5237,2
5239,4
5243,6
5244,3
5245,4
5252,7
5253,1
5255,2
5256,5
5257,5
5258,5
5259,5
5261,7
5262,2
5263,4
5264,2
5265,2
5268,4
5269,1
5270,3
5273,4
5275,1
5276,6
5277,2
5280,5
5282,5
5283,4
5284,2
5286,2
5289,2
5290,6
5291,8
5292,1
5294,7
5295,5
5296,5
5297,4
5300,2
5301,2
5302,6
5303,1
5304,5
5305,3
5306,1
5307,4
5308,4
5309,5
5311,5
5315,6
5317,3
5318,11
5320,10
5323,3
5324,1
5326,3
5327,12
5328,4
5329,1
5331,9
5332,10
5337,9
5339,10
5342,10
5344,3
5345,1
5346,1
5347,11
5352,5
5353,4
5354,2
5355,3
5356,1
5358,9
5359,10
5363,3
5364,10
5366,9
5378,3
5379,2
5381,10
5385,1
5388,2
5389,2
5390,2
5401,6
5402,6
5403,2
5404,2
5406,9
5407,5
5409,1
5411,4
5416,5
5419,1
