idx,name,ortho,phono
1071,1071,arson,arsN
1072,1072,art,art
1076,1076,artery,artXi
1081,1081,article,artIkL
1089,1089,artisan,art|z|n
1090,1090,artist,art|st
1091,1091,artiste,artist
1094,1094,artless,artlxs
1095,1095,arty,arti
1096,1096,arum,@rM
1097,1097,Aryan,@rixn
1098,1098,as,@z
1101,1101,ascend,xsEnd
1104,1104,ascension,xsEnC|n
1105,1105,ascent,xsEnt
1106,1106,ascertain,@sXten
1107,1107,ascetic,xsEtIk
1108,1108,ascribe,xskrYb
1109,1109,aseptic,esEptIk
1110,1110,asexual,esEkSuL
1111,1111,ash,@S
1113,1113,ashen,@S|n
1115,1115,ashore,xSor
1116,1116,ashy,@Si
1118,1118,aside,xsYd
1121,1121,ask,@sk
1123,1123,askew,xskyu
1124,1124,aslant,xsl@nt
1125,1125,asleep,xslip
1126,1126,asp,@sp
1138,1138,aspire,xspYr
1140,1140,ass,@s
1141,1141,assail,xsel
1143,1143,assault,xsclt
1144,1144,assay,@se
1148,1148,assert,xsRt
1150,1150,assess,xsEs
1151,1151,asset,@sEt
1156,1156,assign,xsYn
1160,1160,assist,xsIst
1162,1162,assize,xsYz
1167,1167,assort,xsort
1168,1168,assuage,xsweJ
1172,1172,assure,xSUr
1173,1173,assured,xSUrd
1175,1175,aster,@stX
1177,1177,astern,xstRn
1182,1182,astir,xstR
1185,1185,astraddle,xstr@dL
1187,1187,astral,@strL
1188,1188,astray,xstre
1189,1189,astride,xstrYd
1200,1200,asunder,xs^ndX
1203,1203,at,@t
1206,1206,ate,et
1208,1208,atheism,eTiIzM
1210,1210,atheistic,eTiIstIk
1212,1212,athirst,xTRst
1215,1215,athwart,xTwort
1216,1216,atilt,xtIlt
1220,1220,atoll,@tcl
1221,1221,atom,@tM
1222,1222,atomic,xtamIk
1223,1223,atomics,xtamIks
1224,1224,atomize,@txmYz
1225,1225,atonal,etonL
1226,1226,atonality,eton@l|ti
1227,1227,atonally,etonLi
1228,1228,atone,xton
1229,1229,atop,xtap
1230,1230,atrium,etrixm
1235,1235,attach,xt@C
1238,1238,attack,xt@k
1239,1239,attain,xten
1243,1243,attaint,xtent
1244,1244,attar,@tX
1245,1245,attempt,xtEmpt
1246,1246,attend,xtEnd
1248,1248,attention,xtEnC|n
1251,1251,attest,xtEst
1253,1253,attic,@tIk
1254,1254,attire,xtYr
1255,1255,attitude,@t|tud
1258,1258,attract,xtr@kt
1259,1259,attraction,xtr@kS|n
1264,1264,attrition,xtrIS|n
1265,1265,attune,xtun
1266,1266,atypical,etIpIkL
1268,1268,auction,ckS|n
1273,1273,audibility,cdxbIl|ti
1280,1280,audit,cd|t
1281,1281,audition,cdIS|n
1282,1282,auditor,cd|tX
1284,1284,auditory,cd|tori
1285,1285,auger,cgX
1286,1286,aught,ct
1291,1291,auk,ck
1292,1292,auld,cld
1293,1293,aura,crx
1294,1294,aural,crL
1296,1296,aureate,crixt
1297,1297,aureole,criol
1298,1298,auricle,crIkL
1301,1301,aurora,xrorx
1304,1304,austere,cstIr
1306,1306,austral,cstrL
1312,1312,author,cTX
1319,1319,auto,cto
1337,1337,autumn,ctM
1340,1340,auxin,cks|n
1341,1341,avail,xvel
1344,1344,avarice,@vXxs
1346,1346,avast,xv@st
1348,1348,avaunt,xvcnt
1350,1350,avenge,xvEnJ
1352,1352,aver,xvR
1355,1355,averse,xvRs
1356,1356,aversion,xvRZ|n
1357,1357,avert,xvRt
1358,1358,avian,evixn
1359,1359,aviary,eviEri
1363,1363,avid,@vxd
1364,1364,avidity,xvId|ti
1369,1369,avocation,@vxkeS|n
1370,1370,avoid,xvOd
1372,1372,avouch,xvWC
