idx,degree
3474,1
3479,3
3483,1
3484,1
3485,4
3489,1
3495,2
3502,2
3505,1
3507,1
3508,1
3510,1
3511,5
3512,2
3515,1
3517,1
3520,1
3521,1
3527,1
3535,1
3536,1
3539,2
3553,1
3570,1
3583,1
3595,1
3597,1
3598,1
3600,1
3610,2
3611,1
3613,1
3615,1
3625,1
3633,1
3634,3
3636,1
3639,1
3659,1
3660,1
3677,5
3679,3
3684,1
3687,1
3688,1
3696,1
3731,1
3742,1
3751,1
3755,1
3757,1
3782,1
3810,1
3813,1
3832,1
3833,1
3840,1
3842,1
3849,2
3853,1
3866,1
3868,1
3913,7
3914,2
3915,1
3916,2
3917,4
3919,1
3920,2
3921,5
3922,1
3926,3
3927,1
3928,6
3930,2
3934,1
3937,1
3939,2
3943,1
3945,1
3946,1
3947,2
3948,1
3949,2
3951,1
3954,1
3958,10
3960,2
3962,6
3963,1
3964,1
3967,1
3970,3
3971,1
3983,2
3985,1
3996,1
4016,1
4023,2
4024,1
4025,2
4026,1
4027,5
4031,1
4032,2
4033,2
4036,2
4039,4
4042,3
4044,1
4052,1
4053,1
4063,1
4064,1
4065,1
4071,1
4072,3
4075,1
4081,1
4082,1
4086,1
4089,4
4090,1
4092,2
4094,3
4095,1
4096,1
4100,1
4101,4
4105,2
4107,2
4108,4
4109,1
4110,2
4113,2
4115,1
4116,1
4117,3
4118,3
4120,3
4122,3
4123,1
4124,1
4125,3
4126,1
4128,2
4129,2
4130,3
4131,3
4133,2
4134,1
4137,2
4139,2
4140,2
4141,1
4142,1
4143,2
4146,3
4148,2
4155,2
4156,1
4157,1
4160,2
4161,3
4162,3
4163,1
4164,1
4169,1
4171,1
4174,1
4175,1
4176,3
4182,9
4183,1
4185,2
4187,1
4188,2
4193,1
4196,1
4198,1
4203,2
4204,1
4208,3
4210,2
4213,5
4214,2
4215,2
4217,3
4218,1
4220,1
4221,1
4223,1
4229,1
4230,2
4233,4
4244,2
4246,3
4248,2
4249,1
4250,1
4251,2
4252,1
4254,1
4255,1
4257,1
4258,1
4260,1
4263,3
4264,1
4265,1
4270,1
4272,1
4273,1
4274,1
4278,2
4279,1
4281,5
4285,3
4290,3
4294,1
4296,1
4303,3
4309,8
4313,1
4314,2
4315,1
4318,2
4321,1
4323,3
4324,2
4329,4
4330,2
4333,5
4335,1
4336,1
4338,1
4341,1
4346,2
4349,1
4351,2
4354,3
4359,3
4368,1
4378,1
4383,3
4385,1
4387,7
4388,2
4389,1
4390,3
4395,3
4396,2
4399,2
4403,1
4406,2
4407,1
4408,1
4409,3
4410,1
4412,4
4416,2
4419,2
4420,1
4422,1
4430,1
4431,2
4434,1
4436,2
4438,1
4439,2
4441,2
4443,1
4446,1
4447,2
4448,1
4449,2
4450,1
4452,1
4453,4
4456,1
4459,1
4460,2
4465,3
4466,7
4468,2
4469,1
4473,2
4474,1
4478,2
4480,5
4481,1
4483,5
4484,1
4485,2
4486,1
4487,1
4489,1
4500,4
4528,1
4529,1
4532,1
4549,1
4550,1
4552,1
4563,1
4564,1
4565,2
4566,1
4567,1
4576,1
4577,1
4583,1
4584,1
4592,3
4594,2
4597,1
4603,1
4607,1
4610,1
4611,2
4616,1
4618,2
4629,4
4632,1
4633,1
4637,1
4644,1
4645,1
4670,1
4673,1
4675,4
4678,1
4679,2
4681,1
4685,1
4687,1
4689,3
4690,1
4699,3
4701,1
4704,1
4709,1
4721,1
4723,1
4725,1
4734,1
4736,1
4749,1
4750,1
4755,1
4756,1
4763,1
4768,1
4773,1
4778,1
4779,1
4808,3
4821,1
4823,1
4825,1
4826,1
4831,11
4836,6
4846,2
4848,1
4860,2
4864,1
4865,3
4868,1
4870,1
4872,1
4875,1
4878,1
4881,10
4882,1
4883,1
4901,1
4910,2
4913,1
4914,1
4920,1
4922,4
4924,2
4925,1
4927,1
4928,1
4931,3
4932,3
4934,2
4937,2
4944,1
4945,1
4947,3
4950,1
4951,1
4953,1
4983,1
5028,1
5029,1
5037,1
5047,2
5048,1
5081,2
5089,1
5091,1
5097,1
5107,3
5122,1
5131,1
5145,11
5146,1
5149,1
5156,1
5157,1
5159,4
5160,2
5161,1
5163,1
5165,2
5166,1
5167,2
5169,3
5180,1
5184,1
5187,1
5189,2
5190,2
5192,3
5193,2
5194,1
5201,1
5203,2
5205,3
5206,1
5207,2
5211,1
5212,3
5213,1
5214,1
5215,3
5216,2
5220,1
5221,1
5222,3
5228,1
5229,1
5230,2
5232,1
5233,1
5234,1
5236,4
5237,1
5239,1
5243,3
5244,2
5245,3
5251,2
5252,3
5253,1
5255,1
5256,3
5257,1
5258,1
5259,2
5261,5
5262,2
5263,4
5264,1
5265,2
5268,3
5269,1
5272,1
5273,3
5275,1
5276,4
5277,1
5279,2
5280,2
5281,1
5282,2
5283,4
5285,1
5286,2
5288,1
5290,1
5291,3
5292,1
5294,1
5295,2
5296,2
5302,3
5303,2
5304,1
5305,3
5306,1
5307,2
5309,2
5311,2
5314,1
5315,4
5317,2
5318,3
5320,2
5323,2
5324,1
5326,1
5327,3
5328,3
5329,1
5332,2
5333,1
5335,1
5337,1
5339,2
5342,1
5344,1
5346,1
5347,3
5352,2
5353,3
5354,1
5355,2
5356,1
5358,1
5359,1
5361,1
5363,3
5364,2
5366,2
5376,1
5378,1
5381,1
5386,1
5388,4
5389,2
5390,3
5401,24
5402,6
5403,1
5404,3
5406,19
5407,7
5409,4
5411,6
5416,7
5419,1
5420,11
5421,3
5422,6
5423,2
5424,1
5425,2
5427,13
5428,2
5429,6
5430,3
5458,3
5461,5
5469,1
5474,5
5475,15
5476,6
5477,2
5478,1
5484,1
5494,2
5496,1
5497,1
5498,3
5501,1
5503,2
5504,11
5505,1
5506,2
5508,2
5512,3
5513,1
5515,1
5516,1
5539,1
5541,1
5542,1
5543,5
5545,2
5550,3
5553,1
5554,15
5557,4
5562,2
5565,1
5566,2
5570,1
5582,1
5601,2
5604,1
5607,1
5609,1
5611,1
5613,1
5615,2
5618,2
5619,1
5624,1
5628,2
5629,1
5630,1
5637,1
5642,1
5648,1
5661,10
5670,1
5693,2
5698,2
5699,1
5711,1
5719,1
5720,1
5721,1
5733,2
5735,1
5746,1
5751,1
5755,1
5783,2
5784,1
5786,1
5787,1
5788,1
5790,2
5792,1
5801,1
5810,2
5812,1
5816,3
5817,2
5819,1
5825,2
5827,5
5833,1
5835,1
5836,1
5843,1
5849,1
5853,1
5855,1
5856,1
5857,1
5858,2
5862,2
5863,3
5868,1
5871,4
5872,1
5882,1
5885,1
5887,1
5891,1
5902,1
5909,1
5917,1
5918,9
5919,1
5923,1
5926,4
5930,1
5936,2
5940,2
5941,2
5942,2
5943,3
5944,10
5945,2
5956,1
5958,1
5960,1
6010,1
6013,1
6016,1
6044,1
6053,2
6065,1
6066,1
6067,1
6071,1
6072,1
6073,1
6089,1
6091,1
6098,1
6099,1
6138,1
6139,4
6140,1
6141,4
6143,1
6149,3
6151,1
6158,3
6159,3
6161,2
6163,1
6165,1
6166,3
6167,3
6168,1
6172,4
6173,2
6175,2
6176,2
6177,6
6178,3
6179,1
6180,3
6182,1
6184,3
6187,1
6189,2
6190,2
6191,1
6198,2
6199,5
6200,2
6209,1
6211,1
6212,1
6220,4
6222,1
6225,1
6226,2
6231,1
6232,2
6235,1
6244,2
6246,2
6247,1
6248,1
6252,6
6253,2
6257,5
6259,1
6260,1
6263,2
6264,1
6269,4
6270,2
6271,1
6272,1
6274,11
6275,2
6277,4
6281,2
6282,5
6285,3
6286,1
6294,2
6300,10
6303,3
6305,3
6309,5
6310,1
6312,2
6315,2
6316,1
6318,1
6319,1
6326,4
6327,2
6328,5
6331,1
6335,2
6340,2
6346,1
6347,2
6351,1
6355,1
6356,1
6358,3
6359,1
6363,6
6367,1
6372,2
6373,1
6374,2
6381,9
6382,1
6383,3
6385,1
6386,1
6387,3
6389,1
6390,1
6392,1
6394,3
6402,1
6403,2
6404,1
6407,1
6409,9
6410,2
6411,1
6413,3
6414,1
6415,1
6416,1
6417,1
6420,4
6422,2
6426,1
6430,3
6431,1
6433,3
6441,1
6444,1
6445,7
6446,4
6449,2
6451,1
6454,2
6455,1
6456,4
6460,1
6461,1
6462,2
6465,3
6466,1
6467,2
6470,2
6475,3
6476,2
6477,1
6482,2
6490,2
6491,2
6492,4
6493,3
6496,4
6502,2
6505,1
6507,1
6508,1
6509,2
6511,3
6516,1
6518,2
6519,2
6520,6
6521,10
6522,2
6523,2
6525,2
6526,2
6527,3
6528,1
6530,4
6531,1
6536,2
6537,2
