idx,degree
2583,1
2584,1
2589,1
2591,2
2593,2
2601,1
2602,3
2603,1
2604,2
2605,1
2606,1
2608,1
2611,4
2612,2
2614,24
2615,1
2618,4
2619,2
2621,3
2626,1
2629,1
2631,1
2638,15
2641,1
2643,23
2644,8
2645,2
2647,1
2650,2
2651,1
2653,3
2654,1
2655,1
2658,2
2659,1
2660,5
2662,1
2670,10
2671,5
2673,1
2674,1
2676,8
2677,2
2682,2
2683,5
2684,2
2685,19
2686,14
2687,4
2689,2
2692,5
2694,3
2696,4
2700,1
2701,22
2702,1
2704,3
2707,1
2709,7
2710,2
2713,1
2714,4
2715,2
2716,13
2720,1
2722,1
2723,15
2724,1
2725,6
2732,35
2733,1
2746,1
2750,20
2751,7
2752,1
2756,6
2772,14
2773,14
2777,1
2778,6
2779,23
2781,4
2783,1
2786,10
2791,2
2793,2
2797,22
2798,1
2799,1
2800,1
2801,9
2804,5
2805,23
2806,29
2808,18
2809,1
2810,6
2811,27
2812,2
2817,1
2818,1
2819,2
2822,26
2823,10
2826,5
2828,1
2831,18
2835,1
2839,4
2843,5
2844,1
2845,22
2846,2
2851,9
2858,3
2860,1
2861,1
2867,2
2869,1
2871,1
2877,1
2878,1
2879,1
2881,1
2882,4
2890,1
2891,1
2893,2
2894,7
2895,4
2896,9
2897,4
2900,19
2901,20
2902,14
2904,4
2905,5
2906,13
2909,13
2914,5
2916,9
2917,1
2919,9
2920,6
2921,2
2922,1
2924,4
2925,1
2927,3
2929,6
2932,8
2934,2
2935,2
2936,1
2938,20
2940,6
2946,7
2947,2
2948,19
2957,13
2958,8
2959,2
2960,1
2966,7
2967,2
2968,12
2969,6
2972,12
2973,17
2974,5
2975,1
2976,4
2977,9
2978,6
2982,22
2983,4
2985,9
2986,13
2988,9
2989,1
2990,8
2993,18
2996,17
2997,15
2998,3
2999,1
3004,2
3005,21
3006,1
3007,27
3009,8
3010,13
3011,8
3012,4
3019,1
3020,1
3022,10
3023,14
3026,11
3027,13
3033,20
3037,24
3039,23
3043,1
3044,16
3045,5
3046,12
3048,3
3049,12
3053,4
3056,4
3061,22
3063,8
3065,6
3067,21
3068,1
3071,12
3074,24
3076,6
3081,9
3082,2
3083,22
3088,8
3089,1
3096,20
3098,3
3099,3
3100,17
3101,13
3102,2
3105,10
3106,10
3107,4
3108,18
3109,4
3110,5
3112,12
3113,19
3114,21
3118,2
3119,4
3120,12
3121,1
3122,10
3123,2
3124,1
3125,2
3126,1
3131,1
3133,11
3135,1
3137,3
3138,1
3144,2
3147,12
3148,2
3149,20
3150,5
3151,13
3152,4
3153,16
3154,7
3155,12
3156,10
3157,8
3158,11
3159,13
3160,17
3166,8
3169,8
3172,3
3173,1
3177,1
3178,3
3179,1
3180,5
3181,1
3182,3
3186,1
3205,1
3206,1
3207,1
3208,1
3209,1
3210,28
3215,1
3216,7
3217,3
3218,1
3219,7
3220,1
3221,1
3224,23
3225,13
3226,8
3229,16
3230,2
3231,3
3232,8
3233,9
3234,12
3236,12
3237,5
3238,9
3239,16
3241,4
3243,2
3244,1
3247,1
3248,1
3249,14
3250,3
3251,12
3252,1
3253,2
3255,1
3258,6
3259,4
3262,1
3264,9
3265,10
3266,11
3268,2
3269,9
3273,11
3275,6
3276,3
3277,2
3280,4
3282,1
3283,1
3284,8
3285,2
3286,12
3288,19
3289,1
3291,5
3292,1
3294,1
3296,5
3297,3
3298,14
3299,1
3300,1
3301,8
3302,2
3303,11
3305,13
3306,13
3307,6
3308,15
3309,9
3310,6
3312,1
3313,12
3314,6
3317,3
3318,12
3319,3
3320,6
3321,7
3323,1
3324,2
3325,7
3326,7
3327,8
3329,4
3330,5
3331,6
3332,4
3333,11
3334,4
3336,8
3337,5
3338,4
3339,4
3340,14
3343,35
3348,16
3349,2
3350,12
3352,31
3354,6
3356,22
3357,1
3358,8
3359,2
3361,1
3363,6
3367,30
3374,3
3375,6
3376,1
3377,11
3378,3
3381,27
3382,5
3383,10
3384,28
3388,6
3391,1
3395,1
3397,1
3398,3
3402,2
3403,3
3404,3
3405,12
3408,1
3417,2
3420,6
3421,1
3423,18
3424,14
3426,1
3427,1
3429,29
3430,9
3431,1
3432,15
3434,6
3436,1
3438,1
3439,4
3440,1
3443,2
3444,3
3446,1
3447,3
3448,3
3449,1
3450,1
3451,1
3452,12
3453,1
3455,1
3456,1
3461,1
3462,1
3464,5
3466,1
3471,8
3474,4
3479,16
3481,2
3483,1
3484,6
3485,24
3486,1
3489,3
3490,1
3493,1
3495,22
3496,1
3499,1
3500,1
3502,4
3504,1
3505,2
3507,1
3508,3
3509,2
3510,2
3511,8
3512,4
3515,2
3517,2
3519,1
3520,3
3521,1
3527,3
3534,1
3535,1
3536,1
3539,3
3541,1
3553,1
3559,1
3560,2
3565,2
3570,1
3572,1
3576,1
3578,1
3580,1
3583,1
3595,1
3596,1
3597,1
3598,1
3600,1
3610,2
3611,1
3613,22
3615,1
3617,4
3618,3
3619,3
3620,4
3625,1
3627,2
3633,1
3634,4
3635,1
3636,2
3638,1
3639,1
3643,1
3646,1
3653,1
3655,1
3659,1
3660,1
3662,3
3665,1
3669,2
3670,5
3677,35
3679,7
3681,1
3684,2
3687,1
3688,1
3691,1
3695,3
3696,1
3711,1
3713,1
3715,1
3731,6
3742,2
3743,1
3747,1
3751,3
3755,1
3757,2
3764,1
3771,2
3773,4
3778,2
3782,1
3801,1
3802,1
3806,3
3810,1
3811,1
3813,1
3818,1
3826,1
3827,2
3829,1
3832,1
3833,1
3835,1
3836,2
3837,1
3840,1
3842,1
3844,1
3849,3
3852,1
3853,1
3858,1
3864,1
3866,1
3868,1
3869,1
3872,1
3878,1
3880,1
3885,2
3890,1
3892,2
3895,2
3897,2
3903,1
3913,31
3914,15
3915,1
3916,5
3917,22
3919,5
3920,23
3921,20
3922,6
3926,24
3927,7
3928,30
3930,25
3934,9
3937,1
3938,1
3939,6
3941,1
3942,1
3943,8
3945,1
3946,3
3947,9
3948,3
3949,3
3951,1
3954,3
3958,36
3960,11
3962,20
3963,1
3964,2
3965,1
3967,1
3970,4
3971,2
3972,1
3973,2
3974,3
3975,1
3976,2
3977,3
3983,3
3985,2
3987,3
3988,1
3989,1
3990,2
3993,1
3996,1
3997,1
3998,2
4004,1
4005,1
4006,1
4007,1
4011,1
4016,1
4023,5
4024,1
4025,2
4026,1
4027,35
4028,1
4031,3
4032,9
4033,7
4036,9
4038,1
4039,11
4040,11
4041,2
4042,7
4043,1
4044,3
4052,1
4053,1
4063,3
4064,3
4065,4
4071,2
4072,17
4074,1
4075,1
4078,1
4080,1
4081,18
4082,2
4084,4
4086,1
4087,1
4088,2
4089,19
4090,1
4092,9
4094,18
4095,3
4096,4
4100,2
4101,14
4104,5
4105,10
4107,3
4108,18
4109,2
4110,4
4113,4
4114,1
4115,2
4116,8
4117,16
4118,6
4120,15
4122,8
4123,1
4124,3
4125,12
4126,2
4128,13
4129,13
4130,16
4131,5
4133,8
4134,1
4136,1
4137,9
4138,1
4139,2
4140,11
4141,1
4142,15
4143,12
4145,9
4146,3
4148,2
4150,4
4155,2
4156,2
4157,1
4160,11
4161,10
4162,11
4163,1
4164,1
4169,3
4171,3
4174,1
4175,9
4176,9
4179,1
4182,19
4183,3
4185,13
4187,7
4188,10
4193,5
4195,2
4196,1
4198,3
4200,2
4203,2
4204,1
4207,2
4208,12
4209,1
4210,11
4213,14
4214,4
4215,8
4217,11
4218,9
4220,2
4221,1
4222,1
4223,5
4227,4
4229,7
4230,12
4232,1
4233,14
4235,8
4237,10
4244,11
4246,11
4248,8
4249,1
4250,1
4251,11
4252,3
4254,2
4255,2
4257,7
4258,5
4260,6
4263,10
4264,3
4265,2
4270,18
4272,2
4273,1
4274,2
4278,18
4279,10
4280,2
4281,12
4282,16
4285,24
4290,7
4294,2
4296,4
4302,3
4303,18
4304,1
4309,21
4313,12
4314,19
4315,8
4316,1
4318,3
4319,1
4321,2
4323,23
4324,2
4329,14
4330,16
4332,1
4333,26
4335,5
4336,1
4338,13
4340,1
4341,1
4343,1
4346,2
4349,1
4351,25
4353,1
4354,6
4355,1
4356,1
4358,1
4359,12
4361,2
4367,6
4368,1
4378,4
4379,3
4383,10
4384,2
4385,9
4387,29
4388,14
4389,8
4390,20
4393,2
4395,21
4396,7
4397,2
4399,6
4400,1
4403,9
4406,11
4407,1
4408,6
4409,30
4410,14
4412,22
4416,23
4419,3
4420,9
4422,1
4424,6
4426,5
4428,7
4430,6
4431,29
4432,2
4434,8
4436,12
4437,4
4438,5
4439,26
4440,3
4441,10
4442,1
4443,1
4446,1
4447,7
4448,3
4449,10
4450,15
4451,1
4452,2
4453,24
4455,1
4456,2
4457,5
4458,1
4459,10
4460,5
4462,1
4463,2
4465,19
4466,27
4468,19
4469,4
4471,1
4473,24
4474,3
4476,1
4478,13
4479,1
4480,29
4481,5
4482,1
4483,17
4484,24
4485,29
4486,10
4487,10
4489,14
4491,1
4492,1
4493,1
4499,2
4500,28
4513,1
4514,1
4516,1
4517,1
4518,2
4520,1
4522,1
4528,20
4529,2
4530,1
4531,1
4532,1
4534,1
4549,1
4550,1
4552,1
4557,2
4561,1
4563,3
4564,18
4565,18
4566,18
4567,3
4571,1
4573,1
4575,1
