lower,node,ortho,phono,original,replace,delete_insert,pos_l50,pos_m50,all_cc,replace_cc,pos_l50_cc,pos_m50_cc
advert,309,advert,@dvRt,2,2,0,0,2,1,1,-1,1
advice,313,advice,xdvYs,1,1,0,0,1,-1,-1,-1,-1
advise,315,advise,xdvYz,1,1,0,0,1,-1,-1,-1,-1
adze,319,adze,@dz,6,4,2,3,3,0.333333333,0.333333333,0.333333333,1
aeon,321,aeon,ixn,1,0,1,1,0,-1,-1,-1,-1
aerate,322,aerate,Eret,8,7,1,8,0,1,1,1,-1
aeration,323,aeration,EreS|n,2,1,1,2,0,0,-1,0,-1
aerial,324,aerial,@riL,4,2,2,2,2,0.333333333,0,1,1
aerie,326,aerie,Eri,19,10,9,16,3,0.239766082,0.377777778,0.316666667,1
aero,327,aero,Ero,14,10,4,10,4,0.351648352,0.488888889,0.644444444,0.5
aerobe,328,aerobe,Erob,3,1,2,2,1,0.333333333,-1,1,-1
aeronaut,331,aeronaut,@rxnct,1,0,1,0,1,-1,-1,-1,-1
aery,336,aery,@ri,21,11,10,17,4,0.238095238,0.345454545,0.352941176,0.333333333
aestivation,340,aestivation,EstxveS|n,1,1,0,1,0,-1,-1,-1,-1
afar,341,afar,xfar,4,3,1,2,2,0.166666667,0.333333333,0,1
affable,343,affable,@fxbL,1,1,0,1,0,-1,-1,-1,-1
affair,345,affair,xfEr,4,3,1,2,2,0.166666667,0.333333333,0,1
affect,346,affect,xfEkt,2,2,0,2,0,0,0,0,-1
affection,348,affection,xfEkS|n,1,1,0,1,0,-1,-1,-1,-1
afferent,349,afferent,@fXxnt,1,1,0,1,0,-1,-1,-1,-1
affiliate,352,affiliate,xfIliet,1,1,0,1,0,-1,-1,-1,-1
affirm,354,affirm,xfRm,1,0,1,1,0,-1,-1,-1,-1
affix,357,affix,xfIks,1,0,1,1,0,-1,-1,-1,-1
afford,361,afford,xford,4,3,1,4,0,0.5,1,0.5,-1
affray,362,affray,xfre,3,0,3,2,1,0.333333333,-1,1,-1
affright,363,affright,xfrYt,2,0,2,2,0,1,-1,1,-1
affront,364,affront,xfr^nt,1,0,1,1,0,-1,-1,-1,-1
afghan,365,afghan,@fg@n,1,0,1,0,1,-1,-1,-1,-1
afghani,366,afghani,@fg@ni,1,0,1,0,1,-1,-1,-1,-1
afield,368,afield,xfild,1,0,1,1,0,-1,-1,-1,-1
afire,369,afire,xfYr,4,3,1,2,2,0.166666667,0.333333333,0,1
aflame,370,aflame,xflem,2,1,1,2,0,0,-1,0,-1
afloat,371,afloat,xflot,1,0,1,1,0,-1,-1,-1,-1
aflutter,372,aflutter,xfl^tX,1,0,1,1,0,-1,-1,-1,-1
afoot,373,afoot,xfUt,1,0,1,1,0,-1,-1,-1,-1
afoul,376,afoul,xfWl,2,0,2,2,0,0,-1,0,-1
afraid,377,afraid,xfred,2,1,1,1,1,0,-1,-1,-1
afresh,378,afresh,xfrES,1,0,1,1,0,-1,-1,-1,-1
aft,381,aft,@ft,10,4,6,9,1,0.266666667,0.5,0.333333333,-1
after,382,after,@ftX,5,2,3,4,1,0.3,1,0.5,-1
agape,390,agape,xgep,1,0,1,1,0,-1,-1,-1,-1
agate,391,agate,@gxt,1,1,0,1,0,-1,-1,-1,-1
age,393,age,eJ,16,10,6,8,8,0.366666667,0.644444444,0.571428571,1
agent,397,agent,eJ|nt,1,1,0,1,0,-1,-1,-1,-1
aggression,406,aggression,xgrES|n,1,1,0,1,0,-1,-1,-1,-1
aggrieve,407,aggrieve,xgriv,2,0,2,1,1,0,-1,-1,-1
aghast,408,aghast,xg@st,1,1,0,1,0,-1,-1,-1,-1
agile,409,agile,@JL,2,2,0,2,0,1,1,1,-1
agility,410,agility,xJIl|ti,1,1,0,1,0,-1,-1,-1,-1
agitate,411,agitate,@J|tet,2,1,1,1,1,0,-1,-1,-1
agitation,412,agitation,@J|teS|n,2,2,0,2,0,0,0,0,-1
agitator,413,agitator,@J|tetX,1,0,1,0,1,-1,-1,-1,-1
agleam,414,agleam,xglim,1,0,1,1,0,-1,-1,-1,-1
aglitter,415,aglitter,xglItX,1,0,1,1,0,-1,-1,-1,-1
aglow,416,aglow,xglo,2,0,2,1,1,0,-1,-1,-1
ago,418,ago,xgo,3,1,2,2,1,0.333333333,-1,1,-1
agree,425,agree,xgri,2,0,2,1,1,0,-1,-1,-1
agricultural,426,agricultural,@grIk^lCXL,1,0,1,0,1,-1,-1,-1,-1
agriculture,427,agriculture,@grIk^lCX,1,0,1,0,1,-1,-1,-1,-1
aground,428,aground,xgrWnd,2,0,2,2,0,1,-1,1,-1
ahead,430,ahead,xhEd,2,1,1,2,0,0,-1,0,-1
ahoy,431,ahoy,xhO,1,1,0,1,0,-1,-1,-1,-1
aid,432,aid,ed,20,12,8,12,8,0.326315789,0.515151515,0.515151515,1
ail,434,ail,el,32,16,16,24,8,0.35483871,0.466666667,0.536231884,1
aim,437,aim,em,21,11,10,13,8,0.361904762,0.563636364,0.615384615,1
air,438,air,Er,30,13,17,19,11,0.303448276,0.487179487,0.590643275,0.563636364
aisle,443,aisle,Yl,23,11,12,19,4,0.351778656,0.563636364,0.485380117,1
ajar,444,ajar,xJar,3,2,1,2,1,0,0,0,-1
akin,446,akin,xkIn,2,1,1,2,0,1,-1,1,-1
album,456,album,@lbxm,1,0,1,1,0,-1,-1,-1,-1
alder,467,alder,cldX,3,2,1,1,2,0,0,-1,0
alee,469,alee,xli,9,7,2,6,3,0.444444444,0.523809524,1,0.333333333
alert,472,alert,xlRt,9,9,0,4,5,0.333333333,0.333333333,0.333333333,1
alga,476,alga,@lgx,1,0,1,0,1,-1,-1,-1,-1
algae,477,algae,@lJi,2,0,2,0,2,0,-1,-1,0
alias,481,alias,elixs,1,1,0,0,1,-1,-1,-1,-1
alien,483,alien,elixn,2,2,0,1,1,0,0,-1,-1
alight,487,alight,xlYt,16,14,2,7,9,0.225,0.241758242,0.523809524,0.444444444
alike,488,alike,xlYk,5,4,1,1,4,0.6,1,-1,1
aliment,489,aliment,@lxmxnt,2,2,0,2,0,0,0,0,-1
alimentary,490,alimentary,@lxmEntXi,1,1,0,1,0,-1,-1,-1,-1
aline,492,aline,xlYn,8,6,2,3,5,0.214285714,0.4,0,0.6
alit,493,alit,xlIt,8,7,1,3,5,0.464285714,0.523809524,1,1
alive,494,alive,xlYv,4,4,0,0,4,1,1,-1,1
alkali,495,alkali,@lkxlY,1,0,1,0,1,-1,-1,-1,-1
