lower,node,ortho,phono,original,replace,delete_insert,pos_l50,pos_m50,all_cc,replace_cc,pos_l50_cc,pos_m50_cc
hush,8145,hush,h^S,14,14,0,5,9,0.461538462,0.461538462,0.6,1
husk,8146,husk,h^sk,8,7,1,4,4,0.25,0.333333333,1,0.166666667
husky,8147,husky,h^ski,1,0,1,0,1,-1,-1,-1,-1
hussar,8148,hussar,h^zar,1,0,1,0,1,-1,-1,-1,-1
hussy,8149,hussy,h^zi,3,3,0,1,2,0,0,-1,0
hustle,8151,hustle,h^sL,8,8,0,5,3,0.25,0.25,0.6,0.333333333
hut,8152,hut,h^t,27,26,1,17,10,0.287749288,0.307692308,0.470588235,0.822222222
hutch,8153,hutch,h^C,16,15,1,6,10,0.366666667,0.40952381,0.466666667,0.822222222
huzza,8155,huzza,h^za,2,1,1,0,2,0,-1,-1,0
hyphen,8190,hyphen,hYfxn,1,1,0,1,0,-1,-1,-1,-1
ibis,8216,ibis,Ybxs,1,1,0,1,0,-1,-1,-1,-1
ice,8217,ice,Ys,16,7,9,11,5,0.275,0.428571429,0.490909091,0.6
ichor,8222,ichor,Ykor,2,1,1,2,0,1,-1,1,-1
icicle,8224,icicle,YsIkL,2,0,2,2,0,0,-1,0,-1
icon,8225,icon,Ykan,1,0,1,1,0,-1,-1,-1,-1
icy,8229,icy,Ysi,4,2,2,3,1,0.166666667,1,0.333333333,-1
id,8230,id,Id,19,11,8,12,7,0.321637427,0.490909091,0.515151515,1
idea,8231,idea,Ydix,1,1,0,0,1,-1,-1,-1,-1
ideal,8232,ideal,Ydil,3,1,2,1,2,0,-1,-1,0
idealize,8236,idealize,YdilYz,1,1,0,1,0,-1,-1,-1,-1
ideally,8237,ideally,Ydili,3,0,3,2,1,0,-1,0,-1
ides,8244,ides,Ydz,4,4,0,2,2,0.333333333,0.333333333,1,1
idiom,8246,idiom,Idixm,1,0,1,1,0,-1,-1,-1,-1
idle,8251,idle,YdL,5,3,2,3,2,0.2,0.333333333,0.333333333,1
idly,8252,idly,Ydli,1,0,1,1,0,-1,-1,-1,-1
idolize,8254,idolize,YdxlYz,1,1,0,1,0,-1,-1,-1,-1
if,8256,if,If,13,10,3,5,8,0.320512821,0.533333333,0.4,0.75
iffy,8257,iffy,Ifi,4,1,3,3,1,0,-1,0,-1
igloo,8258,igloo,Iglu,1,0,1,1,0,-1,-1,-1,-1
igneous,8259,igneous,Ignixs,1,0,1,1,0,-1,-1,-1,-1
ignoble,8262,ignoble,IgnobL,1,0,1,1,0,-1,-1,-1,-1
ilk,8269,ilk,Ilk,6,2,4,5,1,0.2,0,0.3,-1
ill,8270,ill,Il,31,15,16,23,8,0.331182796,0.466666667,0.5256917,0.75
illegal,8271,illegal,IligL,2,0,2,1,1,0,-1,-1,-1
illegally,8273,illegally,IligLi,1,0,1,0,1,-1,-1,-1,-1
illegibility,8274,illegibility,IlEJ|bIl|ti,1,0,1,1,0,-1,-1,-1,-1
illegibly,8276,illegibly,IlEJ|bli,1,0,1,1,0,-1,-1,-1,-1
illegitimate,8277,illegitimate,IlIJItxmxt,1,0,1,1,0,-1,-1,-1,-1
illiberal,8278,illiberal,IlIbXL,1,0,1,1,0,-1,-1,-1,-1
illicit,8279,illicit,IlIs|t,2,1,1,2,0,1,-1,1,-1
illimitable,8280,illimitable,IlImxtxbL,1,1,0,1,0,-1,-1,-1,-1
illiterate,8281,illiterate,IlItX|t,1,0,1,1,0,-1,-1,-1,-1
illume,8283,illume,Ilum,5,4,1,5,0,1,1,1,-1
illusive,8286,illusive,IlusIv,1,1,0,1,0,-1,-1,-1,-1
image,8292,image,ImIJ,4,3,1,1,3,0.166666667,0.333333333,-1,0.333333333
imaginal,8294,imaginal,Im@J|nL,1,0,1,0,1,-1,-1,-1,-1
imagine,8298,imagine,Im@J|n,1,0,1,0,1,-1,-1,-1,-1
imbrication,8308,imbrication,ImbrxkeS|n,1,1,0,1,0,-1,-1,-1,-1
imbrue,8310,imbrue,Imbru,1,1,0,0,1,-1,-1,-1,-1
imbue,8311,imbue,Imbyu,1,1,0,0,1,-1,-1,-1,-1
imitable,8312,imitable,ImxtxbL,1,1,0,1,0,-1,-1,-1,-1
imitate,8313,imitate,Imxtet,2,2,0,1,1,0,0,-1,-1
imitation,8314,imitation,ImxteS|n,2,2,0,2,0,0,0,0,-1
immanent,8317,immanent,ImxnEnt,1,1,0,0,1,-1,-1,-1,-1
immaterial,8318,immaterial,ImxtIriL,1,0,1,1,0,-1,-1,-1,-1
immeasurable,8320,immeasurable,ImEZXxbL,1,0,1,1,0,-1,-1,-1,-1
immemorial,8323,immemorial,ImxmoriL,1,0,1,1,0,-1,-1,-1,-1
immense,8324,immense,ImEns,1,1,0,0,1,-1,-1,-1,-1
immerse,8325,immerse,ImRs,2,2,0,1,1,0,0,-1,-1
immigrate,8328,immigrate,Imxgret,1,1,0,1,0,-1,-1,-1,-1
immigration,8329,immigration,ImxgreS|n,1,1,0,1,0,-1,-1,-1,-1
imminent,8330,imminent,Imxn|nt,1,1,0,0,1,-1,-1,-1,-1
immiscible,8331,immiscible,ImIsxbL,1,0,1,1,0,-1,-1,-1,-1
immobile,8333,immobile,ImobL,2,1,1,2,0,0,-1,0,-1
immobilize,8335,immobilize,ImobxlYz,1,0,1,1,0,-1,-1,-1,-1
immodest,8337,immodest,Imad|st,1,0,1,1,0,-1,-1,-1,-1
immolate,8338,immolate,Imxlet,1,1,0,0,1,-1,-1,-1,-1
immolation,8339,immolation,ImxleS|n,1,1,0,1,0,-1,-1,-1,-1
immoral,8340,immoral,ImcrL,2,1,1,2,0,1,-1,1,-1
immortal,8342,immortal,ImortL,1,0,1,1,0,-1,-1,-1,-1
immortality,8343,immortality,Imort@l|ti,1,0,1,1,0,-1,-1,-1,-1
immune,8348,immune,Imyun,1,0,1,1,0,-1,-1,-1,-1
immunity,8349,immunity,Imyun|ti,1,0,1,1,0,-1,-1,-1,-1
immure,8352,immure,ImyUr,2,1,1,2,0,0,-1,0,-1
immutability,8353,immutability,ImyutxbIl|ti,1,0,1,1,0,-1,-1,-1,-1
immutable,8354,immutable,ImyutxbL,1,0,1,1,0,-1,-1,-1,-1
imp,8356,imp,Imp,3,0,3,3,0,1,-1,1,-1
impair,8359,impair,ImpEr,2,1,1,0,2,0,-1,-1,0
impale,8360,impale,Impel,1,1,0,0,1,-1,-1,-1,-1
impart,8363,impart,Impart,1,1,0,0,1,-1,-1,-1,-1
impartial,8364,impartial,ImparSL,1,0,1,0,1,-1,-1,-1,-1
impartially,8366,impartially,ImparSLi,1,0,1,0,1,-1,-1,-1,-1
impatience,8372,impatience,ImpeS|ns,1,1,0,0,1,-1,-1,-1,-1
impatient,8373,impatient,ImpeS|nt,2,2,0,1,1,0,0,-1,-1
impeach,8374,impeach,ImpiC,1,1,0,0,1,-1,-1,-1,-1
impede,8378,impede,Impid,1,1,0,0,1,-1,-1,-1,-1
impel,8381,impel,ImpEl,2,2,0,0,2,0,0,-1,0
impend,8382,impend,ImpEnd,2,1,1,1,1,0,-1,-1,-1
imperil,8393,imperil,ImpErL,1,0,1,0,1,-1,-1,-1,-1
impersonate,8399,impersonate,ImpRsNet,1,0,1,0,1,-1,-1,-1,-1
impersonator,8401,impersonator,ImpRsNetX,1,0,1,0,1,-1,-1,-1,-1
implement,8417,implement,Implxmxnt,1,1,0,1,0,-1,-1,-1,-1
implode,8421,implode,Implod,1,1,0,0,1,-1,-1,-1,-1
implore,8422,implore,Implor,1,1,0,0,1,-1,-1,-1,-1
imply,8423,imply,ImplY,1,1,0,0,1,-1,-1,-1,-1
import,8427,import,Import,2,2,0,0,2,0,0,-1,0
impost,8438,impost,Impost,1,1,0,0,1,-1,-1,-1,-1
imposter,8439,imposter,ImpastX,1,1,0,0,1,-1,-1,-1,-1
imposture,8440,imposture,ImpasCX,1,1,0,0,1,-1,-1,-1,-1
impound,8442,impound,ImpWnd,1,1,0,0,1,-1,-1,-1,-1
improvise,8469,improvise,ImprxvYz,1,0,1,0,1,-1,-1,-1,-1
improvisor,8470,improvisor,ImprxvYzX,1,0,1,0,1,-1,-1,-1,-1
impugn,8473,impugn,Impyun,2,1,1,1,1,0,-1,-1,-1
impulsion,8475,impulsion,Imp^lS|n,1,0,1,1,0,-1,-1,-1,-1
impunity,8477,impunity,Impyun|ti,1,0,1,1,0,-1,-1,-1,-1
impure,8478,impure,ImpyUr,1,0,1,1,0,-1,-1,-1,-1
imputation,8479,imputation,ImpyuteS|n,1,1,0,1,0,-1,-1,-1,-1
impute,8480,impute,Impyut,1,1,0,0,1,-1,-1,-1,-1
in,8481,in,In,26,12,14,17,9,0.304615385,0.46969697,0.558823529,0.611111111
inalienable,8489,inalienable,InelyxnxbL,1,1,0,1,0,-1,-1,-1,-1
inane,8492,inane,Inen,4,2,2,1,3,0.166666667,0,-1,0
inanity,8495,inanity,In@n|ti,1,0,1,1,0,-1,-1,-1,-1
inaptitude,8497,inaptitude,In@pt|tud,1,1,0,1,0,-1,-1,-1,-1
inattention,8499,inattention,In|tEnC|n,1,0,1,1,0,-1,-1,-1,-1
inboard,8503,inboard,Inbord,1,1,0,0,1,-1,-1,-1,-1
inborn,8504,inborn,Inborn,1,1,0,0,1,-1,-1,-1,-1
inca,8508,Inca,IGkx,2,1,1,0,2,1,-1,-1,1
incense,8522,incense,InsEns,1,1,0,1,0,-1,-1,-1,-1
incentive,8523,incentive,InsEntIv,1,1,0,1,0,-1,-1,-1,-1
inception,8524,inception,InsEpS|n,1,1,0,1,0,-1,-1,-1,-1
incessant,8526,incessant,InsEsNt,1,0,1,0,1,-1,-1,-1,-1
incest,8527,incest,InsEst,7,5,2,3,4,0.19047619,0.3,1,0.166666667
inch,8529,inch,InC,8,1,7,6,2,0.428571429,-1,0.666666667,1
incise,8535,incise,InsYz,4,3,1,0,4,0.333333333,0.666666667,-1,0.333333333
incisor,8538,incisor,InsYzX,3,2,1,0,3,0.333333333,1,-1,0.333333333
incite,8539,incite,InsYt,7,7,0,3,4,0.142857143,0.142857143,0.333333333,0.333333333
incoming,8550,incoming,Ink^mIG,1,1,0,1,0,-1,-1,-1,-1
incubate,8596,incubate,IGkyubet,1,0,1,0,1,-1,-1,-1,-1
incubator,8598,incubator,IGkyubetX,1,0,1,0,1,-1,-1,-1,-1
inculcate,8600,inculcate,Ink^lket,1,1,0,0,1,-1,-1,-1,-1
inculpate,8603,inculpate,Ink^lpet,1,1,0,0,1,-1,-1,-1,-1
incur,8607,incur,InkR,2,2,0,0,2,1,1,-1,1
incursion,8611,incursion,InkRZ|n,1,1,0,1,0,-1,-1,-1,-1
indent,8628,indent,IndEnt,2,2,0,2,0,1,1,1,-1
indention,8630,indention,IndEnC|n,2,2,0,2,0,1,1,1,-1
independence,8632,independence,IndxpEnd|ns,1,1,0,0,1,-1,-1,-1,-1
independent,8633,independent,IndxpEnd|nt,1,1,0,0,1,-1,-1,-1,-1
indian,8640,Indian,Indixn,1,1,0,0,1,-1,-1,-1,-1
indication,8642,indication,IndxkeS|n,2,0,2,2,0,1,-1,1,-1
indict,8646,indict,IndYt,3,3,0,3,0,0.666666667,0.666666667,0.666666667,-1
indium,8665,indium,Indixm,2,1,1,1,1,0,-1,-1,-1
indolent,8671,indolent,IndLxnt,1,1,0,1,0,-1,-1,-1,-1
indoor,8674,indoor,Indor,3,1,2,1,2,0.333333333,-1,-1,1
indoors,8675,indoors,Indorz,2,1,1,0,2,1,-1,-1,1
induce,8677,induce,Indus,1,0,1,1,0,-1,-1,-1,-1
industrial,8683,industrial,Ind^striL,1,0,1,0,1,-1,-1,-1,-1
industry,8686,industry,Ind^stri,1,0,1,0,1,-1,-1,-1,-1
inefficient,8694,inefficient,InxfIS|nt,1,0,1,1,0,-1,-1,-1,-1
ineligible,8697,ineligible,InElxJ|bL,1,0,1,1,0,-1,-1,-1,-1
ineptitude,8700,ineptitude,InEpt|tud,1,1,0,1,0,-1,-1,-1,-1
inert,8702,inert,InRt,4,2,2,0,4,0.166666667,0,-1,0
infant,8723,infant,Infxnt,1,0,1,0,1,-1,-1,-1,-1
infect,8727,infect,InfEkt,5,3,2,3,2,0.1,0.333333333,0.333333333,0
infection,8728,infection,InfEkS|n,1,0,1,1,0,-1,-1,-1,-1
infer,8730,infer,InfR,3,2,1,0,3,0.333333333,1,-1,0.333333333
inferior,8732,inferior,InfIriX,1,1,0,1,0,-1,-1,-1,-1
infernal,8734,infernal,InfRnL,3,3,0,1,2,0,0,-1,0
inferno,8735,inferno,InfRno,1,1,0,0,1,-1,-1,-1,-1
infertile,8736,infertile,InfRtL,1,1,0,0,1,-1,-1,-1,-1
infest,8737,infest,InfEst,4,4,0,3,1,0.5,0.5,1,-1
infield,8741,infield,Infild,1,1,0,0,1,-1,-1,-1,-1
infighting,8742,infighting,InfYtIG,1,1,0,1,0,-1,-1,-1,-1
infinite,8745,infinite,Infxn|t,1,0,1,0,1,-1,-1,-1,-1
infirm,8750,infirm,InfRm,1,0,1,0,1,-1,-1,-1,-1
inflame,8753,inflame,Inflem,1,1,0,0,1,-1,-1,-1,-1
inflate,8757,inflate,Inflet,1,1,0,0,1,-1,-1,-1,-1
inflect,8759,inflect,InflEkt,2,1,1,0,2,0,-1,-1,0
inflection,8760,inflection,InflEkS|n,1,0,1,1,0,-1,-1,-1,-1
inflict,8764,inflict,InflIkt,1,1,0,0,1,-1,-1,-1,-1
inform,8771,inform,Inform,2,0,2,0,2,1,-1,-1,1
informal,8772,informal,InformL,3,1,2,0,3,0.333333333,-1,-1,0.333333333
informally,8774,informally,InformLi,1,0,1,0,1,-1,-1,-1,-1
informed,8778,informed,Informd,3,2,1,1,2,0.333333333,0,-1,1
ingest,8791,ingest,InJEst,4,4,0,3,1,0.5,0.5,1,-1
ingle,8792,ingle,IGgL,7,1,6,7,0,0.714285714,-1,0.714285714,-1
ingrain,8796,ingrain,Ingren,3,3,0,1,2,0,0,-1,0
ingrate,8797,ingrate,Ingret,1,1,0,0,1,-1,-1,-1,-1
ingress,8801,ingress,IngrEs,1,1,0,0,1,-1,-1,-1,-1
ingrown,8803,ingrown,Ingron,2,2,0,0,2,0,0,-1,0
inhabit,8804,inhabit,Inh@bxt,1,1,0,1,0,-1,-1,-1,-1
inhalation,8807,inhalation,InhxleS|n,1,1,0,1,0,-1,-1,-1,-1
inhale,8808,inhale,Inhel,2,1,1,1,1,0,-1,-1,-1
inhaler,8809,inhaler,InhelX,1,0,1,0,1,-1,-1,-1,-1
inhibit,8813,inhibit,InhIbxt,1,1,0,1,0,-1,-1,-1,-1
inhuman,8815,inhuman,Inhyumxn,1,1,0,0,1,-1,-1,-1,-1
inhumane,8816,inhumane,Inhyumen,1,1,0,0,1,-1,-1,-1,-1
inimitable,8821,inimitable,InImxtxbL,1,1,0,1,0,-1,-1,-1,-1
inject,8827,inject,InJEkt,4,3,1,3,1,0.166666667,0.333333333,0.333333333,-1
injure,8829,injure,InJX,3,0,3,1,2,0,-1,-1,0
injury,8831,injury,InJXi,1,0,1,0,1,-1,-1,-1,-1
ink,8833,ink,IGk,14,2,12,12,2,0.505494505,0,0.681818182,1
inky,8836,inky,IGki,4,1,3,2,2,0.333333333,-1,1,1
inlaid,8837,inlaid,Inled,2,1,1,1,1,0,-1,-1,-1
inlay,8839,inlay,Inle,2,1,1,0,2,0,-1,-1,0
inlet,8840,inlet,InlEt,1,1,0,1,0,-1,-1,-1,-1
inmate,8841,inmate,Inmet,1,0,1,1,0,-1,-1,-1,-1
inmost,8842,inmost,Inmost,1,0,1,1,0,-1,-1,-1,-1
innards,8843,innards,InXdz,1,0,1,1,0,-1,-1,-1,-1
innate,8844,innate,Inet,4,2,2,2,2,0,0,0,0
inner,8845,inner,InX,6,2,4,3,3,0.133333333,0,0.333333333,0.333333333
innermost,8846,innermost,InXmost,1,0,1,1,0,-1,-1,-1,-1
innersole,8847,innersole,InXsol,1,0,1,1,0,-1,-1,-1,-1
inning,8848,inning,InIG,2,1,1,1,1,0,-1,-1,-1
innings,8849,innings,InIGz,2,1,1,1,1,0,-1,-1,-1
innovate,8854,innovate,Inxvet,1,1,0,1,0,-1,-1,-1,-1
innumerable,8857,innumerable,InumXxbL,1,0,1,1,0,-1,-1,-1,-1
inpatient,8863,inpatient,InpeS|nt,1,1,0,1,0,-1,-1,-1,-1
inquiry,8867,inquiry,InkwYri,1,0,1,0,1,-1,-1,-1,-1
inroad,8871,inroad,Inrod,1,0,1,1,0,-1,-1,-1,-1
inrush,8872,inrush,Inr^S,1,1,0,1,0,-1,-1,-1,-1
insane,8874,insane,Insen,2,1,1,1,1,1,-1,-1,-1
insanity,8875,insanity,Ins@n|ti,1,0,1,1,0,-1,-1,-1,-1
insect,8880,insect,InsEkt,5,3,2,2,3,0.2,0.333333333,1,0.333333333
inseparable,8890,inseparable,InsEpXxbL,1,1,0,1,0,-1,-1,-1,-1
insert,8892,insert,InsRt,5,4,1,1,4,0.3,0.333333333,-1,0.333333333
inset,8894,inset,InsEt,6,4,2,1,5,0.2,0.333333333,-1,0.3
inshore,8895,inshore,InSor,2,2,0,1,1,0,0,-1,-1
inside,8896,inside,InsYd,4,3,1,0,4,0.333333333,0.666666667,-1,0.333333333
insider,8897,insider,InsYdX,3,2,1,0,3,0.333333333,1,-1,0.333333333
insidious,8898,insidious,InsIdixs,1,1,0,1,0,-1,-1,-1,-1
insight,8899,insight,InsYt,7,7,0,3,4,0.142857143,0.142857143,0.333333333,0.333333333
insist,8906,insist,InsIst,1,1,0,0,1,-1,-1,-1,-1
insole,8907,insole,Insol,1,0,1,1,0,-1,-1,-1,-1
insolent,8908,insolent,InsLxnt,3,2,1,2,1,0,0,0,-1
inspect,8916,inspect,InspEkt,2,1,1,1,1,0,-1,-1,-1
inspire,8918,inspire,InspYr,1,1,0,1,0,-1,-1,-1,-1
instal,8921,instal,Instcl,1,1,0,0,1,-1,-1,-1,-1
installation,8922,installation,InstxleS|n,1,0,1,1,0,-1,-1,-1,-1
instance,8924,instance,Instxns,1,1,0,0,1,-1,-1,-1,-1
instant,8925,instant,Instxnt,2,2,0,1,1,0,0,-1,-1
instate,8929,instate,Instet,1,0,1,1,0,-1,-1,-1,-1
instead,8930,instead,InstEd,1,1,0,0,1,-1,-1,-1,-1
instep,8931,instep,InstEp,1,1,0,0,1,-1,-1,-1,-1
instigate,8932,instigate,Inst|get,1,0,1,0,1,-1,-1,-1,-1
instigator,8934,instigator,Inst|getX,1,0,1,0,1,-1,-1,-1,-1
instil,8935,instil,InstIl,1,1,0,0,1,-1,-1,-1,-1
insubstantial,8948,insubstantial,Insxbst@nCL,1,1,0,1,0,-1,-1,-1,-1
insufficient,8950,insufficient,InsxfIS|nt,1,0,1,1,0,-1,-1,-1,-1
insulate,8953,insulate,Insxlet,1,0,1,0,1,-1,-1,-1,-1
insulation,8954,insulation,InsxleS|n,2,1,1,2,0,0,-1,0,-1
insulator,8955,insulator,InsxletX,1,0,1,0,1,-1,-1,-1,-1
insulin,8956,insulin,InsLxn,1,0,1,0,1,-1,-1,-1,-1
insuperable,8958,insuperable,InsupXxbL,1,1,0,1,0,-1,-1,-1,-1
insure,8962,insure,InSUr,2,2,0,1,1,0,0,-1,-1
intake,8968,intake,Intek,1,1,0,0,1,-1,-1,-1,-1
intelligence,8978,intelligence,IntEl|J|ns,1,1,0,0,1,-1,-1,-1,-1
intelligent,8979,intelligent,IntEl|J|nt,1,1,0,0,1,-1,-1,-1,-1
intelligible,8981,intelligible,IntElxJ|bL,1,0,1,1,0,-1,-1,-1,-1
intend,8983,intend,IntEnd,2,2,0,0,2,1,1,-1,1
intense,8985,intense,IntEns,3,3,0,1,2,0.333333333,0.333333333,-1,1
intent,8989,intent,IntEnt,4,4,0,2,2,0.333333333,0.333333333,1,1
intention,8990,intention,IntEnC|n,4,2,2,3,1,0.166666667,1,0.333333333,-1
intentional,8991,intentional,IntEnC|nL,1,0,1,0,1,-1,-1,-1,-1
inter,8992,inter,IntR,5,3,2,0,5,0.1,0.333333333,-1,0.1
intercept,8997,intercept,IntXsEpt,1,1,0,0,1,-1,-1,-1,-1
interest,9007,interest,Intrxst,1,1,0,0,1,-1,-1,-1,-1
interior,9012,interior,IntIriX,2,2,0,2,0,0,0,0,-1
interject,9013,interject,IntXJEkt,1,1,0,0,1,-1,-1,-1,-1
interleaf,9017,interleaf,IntXlif,1,1,0,0,1,-1,-1,-1,-1
interleave,9018,interleave,IntXliv,2,2,0,0,2,0,0,-1,0
interment,9033,interment,IntRmxnt,1,0,1,0,1,-1,-1,-1,-1
intern,9041,intern,IntRn,5,1,4,1,4,0.1,-1,-1,0.166666667
internal,9042,internal,IntRnL,5,2,3,2,3,0.2,0,0,0.666666667
interne,9044,interne,IntRn,5,1,4,1,4,0.1,-1,-1,0.166666667
internee,9046,internee,IntRni,3,1,2,0,3,0.666666667,-1,-1,0.666666667
internment,9048,internment,IntRnmxnt,1,0,1,0,1,-1,-1,-1,-1
intersect,9063,intersect,IntXsEkt,2,2,0,0,2,0,0,-1,0
interstate,9065,interstate,IntXstet,1,1,0,1,0,-1,-1,-1,-1
interweave,9074,interweave,IntXwiv,1,1,0,0,1,-1,-1,-1,-1
intestate,9075,intestate,IntEstet,1,1,0,1,0,-1,-1,-1,-1
into,9082,into,Intu,4,3,1,2,2,0.166666667,0.333333333,1,0
intone,9086,intone,Inton,2,2,0,0,2,0,0,-1,0
intrados,9090,intrados,Intrxdas,1,1,0,0,1,-1,-1,-1,-1
intrigue,9099,intrigue,Intrig,1,1,0,0,1,-1,-1,-1,-1
introduce,9101,introduce,Intrxdus,1,1,0,0,1,-1,-1,-1,-1
inure,9115,inure,InyUr,2,2,0,2,0,0,0,0,-1
inurn,9116,inurn,InRn,5,3,2,3,2,0,0,0,0
invade,9117,invade,Inved,3,1,2,2,1,0,-1,0,-1
invasion,9122,invasion,InveZ|n,2,1,1,2,0,0,-1,0,-1
invective,9123,invective,InvEktIv,1,1,0,0,1,-1,-1,-1,-1
inveigh,9124,inveigh,Inve,2,1,1,0,2,0,-1,-1,0
invent,9126,invent,InvEnt,4,4,0,2,2,0.166666667,0.166666667,1,0
invention,9127,invention,InvEnC|n,2,2,0,2,0,1,1,1,-1
inventive,9128,inventive,InvEntIv,2,2,0,1,1,0,0,-1,-1
inverse,9131,inverse,InvRs,2,2,0,0,2,0,0,-1,0
inversion,9132,inversion,InvRZ|n,2,2,0,2,0,0,0,0,-1
invert,9133,invert,InvRt,4,3,1,1,3,0.166666667,0,-1,0
invest,9135,invest,InvEst,4,4,0,3,1,0.5,0.5,1,-1
invidious,9140,invidious,InvIdixs,1,1,0,1,0,-1,-1,-1,-1
invite,9152,invite,InvYt,4,4,0,3,1,0.333333333,0.333333333,0.666666667,-1
inviting,9153,inviting,InvYtIG,1,1,0,1,0,-1,-1,-1,-1
invocation,9154,invocation,InvokeS|n,1,0,1,1,0,-1,-1,-1,-1
invoice,9155,invoice,InvOs,1,1,0,0,1,-1,-1,-1,-1
invoke,9156,invoke,Invok,1,0,1,1,0,-1,-1,-1,-1
involve,9161,involve,Invalv,1,0,1,1,0,-1,-1,-1,-1
inward,9165,inward,InwXd,1,0,1,0,1,-1,-1,-1,-1
inwards,9167,inwards,InwXdz,2,0,2,1,1,0,-1,-1,-1
iodide,9169,iodide,Y|dYd,1,1,0,0,1,-1,-1,-1,-1
iodine,9170,iodine,Y|dYn,1,1,0,0,1,-1,-1,-1,-1
ion,9171,ion,Y|n,4,1,3,4,0,0.5,-1,0.5,-1
ionic,9172,ionic,YanIk,4,3,1,4,0,0.5,1,0.5,-1
irate,9178,irate,Yret,9,7,2,9,0,0.777777778,1,0.777777778,-1
ire,9179,ire,Yr,21,8,13,15,6,0.295238095,0.464285714,0.523809524,0.466666667
irenic,9180,irenic,YrEnIk,1,1,0,1,0,-1,-1,-1,-1
iris,9184,iris,Yr|s,3,2,1,3,0,0.333333333,1,0.333333333,-1
irk,9186,irk,Rk,16,8,8,12,4,0.333333333,0.428571429,0.515151515,1
iron,9187,iron,Yrn,3,2,1,1,2,0.333333333,0,-1,1
ironic,9188,ironic,YranIk,3,2,1,3,0,0,0,0,-1
irradiate,9191,irradiate,Irediet,1,0,1,1,0,-1,-1,-1,-1
irrational,9192,irrational,Ir@SNL,1,0,1,1,0,-1,-1,-1,-1
irregular,9202,irregular,IrEgyUlX,1,0,1,1,0,-1,-1,-1,-1
irregularity,9203,irregularity,IrEgyUl@rxti,1,0,1,1,0,-1,-1,-1,-1
irreligious,9206,irreligious,IrIlIJ|s,1,0,1,1,0,-1,-1,-1,-1
irremediable,9207,irremediable,IrImidixbL,1,0,1,1,0,-1,-1,-1,-1
irresolute,9214,irresolute,IrEzxlut,1,0,1,1,0,-1,-1,-1,-1
irresolution,9215,irresolution,IrEzxluS|n,1,0,1,1,0,-1,-1,-1,-1
irreverence,9218,irreverence,IrEvXxns,1,0,1,1,0,-1,-1,-1,-1
irrevocable,9220,irrevocable,IrEvxkxbL,1,0,1,1,0,-1,-1,-1,-1
irrigate,9221,irrigate,Irxget,2,2,0,1,1,0,0,-1,-1
irrigation,9222,irrigation,IrxgeS|n,1,1,0,1,0,-1,-1,-1,-1
irritable,9224,irritable,IrxtxbL,1,1,0,1,0,-1,-1,-1,-1
irritate,9227,irritate,Irxtet,2,2,0,1,1,0,0,-1,-1
irritation,9228,irritation,IrxteS|n,2,2,0,2,0,0,0,0,-1
is,9230,is,Iz,13,10,3,5,8,0.320512821,0.533333333,0.4,0.75
islet,9235,islet,Yl|t,1,1,0,1,0,-1,-1,-1,-1
ism,9236,ism,IzM,2,0,2,1,1,0,-1,-1,-1
isolate,9238,isolate,Ysxlet,1,1,0,1,0,-1,-1,-1,-1
isolation,9239,isolation,YsxleS|n,1,1,0,1,0,-1,-1,-1,-1
issue,9249,issue,ISu,3,0,3,3,0,0.333333333,-1,0.333333333,-1
it,9252,it,It,27,13,14,19,8,0.324786325,0.461538462,0.543859649,0.75
italian,9253,Italian,|t@lyxn,1,1,0,1,0,-1,-1,-1,-1
italic,9254,italic,xt@lIk,1,0,1,1,0,-1,-1,-1,-1
itch,9255,itch,IC,18,10,8,11,7,0.300653595,0.533333333,0.436363636,1
item,9256,item,YtM,2,2,0,2,0,1,1,1,-1
itemize,9257,itemize,YtxmYz,1,1,0,1,0,-1,-1,-1,-1
its,9262,its,Its,1,0,1,0,1,-1,-1,-1,-1
ivory,9264,ivory,Yvri,3,1,2,2,1,0.333333333,-1,0,-1
ivy,9265,ivy,Yvi,4,2,2,3,1,0.333333333,1,0.333333333,-1
j,9266,j,Je,22,19,3,15,7,0.493506494,0.649122807,1,0.428571429
jab,9267,jab,J@b,14,13,1,9,5,0.263736264,0.307692308,0.5,0.6
jabber,9268,jabber,J@bX,3,2,1,2,1,0.333333333,1,1,-1
jack,9271,jack,J@k,17,16,1,12,5,0.382352941,0.433333333,0.696969697,0.6
jackal,9272,jackal,J@kL,5,4,1,4,1,0.6,1,1,-1
jade,9276,jade,Jed,11,9,2,8,3,0.563636364,0.611111111,1,1
jag,9277,jag,J@g,18,18,0,14,4,0.418300654,0.418300654,0.637362637,1
jailor,9280,jailor,JelX,3,2,1,2,1,0.333333333,1,1,-1
jalap,9281,jalap,J@lxp,3,3,0,3,0,0.333333333,0.333333333,0.333333333,-1
jam,9284,jam,J@m,16,15,1,12,4,0.375,0.352380952,0.590909091,1
jangle,9286,jangle,J@GgL,9,8,1,9,0,0.611111111,0.571428571,0.611111111,-1
jape,9290,jape,Jep,11,9,2,8,3,0.436363636,0.444444444,0.75,1
jar,9291,jar,Jar,16,14,2,11,5,0.383333333,0.417582418,0.654545455,1
jargon,9293,jargon,Jarg|n,1,1,0,1,0,-1,-1,-1,-1
