Item,IsWord,NumSylls,NumPhones,Duration,OrthUP,PhonND,OrthND,FreqSUBTLEX,FreqCOCA,FreqCOCAspok,FreqGoogle,PhonUP,NumMorphs
trapped,TRUE,1,5,450,7,18,8,1030,4397,1066,3683039,5,2
trappings,TRUE,2,7,531,9,1,1,20,610,82,292283,7,2
trash,TRUE,1,4,466,6,26,8,1146,4581,809,7097772,5,1
trashcan,TRUE,2,7,616,6,0,0,19,50,14,149008,5,NA
trashed,TRUE,1,5,609,7,10,3,134,364,92,405000,5,2
trashy,TRUE,2,5,491,6,3,2,54,174,24,1474429,5,2
trauma,TRUE,2,5,383,7,4,2,869,4780,740,5434737,6,1
traumas,TRUE,2,6,532,7,1,1,37,335,34,186644,6,2
traumatic,TRUE,3,8,530,9,0,0,138,2615,557,2450877,5,1
traumatize,TRUE,3,8,785,11,1,1,10,28,11,19238,9,1
traumatizing,TRUE,4,10,652,10,1,0,8,54,15,34075,9,2
travel,TRUE,2,6,567,7,12,8,1702,20340,2914,287722710,7,1
traveled,TRUE,2,7,518,8,6,4,343,6096,1011,4677240,8,2
traveler,TRUE,2,6,547,9,3,4,154,1668,149,14109044,7,2
travelers,TRUE,2,7,616,10,6,5,94,3510,377,8364541,7,3
traveling,TRUE,2,7,545,7,3,4,724,7294,1555,9647591,6,2
traveller,TRUE,3,7,432,10,9,4,40,164,1,5928568,8,2
travelling,TRUE,2,7,599,8,3,2,198,359,45,6271787,6,2
travelogue,TRUE,3,8,669,8,0,0,2,101,2,524172,7,1
travels,TRUE,2,7,559,8,9,2,288,2836,440,5625413,7,2
trawler,TRUE,2,5,378,8,5,3,23,181,10,270147,6,2
trawn,FALSE,1,4,444,NA,23,NA,0,0,0,0,5,NA
trawnjhihng,FALSE,2,7,500,NA,1,NA,0,0,0,0,5,NA
trawsiy,FALSE,2,5,504,NA,7,NA,0,0,0,0,4,NA
tray,TRUE,1,3,479,5,48,23,410,2620,108,7753730,4,1
traybsihng,FALSE,2,7,608,NA,0,NA,0,0,0,0,5,NA
traydihng,FALSE,2,6,504,NA,6,NA,0,0,0,0,5,NA
traydz,FALSE,1,5,520,NA,16,NA,0,0,0,0,5,NA
traynaez,FALSE,2,6,632,NA,0,NA,0,0,0,0,5,NA
traynd,FALSE,1,5,480,NA,9,NA,0,0,0,0,5,NA
traynz,FALSE,1,5,590,NA,18,NA,0,0,0,0,5,NA
trays,TRUE,1,4,554,5,48,10,78,795,38,2586701,4,2
traysaxn,FALSE,2,6,504,NA,7,NA,0,0,0,0,5,NA
traysaxz,FALSE,2,6,552,NA,2,NA,0,0,0,0,5,NA
treacherous,TRUE,3,7,582,9,0,0,111,770,101,554177,6,1
treachery,TRUE,3,6,495,9,1,0,96,285,24,434270,6,1
tread,TRUE,1,4,309,6,25,10,116,775,89,1673940,5,1
treadle,TRUE,2,6,356,6,16,0,0,35,4,81512,6,1
treason,TRUE,2,6,501,8,4,4,259,556,100,1155400,7,1
treasonable,TRUE,4,10,788,8,1,2,6,11,2,52007,7,NA
treasure,TRUE,2,5,484,9,11,4,972,3059,402,8534047,6,1
treasurer,TRUE,3,6,570,10,6,4,57,831,103,7279010,7,2
treasures,TRUE,2,6,474,9,10,6,131,1569,134,5294272,6,2
treasury,TRUE,3,6,469,9,8,2,194,4800,1555,9167640,7,1
treat,TRUE,1,4,293,6,38,8,2646,10298,2293,19442899,5,1
treatable,TRUE,3,8,469,6,0,0,29,283,67,293208,6,2
treated,TRUE,2,6,447,7,4,3,1219,12255,2797,22718161,6,2
treaties,TRUE,2,6,573,7,3,2,42,1370,174,2720856,6,2
treating,TRUE,2,6,432,7,3,2,605,4074,956,6876896,6,2
treatise,TRUE,2,6,499,9,4,2,15,511,11,987068,7,1
treatment,TRUE,2,8,492,10,1,1,985,33075,4349,90001988,9,2
treatments,TRUE,2,9,567,10,1,1,121,4993,689,12341268,9,3
treats,TRUE,1,5,447,6,22,6,317,2406,351,5005269,5,2
treaty,TRUE,2,5,579,7,7,3,239,6035,1072,9086189,6,1
trees,TRUE,1,4,509,6,55,14,1565,21832,1599,27379426,5,2
treetops,TRUE,2,7,707,8,1,1,14,334,17,201163,7,2
trehklihks,FALSE,2,8,624,NA,0,NA,0,0,0,0,5,NA
trehlaxld,FALSE,2,7,520,NA,1,NA,0,0,0,0,6,NA
trehmihng,FALSE,2,6,392,NA,3,NA,0,0,0,0,5,NA
trehraxg,FALSE,2,6,411,NA,0,NA,0,0,0,0,5,NA
trehraxraxz,FALSE,3,8,729,NA,0,NA,0,0,0,0,5,NA
trehrihl,FALSE,2,6,512,NA,0,NA,0,0,0,0,5,NA
trehstaxk,FALSE,2,7,544,NA,0,NA,0,0,0,0,6,NA
trehsts,FALSE,1,6,576,NA,14,NA,0,0,0,0,6,NA
trehswaas,FALSE,2,7,641,NA,0,NA,0,0,0,0,5,NA
trehtliydaxrz,FALSE,3,10,664,NA,0,NA,0,0,0,0,5,NA
trek,TRUE,1,4,376,5,32,9,229,2245,267,10691823,5,1
trellises,TRUE,3,8,728,8,0,0,1,97,1,132133,7,2
trembled,TRUE,2,8,479,8,3,4,21,691,7,314172,8,2
trembles,TRUE,2,8,477,8,2,3,14,120,3,100216,8,2
trembling,TRUE,2,8,478,7,1,0,136,1863,54,951318,7,2
tremendous,TRUE,3,9,552,11,1,0,431,6940,2935,6136813,10,1
tremendously,TRUE,4,11,918,11,1,0,53,1108,477,1006212,10,2
tremor,TRUE,2,5,344,7,14,2,41,351,16,645479,6,1
trench,TRUE,1,5,405,7,11,6,157,1234,133,1709629,6,1
trenchant,TRUE,2,8,513,8,0,0,2,103,1,96761,6,1
trenches,TRUE,2,7,447,8,2,4,108,948,163,1041638,6,2
trend,TRUE,1,5,482,6,11,8,106,8761,1285,15747246,6,1
trends,TRUE,1,5,472,7,19,5,36,6237,520,25880658,5,2
trendsetter,TRUE,3,9,563,7,0,0,4,51,11,181939,6,NA
trendy,TRUE,2,6,345,6,3,3,44,897,115,2278174,7,2
trepidation,TRUE,4,10,664,5,0,0,7,346,51,237215,5,1
trespass,TRUE,2,7,612,9,1,0,73,237,18,666691,8,1
