Item,node,ortho,phono,original,replace,delete_insert,replace_p,delins_p,pos_l50,pos_m50,all_cc,replace_cc,pos_l50_cc,pos_m50_cc,NumSylls,NumPhones,Duration,OrthUP,PhonND,OrthND,FreqSUBTLEX,log_freq,FreqCOCA,FreqCOCAspok,FreqGoogle,PhonUP,NumMorphs
ado,276,ado,xdu,4,1,3,0.25,0.75,2,2,0,-1,0,0,2,3,347,4,18,29,77,1.892094603,253,60,1581917,4,1
adopt,279,adopt,xdapt,2,2,0,1,0,2,0,1,1,1,-1,2,5,544,6,5,3,238,2.378397901,4518,761,11272756,6,1
adoration,282,adoration,@dXeS|n,3,2,1,0.666666667,0.333333333,3,0,0.333333333,1,0.333333333,-1,4,7,571,6,2,0,30,1.491361694,361,29,542469,4,2
adult,290,adult,xd^lt,1,1,0,1,0,1,0,-1,-1,-1,-1,2,5,436,6,6,4,729,2.86332286,14517,1770,97585771,6,1
adverb,303,adverb,@dvRb,2,2,0,1,0,0,2,1,1,-1,1,2,5,532,7,4,2,10,1.041392685,59,9,278164,6,1
adverse,307,adverse,@dvRs,2,2,0,1,0,0,2,1,1,-1,1,2,5,542,8,5,1,36,1.568201724,2279,210,11157534,6,1
advert,309,advert,@dvRt,2,2,0,1,0,0,2,1,1,-1,1,2,5,477,7,3,4,13,1.146128036,34,3,5431594,6,1
advice,313,advice,xdvYs,1,1,0,1,0,0,1,-1,-1,-1,-1,2,5,650,5,4,3,2447,3.388811413,14583,3472,71278594,5,1
advise,315,advise,xdvYz,1,1,0,1,0,0,1,-1,-1,-1,-1,2,5,627,7,4,6,622,2.794488047,1955,471,8325087,6,1
aerate,322,aerate,Eret,8,7,1,0.875,0.125,8,0,1,1,1,-1,2,4,434,7,19,2,1,0.301029996,36,0,53640,5,1
aeration,323,aeration,EreS|n,2,1,1,0.5,0.5,2,0,0,-1,0,-1,3,6,572,6,3,0,1,0.301029996,148,1,478947,4,2
aerial,324,aerial,@riL,4,2,2,0.5,0.5,2,2,0.333333333,0,1,1,3,5,460,7,10,2,129,2.113943352,1694,261,6531386,6,1
aeronaut,331,aeronaut,@rxnct,1,0,1,0,1,0,1,-1,-1,-1,-1,3,6,502,9,2,0,0,0,12,0,58911,5,NA
afar,341,afar,xfar,4,3,1,0.75,0.25,2,2,0.166666667,0.333333333,0,1,2,4,646,4,17,7,59,1.77815125,587,113,766928,4,1
affair,345,affair,xfEr,4,3,1,0.75,0.25,2,2,0.166666667,0.333333333,0,1,2,4,413,7,18,1,1502,3.176958981,5712,1745,5545856,5,1
affect,346,affect,xfEkt,2,2,0,1,0,2,0,0,0,0,-1,2,5,511,7,4,4,568,2.755112266,13544,2444,24406141,6,1
affection,348,affection,xfEkS|n,1,1,0,1,0,1,0,-1,-1,-1,-1,3,7,718,10,1,1,431,2.635483747,2454,336,2332707,8,2
afferent,349,afferent,@fXxnt,1,1,0,1,0,1,0,-1,-1,-1,-1,3,6,449,5,2,1,0,0,62,0,247551,4,1
affiliate,352,affiliate,xfIliet,1,1,0,1,0,1,0,-1,-1,-1,-1,4,7,650,10,2,4,15,1.204119983,1162,426,37877419,8,1
affirm,354,affirm,xfRm,1,0,1,0,1,1,0,-1,-1,-1,-1,2,4,738,7,5,1,17,1.255272505,850,82,1680655,5,1
afford,361,afford,xford,4,3,1,0.75,0.25,4,0,0.5,1,0.5,-1,2,5,551,7,9,9,2266,3.35545152,10414,2779,10348210,6,1
afghan,365,afghan,@fg@n,1,0,1,0,1,0,1,-1,-1,-1,-1,2,5,566,7,1,2,29,1.477121255,4238,1516,3571609,6,NA
afield,368,afield,xfild,1,0,1,0,1,1,0,-1,-1,-1,-1,2,5,484,4,7,1,6,0.84509804,299,24,435380,5,1
aflame,370,aflame,xflem,2,1,1,0.5,0.5,2,0,0,-1,0,-1,2,5,699,5,3,1,17,1.255272505,112,13,118170,4,1
afloat,371,afloat,xflot,1,0,1,0,1,1,0,-1,-1,-1,-1,2,5,444,4,1,1,85,1.934498451,772,129,652557,4,1
afoot,373,afoot,xfUt,1,0,1,0,1,1,0,-1,-1,-1,-1,2,4,448,4,2,1,52,1.72427587,303,46,367802,3,1
afraid,377,afraid,xfred,2,1,1,0.5,0.5,1,1,0,-1,-1,-1,2,5,536,4,1,0,12631,4.101472117,16554,5014,10859260,4,1
after,382,after,@ftX,5,2,3,0.4,0.6,4,1,0.3,1,0.5,-1,2,4,402,6,13,6,34812,4.54174145,288288,59624,372953923,5,1
age,393,age,eJ,16,10,6,0.625,0.375,8,8,0.366666667,0.644444444,0.571428571,1,1,2,395,4,66,46,4039,3.606381365,65798,8812,132738257,3,1
