from_node,to_node,from_ortho,from_phono,to_ortho,to_phono,type,position,from_phono_length,position_percent
487,13156,alight,xlYt,plight,plYt,replace,0,4,0
487,15801,alight,xlYt,sleight,slYt,replace,0,4,0
489,5534,aliment,@lxmxnt,element,Elxmxnt,replace,0,7,0
490,5536,alimentary,@lxmEntXi,elementary,ElxmEntXi,replace,0,9,0
492,1156,aline,xlYn,assign,xsYn,replace,1,4,0.25
493,6551,alit,xlIt,flit,flIt,replace,0,4,0
493,15821,alit,xlIt,slit,slIt,replace,0,4,0
501,5407,all,cl,earl,Rl,replace,0,2,0
501,5475,all,cl,eel,il,replace,0,2,0
501,5554,all,cl,ell,El,replace,0,2,0
501,8270,all,cl,ill,Il,replace,0,2,0
501,11900,all,cl,oil,Ol,replace,0,2,0
501,12218,all,cl,owl,Wl,replace,0,2,0
503,1059,allay,xle,array,xre,replace,1,3,0.333333333
503,1383,allay,xle,aweigh,xwe,replace,1,3,0.333333333
503,3265,allay,xle,clay,kle,replace,0,3,0
503,6520,allay,xle,flay,fle,replace,0,3,0
503,13125,allay,xle,play,ple,replace,0,3,0
503,15793,allay,xle,slay,sle,replace,0,3,0
505,13143,allege,xlEJ,pledge,plEJ,replace,0,4,0
505,15796,allege,xlEJ,sledge,slEJ,replace,0,4,0
519,1116,alley,@li,ashy,@Si,replace,1,3,0.333333333
519,5409,alley,@li,early,Rli,replace,0,3,0
519,6521,alley,@li,flea,fli,replace,0,3,0
519,7206,alley,@li,glee,gli,replace,0,3,0
519,13128,alley,@li,plea,pli,replace,0,3,0
522,1118,allied,xlYd,aside,xsYd,replace,1,4,0.25
522,7210,allied,xlYd,glide,glYd,replace,0,4,0
522,15810,allied,xlYd,slide,slYd,replace,0,4,0
527,1369,allocation,@lxkeS|n,avocation,@vxkeS|n,replace,1,8,0.125
528,1949,allot,xlat,blot,blat,replace,0,4,0
528,3318,allot,xlat,clot,klat,replace,0,4,0
528,13160,allot,xlat,plot,plat,replace,0,4,0
528,15831,allot,xlat,slot,slat,replace,0,4,0
529,1373,allow,xlW,avow,xvW,replace,1,3,0.333333333
529,13161,allow,xlW,plough,plW,replace,0,3,0
530,3331,alloy,@lO,cloy,klO,replace,0,3,0
530,13164,alloy,@lO,ploy,plO,replace,0,3,0
533,652,allure,xlUr,amour,xmUr,replace,1,4,0.25
533,1172,allure,xlUr,assure,xSUr,replace,1,4,0.25
535,6601,ally,@lY,fly,flY,replace,0,3,0
535,13193,ally,@lY,ply,plY,replace,0,3,0
535,15847,ally,@lY,sly,slY,replace,0,3,0
541,11867,alms,amz,odds,adz,replace,1,3,0.333333333
542,636,aloe,@lo,ammo,@mo,replace,1,3,0.333333333
542,1065,aloe,@lo,arrow,@ro,replace,1,3,0.333333333
542,1953,aloe,@lo,blow,blo,replace,0,3,0
