Lower,Item,NumSylls,NumPhones,Duration,OrthUP,PhonND,OrthND,FreqSUBTLEX,FreqCOCA,FreqCOCAspok,FreqGoogle,PhonUP,NumMorphs
imperatives,imperatives,4,10,666,11,1,1,2,494,24,435041,10,NA
imperfect,imperfect,3,8,572,10,0,0,49,942,138,1460546,9,2
imperial,imperial,4,8,593,9,2,3,126,3121,206,9777012,9,1
imperil,imperil,3,7,484,8,2,3,4,90,9,71029,8,1
imperiled,imperiled,3,8,644,8,2,0,0,220,16,130429,8,3
impersonal,impersonal,4,9,651,11,1,0,44,615,27,456835,10,3
impersonally,impersonally,5,10,725,11,1,0,1,29,0,16004,10,4
impersonate,impersonate,4,9,749,12,3,3,33,84,18,255003,10,1
impersonates,impersonates,4,10,908,12,2,2,3,21,2,35676,10,2
impersonation,impersonation,5,11,783,12,0,0,23,164,44,310474,9,2
impersonator,impersonator,5,10,685,13,4,1,28,116,43,215439,11,2
impetus,impetus,3,7,564,7,1,0,7,1066,119,996580,7,1
impiety,impiety,4,7,662,5,0,0,0,24,0,70195,6,NA
impinge,impinge,2,6,688,8,1,2,6,134,15,171170,7,1
impingement,impingement,3,10,692,8,0,0,0,44,0,149651,7,2
impinging,impinging,3,8,898,7,1,0,6,58,3,102161,8,3
implant,implant,2,7,629,8,2,2,109,1325,219,2399127,8,1
implantation,implantation,4,11,802,9,0,0,6,254,23,916131,8,2
implanted,implanted,3,9,587,8,1,0,62,624,113,901418,9,3
implants,implants,2,8,639,8,2,2,141,1339,395,3136333,8,2
implement,implement,3,9,589,10,2,1,63,4391,546,20723680,10,1
implementation,implementation,5,13,797,10,0,0,9,6633,263,46915366,10,2
implemented,implemented,4,11,788,10,1,0,14,4372,425,19164127,10,2
implementing,implementing,4,11,665,10,1,0,29,2822,199,13588118,10,2
implicate,implicate,3,8,630,10,1,2,56,297,66,262428,9,1
implicated,implicated,4,10,570,10,1,2,65,1067,188,1147508,10,2
implication,implication,4,10,677,12,1,1,48,1696,256,1940990,11,2
implications,implications,4,11,899,12,1,1,79,8566,662,13188157,11,3
implicit,implicit,3,8,594,9,0,0,15,2013,130,3654614,9,1
implicitly,implicitly,4,10,660,9,0,0,28,1071,58,1429266,9,2
implied,implied,2,6,607,7,4,1,109,2189,186,9050427,6,3
implies,implies,2,6,620,7,3,1,80,2973,159,7118895,6,2
implosion,implosion,3,8,561,6,0,0,38,195,25,284902,6,1
imply,imply,2,5,639,6,3,4,137,1928,160,4491299,6,1
implying,implying,3,7,611,6,1,0,147,867,156,1139448,6,3
import,import,2,6,601,7,5,3,111,2659,318,28633666,7,1
importance,importance,3,9,618,9,1,0,390,16893,1192,26451992,9,1
important,important,3,9,611,10,1,0,10587,94969,23809,136104609,10,1
importantly,importantly,4,11,619,10,0,0,278,3508,1026,5797467,10,4
imported,imported,3,8,548,8,2,2,151,2649,219,8807669,8,3
importer,importer,3,7,579,9,8,2,13,356,12,2004571,8,2
importunately,importunately,5,11,722,7,0,0,0,0,0,3360,5,2
impose,impose,2,5,525,7,1,3,145,3349,798,5214173,6,1
imposed,imposed,2,6,620,7,1,3,66,4838,672,9098534,6,3
imposes,imposes,3,7,641,7,1,2,3,670,72,1368898,6,2
imposing,imposing,3,7,778,7,1,0,52,2230,313,2401482,7,3
imposition,imposition,4,9,594,7,0,0,39,734,51,1588551,5,2
impossibility,impossibility,6,12,767,9,0,0,35,588,43,590336,6,2
impossibly,impossibly,4,9,628,10,0,1,20,670,33,293865,8,2
impostor,impostor,3,7,560,9,2,1,101,103,20,154650,8,1
impotence,impotence,3,8,686,8,2,0,33,335,27,1718043,8,2
impoverish,impoverish,3,8,700,11,1,0,1,48,11,41534,9,1
impoverished,impoverished,3,9,695,12,1,1,29,1297,125,789594,9,2
impracticable,impracticable,5,13,702,11,0,0,3,39,1,241408,11,2
impractical,impractical,4,11,643,12,1,0,45,571,41,813657,11,2
impracticality,impracticality,6,14,810,12,0,0,1,30,1,27215,10,3
imprecise,imprecise,3,8,702,6,0,0,8,266,16,293948,6,2
impregnable,impregnable,4,11,677,9,0,0,29,127,9,98069,8,2
impress,impress,2,6,593,8,2,1,520,1402,169,2279251,7,1
impressed,impressed,2,7,683,9,2,1,972,4664,857,6470043,7,3
impresses,impresses,3,8,688,9,2,1,22,172,15,223554,8,2
impression,impression,3,8,499,11,1,1,946,6323,1462,7927436,9,2
