Lower,Item,NumSylls,NumPhones,Duration,OrthUP,PhonND,OrthND,FreqSUBTLEX,FreqCOCA,FreqCOCAspok,FreqGoogle,PhonUP,NumMorphs
consequently,consequently,4,12,654,11,1,0,50,4004,115,6878129,11,2
conservation,conservation,4,10,775,13,0,0,32,9053,459,26039090,11,2
conservationist,conservationist,5,13,944,16,1,1,3,199,31,215846,14,3
conservationists,conservationists,5,14,981,16,1,1,1,516,43,264896,14,4
conservatism,conservatism,5,12,872,11,0,0,1,1135,240,1019836,10,1
conservative,conservative,4,10,654,13,2,1,192,16389,5722,14853148,11,1
conservatives,conservatives,4,11,751,14,1,2,12,5958,2671,4160793,11,2
conservativism,conservativism,6,14,906,12,0,0,0,39,22,34194,11,2
conservatory,conservatory,5,11,946,12,1,2,69,497,26,1890565,12,2
conserve,conserve,2,6,610,9,4,1,44,931,88,1607331,7,1
conserving,conserving,3,8,602,8,2,0,8,443,17,808082,7,2
consider,consider,3,7,530,9,2,1,2676,27509,4291,54062581,8,1
considerable,considerable,5,11,729,12,0,1,231,7116,607,10518680,10,2
considerably,considerably,5,11,741,12,0,1,83,3314,312,4887058,10,2
consideration,consideration,5,11,825,14,1,1,334,6073,784,21533734,12,2
considerations,considerations,5,12,823,14,1,1,44,3051,244,9523594,12,3
considered,considered,3,8,758,9,2,0,1182,30965,4686,57378298,8,2
considering,considering,4,9,660,9,0,0,973,9897,1501,17700021,8,2
considers,considers,3,8,560,9,2,1,103,3463,378,6583467,8,2
consigned,consigned,2,7,587,9,5,1,12,216,12,345382,7,2
consignee,consignee,3,7,708,9,2,1,3,7,0,337579,7,2
consignment,consignment,3,10,608,8,1,0,29,193,8,1211676,7,2
consist,consist,2,7,644,8,1,2,22,1388,52,6861709,8,1
consisted,consisted,3,9,547,9,1,0,28,3472,49,3396499,9,2
consistence,consistence,3,10,701,11,2,1,1,2,1,48204,11,2
consistency,consistency,4,11,697,11,1,1,39,3655,190,6300897,11,1
consistent,consistent,3,10,798,11,1,0,293,11401,1157,22600601,11,2
consistently,consistently,4,12,878,11,0,0,44,5425,568,7304456,11,3
consisting,consisting,3,9,958,8,1,0,18,1833,29,7112172,9,2
consists,consists,2,8,635,8,1,1,68,4026,137,16197547,8,2
console,console,2,6,708,8,4,6,114,1580,70,17123841,7,1
consoles,consoles,2,7,617,8,3,4,3,254,13,6700036,7,2
consolidate,consolidate,4,10,693,12,2,2,23,862,152,3471957,11,1
consolidated,consolidated,5,12,890,13,0,2,36,1053,81,9558026,11,2
consolidating,consolidating,5,12,788,12,0,0,13,393,59,1198303,11,2
consolidation,consolidation,5,12,815,14,0,1,10,1148,126,19338827,10,2
consonant,consonant,3,9,698,10,2,1,10,429,9,607246,10,1
consort,consort,2,7,565,8,1,1,32,179,8,632622,8,1
consortium,consortium,4,10,699,11,2,2,35,1476,99,7533062,11,1
conspicuous,conspicuous,4,11,727,12,0,0,75,945,57,1015308,12,1
conspicuously,conspicuously,5,13,819,12,0,0,3,476,38,378447,12,2
conspiracies,conspiracies,4,11,811,10,1,0,25,230,54,489550,11,2
conspiracy,conspiracy,4,10,733,10,1,0,526,3710,1373,6467099,11,1
conspire,conspire,3,7,599,9,1,1,31,193,29,238745,8,1
constables,constables,3,10,626,10,1,1,9,65,1,289866,10,2
constant,constant,2,8,728,9,4,3,506,9524,1108,22910883,9,1
constantly,constantly,3,10,627,9,0,0,450,8299,1470,10442685,9,2
constants,constants,2,9,613,9,2,3,4,268,9,3416557,9,2
constellation,constellation,4,11,743,14,4,1,48,1145,65,1487622,12,2
constellations,constellations,4,12,856,14,2,2,23,541,14,555967,12,3
consternate,consternate,3,9,657,11,0,0,0,0,0,1107,6,1
constipate,constipate,3,9,788,11,1,2,0,1,0,4078,10,1
constituencies,constituencies,5,13,922,12,1,0,1,896,168,1081742,13,2
constituency,constituency,5,12,813,12,1,0,22,1247,373,2322415,13,1
constituent,constituent,4,11,918,12,2,1,6,771,120,2263143,12,1
constituents,constituents,4,12,800,13,1,2,26,1937,544,2780907,12,2
constitute,constitute,3,9,669,11,1,2,43,3210,156,9358523,10,1
constituted,constituted,4,11,823,11,0,2,16,1847,67,2257382,10,2
constitutes,constitutes,3,10,689,11,1,2,65,2283,151,29158454,10,2
constitution,constitution,4,11,783,13,0,1,282,11512,3536,20437900,12,2
constitutional,constitutional,5,13,794,15,1,0,112,7753,1944,10699765,14,3
constitutionalism,constitutionalism,7,17,1347,17,0,1,0,127,5,124859,15,4
constitutionalize,constitutionalize,6,15,1065,16,0,0,0,4,0,5120,14,4
constitutionally,constitutionally,6,14,906,15,1,0,10,508,104,694965,14,4
constrain,constrain,2,8,593,10,3,2,2,422,23,743884,9,1
constrained,constrained,2,9,684,10,3,0,12,1154,77,2683009,9,2
constraint,constraint,2,9,718,11,4,3,2,717,36,5081065,10,1
constraints,constraints,2,10,631,11,1,2,16,3256,155,10529752,10,2
constrictors,constrictors,3,11,838,12,2,2,8,20,2,23951,11,3
construct,construct,2,9,583,10,4,3,74,4592,156,8472340,10,1
constructed,constructed,3,11,605,10,2,1,88,5088,206,11581210,10,2
constructing,constructing,3,11,633,11,3,1,26,1354,60,2940002,11,2
construction,construction,3,11,685,13,2,2,706,16598,1505,88774065,12,2
constructional,constructional,4,13,663,13,0,0,0,8,2,100871,12,3
constructions,constructions,3,12,831,13,2,2,4,637,7,1532063,12,3
constructive,constructive,3,11,725,13,2,0,111,1698,412,3445607,12,2
constructively,constructively,4,13,958,13,0,0,7,209,42,362132,12,3
constructor,constructor,3,10,643,12,4,2,2,29,3,4711086,11,2
constructs,constructs,2,10,645,10,3,2,9,1622,13,2379073,10,2
construed,construed,2,8,591,9,1,1,36,607,49,3422720,8,2
consulship,consulship,3,9,688,7,0,0,0,7,0,29578,7,2
consult,consult,2,7,526,8,1,2,285,1980,257,11666011,8,1
consultant,consultant,3,10,635,11,3,1,187,6015,922,18518143,11,2
consultants,consultants,3,11,728,12,1,3,42,2324,201,19217524,11,3
consultation,consultation,4,11,736,13,2,1,64,3112,224,20345250,12,2
consultations,consultations,4,12,831,13,2,1,10,736,133,4261175,12,3
consultative,consultative,4,11,810,11,0,0,0,287,11,1594458,9,NA
consulted,consulted,3,9,627,8,1,0,86,1518,217,3094839,9,2
consulting,consulting,3,9,646,8,1,0,146,4003,360,30663774,9,2
consults,consults,2,8,644,8,1,1,21,252,18,538850,8,2
consume,consume,2,6,696,8,3,3,105,2118,214,3077450,7,1
consumer,consumer,3,7,498,9,6,4,106,12864,2731,67666665,8,2
consumers,consumers,3,8,624,10,2,4,45,11783,1931,21993010,8,3
consumes,consumes,2,7,668,8,6,4,36,548,38,802630,7,2
consuming,consuming,3,8,522,7,0,0,54,2554,254,5023310,7,2
consummated,consummated,4,10,643,11,0,3,32,137,18,211806,9,2
consummately,consummately,4,10,677,11,0,0,1,20,1,13281,7,2
consumption,consumption,3,10,828,10,1,0,94,6860,433,18620806,8,1
contact,contact,2,7,568,8,4,6,3305,20254,2675,645837580,8,1
contacted,contacted,3,9,625,8,1,1,379,2762,641,6431982,9,2
contacts,contacts,2,8,637,8,4,3,403,3479,517,34966748,8,2
contagious,contagious,3,8,647,11,1,0,170,700,116,1009095,9,1
contain,contain,2,6,583,8,5,2,310,7599,706,29552509,7,1
contained,contained,2,7,640,9,4,1,235,7074,607,29955043,7,2
container,container,3,7,504,10,6,2,219,3443,224,12182185,8,2
containers,containers,3,8,610,11,3,3,77,2638,186,7553719,8,3
containing,containing,3,8,601,8,0,0,129,4687,249,28254166,7,2
containment,containment,3,10,678,8,0,0,107,1369,299,2272292,7,2
contains,contains,2,7,657,8,7,1,260,7814,391,55146207,7,2
contaminants,contaminants,4,12,687,12,1,1,11,880,45,2464458,12,2
contaminated,contaminated,5,12,675,12,1,2,130,2076,328,4421206,11,2
contamination,contamination,5,12,794,12,0,0,60,2072,170,5488731,10,2
contaminator,contaminator,5,11,770,11,2,0,0,0,0,1555,11,2
contemplate,contemplate,3,10,542,12,1,2,63,1029,143,922451,11,1
contemplated,contemplated,4,12,758,12,1,2,21,766,88,1551104,12,2
contemplates,contemplates,3,11,663,12,1,2,3,246,19,320873,11,2
contemplating,contemplating,4,12,726,12,1,0,69,1034,122,1047853,12,2
contemplation,contemplation,4,12,733,12,0,0,12,817,26,860693,10,2
contemporaries,contemporaries,5,12,938,12,1,0,14,960,44,805767,12,2
contempt,contempt,2,8,481,9,0,1,256,1774,260,2065319,9,1
contend,contend,2,7,688,8,5,4,48,2244,183,1561719,8,1
contended,contended,3,9,553,9,2,3,6,792,42,740336,9,2
contender,contender,3,8,778,10,3,2,49,1021,193,1079514,9,2
contenders,contenders,3,9,644,10,2,1,17,874,163,667535,9,3
contends,contends,2,8,510,8,4,3,10,1589,84,1525383,8,2
content,content,2,7,545,8,5,11,389,17597,1047,188885464,8,1
contenting,contenting,3,9,595,9,4,4,0,9,0,15598,9,2
contention,contention,3,9,627,11,4,2,41,1743,255,2101748,10,1
contentions,contentions,3,10,818,11,4,3,0,144,13,305379,10,2
contentious,contentious,3,9,651,12,1,1,9,1227,266,906591,10,1
contents,contents,2,8,573,8,5,13,219,3415,169,78366547,8,2
contest,contest,2,7,586,8,6,8,958,5600,1298,20859550,8,1
contestant,contestant,3,10,652,11,1,1,136,490,206,767668,11,2
contestants,contestants,3,11,739,11,1,1,134,839,203,1135064,11,3
contested,contested,3,9,629,8,2,4,6,1339,223,1607211,9,2
contests,contests,2,6,656,8,4,6,69,1424,258,10764231,7,2
contexts,contexts,2,9,788,8,3,7,1,3010,41,3804487,9,2
contextual,contextual,4,12,818,8,0,0,2,1127,7,1648180,6,2
contiguous,contiguous,4,10,778,6,1,1,3,405,27,2702054,6,1
continence,continence,3,9,570,9,4,0,0,68,6,287761,9,1
continent,continent,3,9,550,10,4,2,187,3467,364,5095575,10,1
continental,continental,4,11,768,12,4,2,168,3109,324,12854959,12,2
continentals,continentals,4,12,750,12,3,3,1,33,1,44847,12,NA
contingencies,contingencies,4,12,868,11,1,0,23,392,43,891328,12,2
contingency,contingency,4,11,703,11,1,0,78,1032,179,2784609,12,1
contingent,contingent,3,10,615,11,1,2,55,1723,130,3110534,11,1
continual,continual,4,10,606,10,3,0,16,915,68,1685246,11,1
continually,continually,4,10,591,10,1,0,55,2645,279,5278721,9,2
continuance,continuance,4,11,727,12,1,1,57,210,10,714003,12,2
continuation,continuation,5,12,716,9,0,0,24,1110,217,4457196,9,2
continue,continue,3,8,539,9,2,2,2527,36309,11780,76660150,9,1
continued,continued,3,9,564,9,2,2,370,24994,2683,40416394,9,2
continues,continues,3,9,622,9,2,2,1089,21277,5706,24003655,9,2
continuing,continuing,4,10,798,9,0,0,204,9973,2481,25429745,9,2
continuity,continuity,5,10,651,9,0,0,35,1983,141,6045562,7,1
continuous,continuous,4,10,712,11,4,1,98,5178,223,21878180,11,1
continuously,continuously,5,12,912,11,1,0,50,1830,141,5610397,11,2
continuum,continuum,4,10,664,8,2,0,77,1454,71,3015962,10,1
contour,contour,2,6,575,8,3,1,14,799,22,3295488,7,1
contours,contours,2,7,738,8,3,1,20,903,15,1490989,7,2
contra,contra,2,6,473,7,9,7,3,1464,586,2753017,7,1
contraband,contraband,3,10,645,9,0,0,48,356,49,455603,9,2
contraception,contraception,4,12,732,12,0,0,23,914,262,1788872,10,1
contraceptive,contraceptive,4,12,778,14,1,1,17,582,99,1264966,13,1
contraceptives,contraceptives,4,13,746,14,1,1,18,498,81,938332,13,2
contract,contract,2,8,537,9,6,5,1650,13536,1835,66898362,9,1
contracted,contracted,3,10,695,9,0,2,94,1493,194,3484408,9,2
contracting,contracting,3,10,671,10,1,2,24,1365,146,8560554,9,2
contraction,contraction,3,10,659,12,2,2,55,697,54,1688692,11,2
contractions,contractions,3,11,723,12,2,2,99,584,43,746065,11,3
contractor,contractor,3,9,689,11,5,1,160,2037,376,21783415,10,2
contractors,contractors,3,10,754,12,2,3,56,2505,397,18830680,10,3
contracts,contracts,2,9,698,9,5,9,296,5387,664,24096113,9,2
contractual,contractual,4,11,754,12,1,0,10,451,54,3272527,12,2
contradiction,contradiction,4,12,688,14,1,1,75,1360,227,1924222,13,2
contradictions,contradictions,4,13,843,14,1,1,21,1270,138,1041974,13,3
contradictory,contradictory,5,12,656,13,0,0,32,1685,168,1325538,12,3
contraption,contraption,3,10,630,12,2,2,75,345,32,163143,11,1
contraptions,contraptions,3,11,740,12,2,2,16,110,11,114813,11,2
contrary,contrary,3,8,676,8,1,0,454,5466,703,8799793,9,1
contrast,contrast,2,8,725,9,4,9,107,13809,797,17956897,9,1
contrasting,contrasting,3,10,898,9,0,1,5,1052,45,1460652,9,2
contrasts,contrasts,2,7,765,9,2,4,9,1320,77,1295820,8,2
contribute,contribute,3,10,507,11,1,2,194,7411,822,22258902,11,1
contributed,contributed,4,12,728,11,1,2,86,7078,634,13454831,12,2
contributes,contributes,3,11,758,11,1,2,16,2000,129,3474637,11,2
contributing,contributing,4,12,555,11,1,0,58,4425,535,8273017,12,2
contribution,contribution,4,12,778,13,1,1,223,5848,649,20469087,13,2
contributions,contributions,4,13,918,13,1,1,100,7207,914,21879064,13,3
contributor,contributor,4,11,584,12,1,2,18,2169,839,5902799,12,2
contributors,contributors,4,12,704,12,1,2,16,1608,335,8924784,12,3
contributory,contributory,5,13,730,12,0,2,3,88,11,546087,11,3
contrite,contrite,2,7,511,8,2,1,11,149,27,97621,7,1
contrivances,contrivances,4,12,804,12,0,1,3,34,2,65275,11,3
control,control,2,7,535,8,5,1,6662,70639,12408,215574712,8,1
controling,controling,3,9,619,8,0,1,3,0,0,82584,8,NA
controlled,controlled,2,8,627,10,4,1,356,9912,1471,23265730,8,2
controller,controller,3,8,593,11,7,2,66,1394,191,18514449,9,2
controllers,controllers,3,9,651,12,5,3,26,979,267,6653244,9,3
controlling,controlling,3,9,505,9,0,1,226,4390,680,8536013,8,2
controls,controls,2,8,626,9,5,3,398,7823,862,29842164,8,2
controversial,controversial,4,11,764,12,0,0,109,6469,2254,5460493,9,2
controversies,controversies,4,11,958,12,1,0,3,769,157,925227,11,2
controversy,controversy,4,10,696,11,1,0,83,6202,2355,5161175,11,1
contumely,contumely,3,9,778,6,0,0,1,12,0,14562,5,NA
conundrum,conundrum,3,9,594,5,0,0,25,435,42,484271,6,1
convalescent,convalescent,4,11,795,12,1,0,17,75,14,578385,11,2
convalescing,convalescing,4,10,742,10,0,0,6,38,2,29332,9,2
convene,convene,2,6,589,8,4,4,39,411,106,861206,7,1
convenience,convenience,3,10,601,12,1,1,245,2859,328,12203703,11,1
conveniences,conveniences,4,12,742,12,0,1,17,210,19,694957,11,2
convenient,convenient,3,10,518,11,1,0,436,2667,332,12801318,11,1
conveniently,conveniently,4,12,928,11,0,0,76,671,47,3432407,11,2
convening,convening,3,8,545,8,0,1,10,165,39,470576,7,2
convent,convent,2,7,594,8,3,9,170,765,45,872700,8,1
convention,convention,3,9,539,11,4,3,629,10166,3552,27974338,10,1
conventional,conventional,4,11,640,13,1,0,155,8309,853,12426348,12,2
conventionalized,conventionalized,5,14,912,13,0,0,0,32,0,14446,7,4
conventions,conventions,3,10,828,11,2,3,76,2489,531,6647824,10,2
converged,converged,2,7,636,9,1,3,5,422,42,1036526,7,2
convergence,convergence,3,9,663,10,1,0,12,1027,63,5668486,9,2
conversant,conversant,3,9,620,9,1,0,6,119,12,243263,8,1
conversation,conversation,4,10,838,13,1,1,2543,17674,5788,13527150,11,2
conversations,conversations,4,11,968,13,1,1,285,5489,1559,5859623,11,3
converse,converse,2,6,570,9,5,4,66,618,39,2554939,7,1
conversely,conversely,3,8,672,9,0,0,8,1562,58,1756662,7,NA
conversion,conversion,3,8,680,11,2,1,66,3225,201,26552700,9,1
conversions,conversions,3,9,682,11,1,2,5,377,22,3373910,9,2
convert,convert,2,6,421,8,9,9,159,2483,281,16927734,7,1
converted,converted,3,8,548,9,2,5,132,3672,280,18738701,8,2
convertible,convertible,4,10,557,12,1,1,166,1103,112,5600483,11,2
converting,converting,3,8,574,9,3,2,41,986,83,4991965,8,2
convex,convex,2,7,708,6,1,1,9,185,3,1838604,6,1
convey,convey,2,5,478,7,4,10,136,2510,289,3335192,6,1
conveyance,conveyance,3,8,601,7,0,0,11,191,16,1133899,6,2
conveyed,conveyed,2,6,563,8,4,2,23,1150,112,1579407,6,2
conveyer,conveyer,3,6,525,8,3,2,0,59,6,87663,6,2
conveying,conveying,3,7,587,7,0,1,11,523,54,957594,6,2
conveyor,conveyor,3,6,530,7,3,1,43,400,42,1592655,6,2
conveys,conveys,2,6,728,7,4,2,8,624,23,1071961,6,2
convict,convict,2,7,546,8,2,2,324,1037,506,844175,8,1
convicted,convicted,3,9,570,8,0,0,420,5992,2750,5133903,8,2
convicting,convicting,3,9,667,9,0,0,19,99,52,100449,8,2
conviction,conviction,3,9,613,11,2,2,303,4315,1094,5818769,10,2
convictions,convictions,3,10,664,11,1,1,126,1995,445,2206377,10,3
convince,convince,2,7,539,9,1,2,955,5182,1664,3962104,8,1
convinced,convinced,2,8,838,9,1,2,1061,9123,2542,5988021,8,2
convincing,convincing,3,9,541,11,1,0,353,2631,554,2856694,10,2
convoke,convoke,2,6,516,6,0,0,0,9,0,18860,5,1
convolution,convolution,4,10,752,9,0,0,1,19,0,450084,8,2
convoy,convoy,2,5,597,7,3,4,181,906,333,1134689,6,1
convulse,convulse,2,7,668,8,0,0,6,45,5,27661,8,1
convulsive,convulsive,3,9,690,11,0,0,0,84,4,125261,10,2
convulsively,convulsively,4,11,868,11,0,0,2,45,2,32894,10,3
coo,coo,1,2,237,4,193,51,35,347,36,1167246,3,1
cooing,cooing,2,4,448,4,20,9,24,161,5,82182,4,2
cook,cook,1,3,354,5,57,25,2324,18139,1603,24413307,4,1
cookbook,cookbook,2,6,531,9,2,1,37,1180,144,8410461,7,1
cooked,cooked,1,4,358,6,17,12,485,5312,425,5367778,4,2
cookie,cookie,2,4,459,7,28,5,852,2759,343,11522138,5,1
cookies,cookies,2,5,489,7,6,3,913,3677,389,17557111,5,2
cooking,cooking,2,5,403,8,10,11,1307,11100,1060,23831058,6,2
cookout,cookout,2,5,465,8,4,3,39,104,15,171601,6,NA
cooks,cooks,1,4,435,6,35,18,192,1782,189,2470663,5,2
cool,cool,1,3,359,5,138,20,9990,20803,3155,56494542,4,1
cooled,cooled,1,4,436,6,24,9,65,1385,84,2320530,4,2
cooler,cooler,2,4,391,7,75,19,360,2363,280,7113822,5,2
coolers,coolers,2,5,606,7,24,3,38,285,19,2101965,5,3
coolest,coolest,2,6,538,6,3,0,214,525,105,1799145,5,2
coolheaded,coolheaded,3,8,513,5,0,0,0,9,0,3268,5,1
coolidge,coolidge,2,5,505,9,5,0,31,339,97,704774,6,NA
cooling,cooling,2,5,512,6,24,9,112,2909,282,13842002,5,2
coolly,coolly,2,4,394,5,92,4,6,391,14,173471,5,2
cools,cools,1,4,494,5,59,13,37,414,32,659994,4,2
cooper,cooper,2,4,442,7,47,18,887,5110,1108,12476378,5,NA
cooperate,cooperate,3,7,675,10,1,4,528,2344,728,3137399,8,2
cooperation,cooperation,4,9,768,12,3,2,407,8012,1196,19183484,10,3
cooperative,cooperative,5,9,708,12,2,3,104,4281,334,11455323,9,2
cooperatively,cooperatively,5,11,628,12,0,0,0,286,19,550252,10,4
coordinate,coordinate,4,9,678,11,3,3,130,1734,267,8504170,10,2
coordinated,coordinated,5,11,651,11,1,4,55,1990,329,5174649,11,2
coordinates,coordinates,4,10,571,11,2,3,348,884,52,6636738,10,3
coordinating,coordinating,5,11,646,11,1,0,57,1158,169,4234379,11,2
coordination,coordination,5,11,662,11,0,0,60,2464,314,10601567,9,2
coordinator,coordinator,5,10,599,12,3,1,81,3570,264,15703687,11,2
coordinators,coordinators,5,11,738,12,1,1,7,515,60,2425949,11,3
cop,cop,1,3,312,4,129,50,4393,5614,1152,5586148,4,1
cope,cope,1,3,309,5,86,34,166,3545,507,5172385,4,1
copied,copied,2,5,447,6,5,4,128,1124,96,7846786,5,2
copies,copies,2,5,534,6,18,4,494,4614,542,26369992,5,2
copilot,copilot,3,7,649,8,1,1,54,143,17,444559,8,2
coping,coping,2,5,366,7,17,12,53,4525,216,3091883,6,2
copings,copings,2,6,522,7,2,2,0,0,0,20137,6,3
copious,copious,3,6,504,8,2,0,9,306,18,463988,5,2
copped,copped,1,4,442,7,43,15,53,71,13,70712,5,NA
copper,copper,2,4,469,7,69,22,336,3384,130,14543941,5,1
copperhead,copperhead,3,7,529,11,1,1,7,44,1,169064,8,1
copperplate,copperplate,3,8,632,7,0,0,1,28,0,138265,5,NA
coppersmith,coppersmith,3,8,569,8,1,1,0,22,2,49365,5,NA
cops,cops,1,4,499,5,57,37,4290,5314,1714,4155366,5,2
copy,copy,2,4,377,5,44,15,2666,7396,969,79624352,5,1
copycat,copycat,3,7,528,8,1,1,44,187,28,474508,8,1
copying,copying,3,6,535,5,1,3,66,845,69,8043673,5,2
coral,coral,2,5,318,6,80,17,121,2371,168,8819801,6,2
cord,cord,1,4,422,5,91,32,358,2925,352,11346519,5,1
cordial,cordial,2,6,489,8,16,2,62,439,87,585191,7,2
cordiality,cordiality,4,9,710,8,0,0,2,41,3,53658,5,3
cords,cords,1,5,464,5,37,18,86,795,69,2383009,5,2
core,core,1,3,409,5,166,53,501,13514,1639,51254699,4,1
corer,corer,2,4,559,5,32,27,0,23,1,96436,4,NA
cores,cores,1,4,569,6,103,34,33,542,28,1985312,5,2
corinthian,corinthian,4,8,808,8,0,0,6,121,4,379578,4,NA
cork,cork,1,4,410,5,80,24,146,802,53,5504784,5,1
corker,corker,2,5,639,7,25,18,9,194,111,103476,6,2
corks,corks,1,5,569,6,21,13,11,105,15,207784,6,2
corkscrew,corkscrew,2,8,659,6,0,0,57,241,10,582458,6,1
corn,corn,1,4,410,5,93,38,725,9077,780,10726347,5,1
cornbread,cornbread,2,8,520,6,0,0,46,445,36,323559,6,1
corncob,corncob,2,7,593,6,0,0,11,60,5,23260,6,NA
corner,corner,2,5,509,7,46,31,2679,16905,2017,36421177,6,1
cornerback,cornerback,3,8,713,7,1,0,9,806,7,258822,6,NA
corners,corners,2,6,501,8,15,4,275,4029,364,6087498,6,2
cornerstone,cornerstone,3,9,641,12,1,1,34,856,117,2580946,10,1
cornet,cornet,2,6,311,7,6,10,11,77,8,471301,7,1
cornfield,cornfield,2,8,471,10,4,3,36,261,32,172244,9,1
cornflake,cornflake,2,8,584,7,0,0,0,15,0,46036,7,NA
cornflour,cornflour,3,8,626,8,1,0,0,3,0,36960,9,NA
cornflower,cornflower,3,8,604,11,1,1,3,52,0,194213,9,1
corniest,corniest,3,8,632,7,1,0,3,4,1,7061,7,3
cornish,cornish,2,6,529,6,4,1,28,212,33,1496564,6,2
cornmeal,cornmeal,2,7,403,6,2,1,12,663,15,233901,6,1
corns,corns,1,5,602,6,44,18,43,83,7,186351,5,2
cornstarch,cornstarch,2,9,703,8,0,0,9,605,25,341306,7,1
corona,corona,3,5,499,7,12,4,58,599,33,2807296,6,1
coronaries,coronaries,4,9,641,8,2,0,4,11,0,13118,9,2
coronary,coronary,4,8,682,8,3,0,101,1034,84,3878267,9,1
coroner,coroner,3,6,396,8,15,8,458,803,319,861881,7,1
coronet,coronet,3,7,373,8,2,3,6,58,3,420635,8,1
corporal,corporal,2,7,454,8,2,1,802,1017,244,1303585,7,1
corporate,corporate,2,7,366,10,2,1,521,13299,2315,84698391,8,1
corporation,corporation,4,9,796,12,5,2,393,5967,1301,74074489,10,1
corporations,corporations,4,10,776,13,3,3,101,5096,1073,10945498,10,2
corps,corps,1,4,407,6,103,18,555,6385,1513,12150963,5,1
corpse,corpse,1,5,394,7,15,6,515,1591,106,2667151,6,1
corpses,corpses,2,7,534,7,2,1,192,857,88,771075,6,2
corpulence,corpulence,3,10,596,9,2,0,0,15,0,17444,10,1
corpulent,corpulent,3,10,608,9,1,1,2,82,7,44306,10,1
corpus,corpus,2,6,474,7,6,8,77,1334,200,5137372,7,1
correct,correct,2,5,439,8,4,1,2292,16441,6930,44468174,6,1
corrected,corrected,3,7,520,8,2,0,134,1826,213,6122004,6,2
correcting,correcting,3,7,624,9,3,0,41,761,89,1876523,7,2
correction,correction,3,7,605,11,2,1,163,2685,325,13010074,8,2
correctional,correctional,4,9,544,11,1,0,74,784,110,2397855,8,3
corrections,corrections,3,8,682,11,2,1,74,1511,232,16226542,8,3
corrective,corrective,3,7,655,11,3,0,26,722,41,3115244,7,2
correctiveness,correctiveness,4,11,730,11,0,0,0,0,0,544,5,3
correctly,correctly,3,7,748,8,1,0,309,3950,754,13281872,6,2
correctness,correctness,3,8,654,8,1,0,12,799,217,1941862,6,2
correlated,correlated,4,9,584,10,1,4,3,2587,34,3106557,8,2
correlating,correlating,4,9,758,10,0,0,2,134,0,250598,8,2
correlation,correlation,4,9,788,12,2,1,29,4357,126,7923985,10,2
correlations,correlations,4,10,699,12,1,1,0,2792,9,2193131,10,3
correlatively,correlatively,5,11,640,10,0,0,0,11,0,6573,5,3
correspond,correspond,3,9,728,11,1,1,48,1115,35,3814384,10,1
corresponded,corresponded,4,11,620,12,1,0,10,472,21,438124,11,2
correspondence,correspondence,4,12,757,13,4,0,115,2408,129,9911984,12,2
correspondent,correspondent,4,12,808,14,3,2,110,10662,9040,3786622,13,1
corresponding,corresponding,4,11,788,14,1,0,29,2686,36,17262216,12,2
correspondingly,correspondingly,5,13,792,14,0,0,1,285,9,511908,12,3
corresponds,corresponds,3,10,755,11,1,1,18,846,18,4476933,10,2
corridor,corridor,3,6,490,9,5,2,284,3631,181,4571967,7,1
corridors,corridors,3,7,592,9,4,2,52,1348,139,1745227,7,2
corroborated,corroborated,5,9,735,12,1,2,16,305,77,284115,9,2
corrode,corrode,2,4,485,8,16,2,5,71,9,116553,5,1
corrosion,corrosion,3,6,728,8,0,0,10,731,42,3578710,4,1
corrosive,corrosive,3,6,575,8,2,0,19,389,42,823545,5,1
corrugate,corrugate,3,7,568,10,2,2,0,2,0,12273,8,1
corrupt,corrupt,2,5,460,8,3,1,271,2406,580,3793358,6,1
corrupted,corrupted,3,7,515,9,2,1,97,468,92,1938248,7,2
corrupter,corrupter,3,7,455,9,0,1,2,7,0,18963,5,2
corruption,corruption,3,7,569,11,1,1,218,5551,1301,8628385,8,2
corrupts,corrupts,2,6,619,8,3,1,26,90,19,266995,6,2
corset,corset,2,6,332,7,6,6,45,269,10,1173412,6,1
cortex,cortex,2,7,554,6,3,6,57,684,55,2531867,7,1
cortically,cortically,4,9,599,9,0,0,0,2,0,6706,7,2
cosmetic,cosmetic,3,8,562,9,1,1,92,1378,256,10651127,9,1
cosmetics,cosmetics,3,9,748,9,1,1,98,967,62,8900972,9,2
cosmic,cosmic,2,6,512,5,2,4,184,2370,99,4195062,6,1
cosmologists,cosmologists,4,12,1058,10,0,0,0,170,0,42761,5,3
cosmology,cosmology,4,9,711,9,0,0,6,631,11,1224470,5,2
cosmonaut,cosmonaut,3,8,607,10,2,1,8,80,10,151631,9,NA
cosmopolitan,cosmopolitan,5,12,814,13,0,0,59,953,78,1630893,13,1
cosmopolitanism,cosmopolitanism,7,16,1008,13,0,0,0,224,1,68801,13,2
cosmos,cosmos,2,6,838,6,1,2,153,1256,38,2923659,6,1
cost,cost,1,4,431,5,44,34,2801,44211,8210,158893271,5,1
costing,costing,2,6,506,7,6,7,122,1295,377,2535149,6,2
costly,costly,2,6,451,6,4,3,79,3637,369,5055439,5,2
costs,costs,1,5,493,5,15,16,805,28152,4122,101091217,5,2
costume,costume,2,6,525,8,4,4,721,2430,309,10751871,7,1
costumer,costumer,3,7,748,9,5,6,8,21,4,142351,8,2
costumes,costumes,2,7,648,8,4,5,304,1721,251,8259392,7,2
cot,cot,1,3,389,4,134,53,102,583,30,1812593,4,1
