idx,ortho,phono,all,replace,delete_insert,pos_l50,pos_m50
1913,bleed,blid,9,8,1,3,6
1915,blench,blEnC,4,3,1,3,1
1916,blend,blEnd,7,4,3,5,2
1917,bless,blEs,6,4,2,1,5
1918,blessed,blEst,5,2,3,4,1
1919,blew,blu,12,8,4,8,4
1920,blight,blYt,12,10,2,7,5
1924,blink,blIGk,6,4,2,5,1
1925,blinker,blIGkX,2,1,1,1,1
1934,bloat,blot,11,8,3,3,8
1935,bloater,blotX,2,1,1,1,1
1936,blob,blab,8,6,2,3,5
1937,bloc,blak,9,7,2,4,5
1942,blood,bl^d,7,6,1,2,5
1945,bloom,blum,11,7,4,8,3
1949,blot,blat,14,11,3,6,8
1950,blotch,blaC,5,4,1,1,4
1951,blotter,blatX,2,1,1,1,1
1952,blouse,blWs,3,2,1,1,2
1953,blow,blo,15,7,8,9,6
1955,blown,blon,8,5,3,4,4
1966,blues,bluz,6,3,3,3,3
1969,bluff,bl^f,5,3,2,3,2
1973,blur,blR,6,3,3,2,4
1975,blurt,blRt,8,7,1,2,6
1976,blush,bl^S,7,6,1,5,2
1979,boar,bor,29,25,4,19,10
1980,board,bord,16,12,4,11,5
1981,boast,bost,17,16,1,14,3
1982,boat,bot,32,27,5,22,10
1986,bob,bab,22,18,4,13,9
1988,bobble,babL,12,11,1,9,3
1989,bobby,babi,11,10,1,5,6
1995,bock,bak,28,25,3,20,8
1996,bode,bod,27,22,5,17,10
2007,boil,bOl,15,12,3,14,1
2009,bold,bold,18,14,4,11,7
2010,bole,bol,33,28,5,21,12
2015,bolo,bolo,9,7,2,5,4
2020,bolt,bolt,14,12,2,8,6
2027,bomber,bamX,3,2,1,1,2
2032,bond,band,13,11,2,10,3
2038,bone,bon,31,26,5,21,10
2039,boner,bonX,4,3,1,2,2
2048,boo,bu,34,25,9,20,14
2049,booby,bubi,6,5,1,3,3
2051,book,bUk,18,17,1,16,2
2053,boom,bum,18,15,3,12,6
2056,boon,bun,22,21,1,16,6
2058,boost,bust,9,8,1,8,1
2059,boot,but,32,26,6,23,9
2060,booth,buT,12,11,1,6,6
2061,booths,buDz,2,1,1,1,1
2062,bootie,buti,7,3,4,3,4
2065,booty,buti,7,3,4,3,4
2066,booze,buz,18,13,5,11,7
2068,border,bordX,4,2,2,3,1
2071,born,born,14,11,3,10,4
2072,boron,boran,2,1,1,1,1
2073,borough,bRo,11,9,2,3,8
2074,borrow,baro,9,8,1,3,6
2083,botch,baC,13,11,2,6,7
2084,both,boT,13,11,2,5,8
2086,bottle,batL,8,7,1,5,3
2090,bough,bW,20,16,4,9,11
2091,bought,bct,25,23,2,21,4
2092,boulder,boldX,5,3,2,3,2
2094,bounce,bWns,4,3,1,3,1
2095,bound,bWnd,14,13,1,13,1
2106,bout,bWt,23,20,3,20,3
2111,bowel,bWL,7,6,1,4,3
2112,bower,bWX,8,7,1,5,3
2114,bowler,bolX,11,9,2,5,6
2118,box,baks,5,3,2,4,1
2119,boy,bO,13,11,2,5,8
2122,brace,bres,13,10,3,5,8
2126,bract,br@kt,3,1,2,1,2
2127,brad,br@d,13,11,2,1,12
2128,brae,bre,19,10,9,8,11
2129,brag,br@g,11,9,2,4,7
2133,braid,bred,18,15,3,5,13
2134,braille,brel,14,11,3,5,9
2135,brain,bren,19,16,3,8,11
2136,braise,brez,18,14,4,7,11
2137,brake,brek,13,10,3,3,10
2139,bran,br@n,13,9,4,2,11
2140,branch,br@nC,5,3,2,3,2
2141,brand,br@nd,8,3,5,4,4
2143,brandy,br@ndi,3,1,2,2,1
2144,brash,br@S,11,9,2,5,6
2145,brass,br@s,10,8,2,4,6
2147,brat,br@t,11,8,3,2,9
2149,brave,brev,10,8,2,3,7
2153,brawl,brcl,11,10,1,5,6
2155,brazen,brezN,3,1,2,2,1
2158,breach,briC,10,8,2,4,6
2159,bread,brEd,15,12,3,7,8
2167,bream,brIm,10,9,1,4,6
2172,breathe,briD,6,5,1,1,5
2174,breed,brid,16,14,2,5,11
2181,brew,bru,17,11,6,9,8
2184,brick,brIk,13,10,3,4,9
2186,bride,brYd,15,12,3,4,11
