lower,idx,ortho,phono,all,replace,delete_insert,pos_l50,pos_m50,Item,NumSylls,NumPhones,Duration,OrthUP,PhonND,OrthND,FreqSUBTLEX,FreqCOCA,FreqCOCAspok,FreqGoogle,PhonUP,NumMorphs
mustard,11305,mustard,m^stXd,2,1,1,1,1,mustard,2,6,426,8,7,3,329,2605,207,2820945,7,1
hurdle,8137,hurdle,hRdL,5,4,1,3,2,hurdle,2,5,439,7,16,5,37,880,190,1048302,6,1
she,15541,she,Si,31,21,10,19,12,she,1,2,340,4,185,31,190377,896925,156580,339186542,3,1
rain,14188,rain,ren,38,28,10,24,14,rain,1,3,414,5,199,47,2494,15084,2069,26429782,4,1
wig,19030,wig,wIg,20,16,4,11,9,wig,1,3,398,4,72,29,426,847,156,2156534,4,1
stamp,16271,stamp,st@mp,4,3,1,3,1,stamp,1,5,488,6,13,12,302,2260,448,9760676,6,1
woke,19124,woke,wok,18,16,2,14,4,woke,1,3,369,5,72,19,1344,4223,733,2630931,4,1
hurl,8138,hurl,hRl,22,19,3,15,7,hurl,1,3,476,5,102,14,69,290,24,334757,4,1
iron,9187,iron,Yrn,3,2,1,1,2,iron,2,3,569,5,44,24,915,10702,695,32559173,4,1
anal,676,anal,enL,2,1,1,1,1,anal,2,4,370,5,11,14,138,676,38,59778384,4,1
spent,16100,spent,spEnt,3,1,2,2,1,spent,1,5,552,5,13,8,3574,35477,7600,29719451,5,1
pure,13973,pure,pyUr,2,1,1,1,1,pure,1,4,307,5,8,28,1271,8072,962,22842684,5,1
burnt,2353,burnt,bRnt,5,4,1,2,3,burnt,1,4,373,5,51,10,488,1250,132,3221640,5,1
wand,18784,wand,wand,9,6,3,6,3,wand,1,4,374,5,38,29,157,582,74,1888212,5,1
dale,4409,dale,del,30,27,3,23,7,dale,1,3,286,5,128,47,463,2765,589,9570230,4,1
rate,14254,rate,ret,39,29,10,28,11,rate,1,3,331,5,125,48,1271,35665,5586,207637984,4,1
slick,15807,slick,slIk,15,11,4,5,10,slick,1,4,508,6,44,20,350,2191,275,2377343,5,1
sped,16091,sped,spEd,11,8,3,3,8,sped,1,4,499,4,24,14,32,874,77,833838,4,1
dumb,5347,dumb,d^m,29,26,3,18,11,dumb,1,3,589,5,94,8,2395,2940,629,5413109,4,1
forty,6731,forty,forti,4,2,2,1,3,forty,2,5,446,6,38,11,539,10012,1624,7415064,6,2
mulch,11242,mulch,m^lC,4,2,2,1,3,mulch,1,4,461,6,16,9,22,830,26,833160,5,1
stool,16415,stool,stul,12,10,2,3,9,stool,1,4,544,6,51,8,179,1604,89,3031945,5,1
dorm,5194,dorm,dorm,5,4,1,3,2,dorm,1,4,446,5,38,16,369,1284,331,2037885,5,
palm,12304,palm,pam,14,9,5,4,10,palm,1,4,356,5,16,24,675,7791,1278,42632962,5,1
done,5184,done,d^n,30,29,1,20,10,done,1,3,358,5,134,47,24737,80191,29967,102821052,4,1
for,6644,for,for,33,23,10,20,13,for,1,3,449,4,147,40,351650,2199819,451690,5933321709,4,1
made,10242,made,med,24,21,3,14,10,made,1,3,516,5,110,43,28626,188424,40007,287363423,4,1
coin,3424,coin,kOn,14,13,1,11,3,coin,1,3,339,5,87,20,497,2093,305,10097574,4,2
cute,4354,cute,kyut,6,3,3,4,2,cute,1,4,429,5,38,21,4475,4219,1435,17923044,5,1
peaked,12587,peaked,pikt,5,3,2,2,3,peaked,1,4,374,6,36,8,62,959,97,870787,4,2
intern,9041,intern,IntRn,5,1,4,1,4,intern,2,5,488,7,8,2,232,981,113,3655396,6,1
flight,6539,flight,flYt,16,13,3,7,9,flight,1,4,467,7,38,10,3044,14737,3280,39233015,5,1
burp,2354,burp,bRp,8,7,1,1,7,burp,1,3,249,5,70,13,66,159,20,456508,4,1
feed,6303,feed,fid,19,16,3,12,7,feed,1,3,436,5,73,25,2162,8454,1319,62664768,4,1
