Item,Experiment,Release,Subject,Trial,List,WordRunLength,ExperimentRunID,RT,Session,idx,ortho,phono,all,replace,delete_insert,pos_l50,pos_m50,NumSylls,NumPhones,Duration,OrthUP,PhonND,OrthND,FreqSUBTLEX,FreqCOCA,FreqCOCAspok,FreqGoogle,PhonUP,NumMorphs
dawn,MALD1_sR,MALD1,15301,676,words9,2,15301_76,712,76,4465,dawn,dcn,19,16,3,16,3,1,3,345,5,101,20,1301,6154,737,12224273,4,1
diary,MALD1_sR,MALD1,15301,378,words9,1,15301_76,1088,76,4860,diary,dYri,6,4,2,5,1,3,4,485,5,10,4,458,2632,356,14926124,5,1
drug,MALD1_sR,MALD1,15301,452,words9,1,15301_76,894,76,5309,drug,dr^g,8,6,2,3,5,1,4,347,5,17,9,2306,37213,8980,79428645,5,1
fish,MALD1_sR,MALD1,15301,657,words9,2,15301_76,729,76,6456,fish,fIS,13,9,4,4,9,1,3,407,5,50,18,4258,28281,2194,52768568,4,1
flag,MALD1_sR,MALD1,15301,391,words9,5,15301_76,911,76,6482,flag,fl@g,8,6,2,3,5,1,4,589,5,30,17,892,6243,1599,33053840,5,1
harm,MALD1_sR,MALD1,15301,687,words9,1,15301_76,775,76,7661,harm,harm,9,8,1,3,6,1,4,440,5,40,30,1621,7124,1524,10026586,5,1
hurl,MALD1_sR,MALD1,15301,410,words9,3,15301_76,878,76,8138,hurl,hRl,22,19,3,15,7,1,3,476,5,102,14,69,290,24,334757,4,1
incest,MALD1_sR,MALD1,15301,468,words9,4,15301_76,1056,76,8527,incest,InsEst,7,5,2,3,4,2,6,551,7,8,4,44,686,239,51394714,6,1
informed,MALD1_sR,MALD1,15301,122,words9,2,15301_76,782,76,8778,informed,Informd,3,2,1,1,2,2,7,582,8,4,3,633,7984,1011,38215335,7,3
jet,MALD1_sR,MALD1,15301,732,words9,1,15301_76,642,76,9321,jet,JEt,20,17,3,14,6,1,3,350,4,74,30,721,5757,1077,16680047,4,1
nude,MALD1_sR,MALD1,15301,309,words9,1,15301_76,684,76,11726,nude,nud,15,13,2,8,7,1,3,344,5,56,16,301,1643,322,96757551,4,1
offer,MALD1_sR,MALD1,15301,598,words9,2,15301_76,716,76,11880,offer,cfX,6,4,2,3,3,2,3,472,6,32,8,3810,29215,3692,126228968,4,1
ooze,MALD1_sR,MALD1,15301,709,words9,1,15301_76,908,76,11941,ooze,uz,10,3,7,9,1,1,2,418,5,111,5,27,289,15,656481,3,1
