"","name","ortho","phono"
"1678","1678","been","bIn"
"1679","1679","beer","bIr"
"1681","1681","beetle","bitL"
"1682","1682","beeves","bivz"
"1687","1687","befoul","bxfWl"
"1705","1705","beige","beZ"
"1708","1708","belch","bElC"
"1717","1717","bell","bEl"
"1724","1724","bellow","bElo"
"1726","1726","belly","bEli"
"1727","1727","belong","bxlcG"
"1728","1728","belt","bElt"
"1733","1733","bend","bEnd"
"1746","1746","bent","bEnt"
"1755","1755","beret","bXe"
"1756","1756","berg","bRg"
"1759","1759","berry","bEri"
"1761","1761","berth","bRT"
"1762","1762","beryl","bErL"
"1770","1770","best","bEst"
"1774","1774","bet","bEt"
"1778","1778","better","bEtX"
"1802","1802","bicycle","bYsIkL"
"1803","1803","bid","bId"
"1804","1804","bidden","bIdN"
"1805","1805","bide","bYd"
"1813","1813","bight","bYt"
"1816","1816","bike","bYk"
"1819","1819","bile","bYl"
"1820","1820","bilge","bIlJ"
"1823","1823","bilk","bIlk"
"1824","1824","bill","bIl"
"1825","1825","billet","bIl|t"
"1831","1831","billow","bIlo"
"1832","1832","billy","bIli"
"1836","1836","bind","bYnd"
"1837","1837","binge","bInJ"
"1854","1854","birch","bRC"
"1855","1855","bird","bRd"
"1856","1856","birdie","bRdi"
"1864","1864","bisque","bIsk"
"1866","1866","bit","bIt"
"1867","1867","bitch","bIC"
"1869","1869","bitten","bItN"
"1870","1870","bitter","bItX"
"1871","1871","bittern","bItXn"
"1872","1872","bitters","bItXz"
"1878","1878","black","bl@k"
"1885","1885","bladder","bl@dX"
"1886","1886","blade","bled"
"1887","1887","blain","blen"
"1888","1888","blame","blem"
"1891","1891","bland","bl@nd"
"1893","1893","blank","bl@Gk"
"1895","1895","blare","blEr"
"1900","1900","blast","bl@st"
"1903","1903","blaze","blez"
"1904","1904","blazer","blezX"
"1905","1905","blazon","blezN"
"1906","1906","bleach","bliC"
"1908","1908","bleak","blik"
"1909","1909","blear","blIr"
"1910","1910","bleary","blIri"
"1911","1911","bleat","blit"
"1912","1912","bled","blEd"
"1913","1913","bleed","blid"
"1916","1916","blend","blEnd"
"1917","1917","bless","blEs"
"1918","1918","blessed","blEst"
"1919","1919","blew","blu"
"1920","1920","blight","blYt"
"1921","1921","blimp","blImp"
"1922","1922","blind","blYnd"
"1924","1924","blink","blIGk"
"1925","1925","blinker","blIGkX"
"1934","1934","bloat","blot"
"1935","1935","bloater","blotX"
"1936","1936","blob","blab"
"1937","1937","bloc","blak"
"1945","1945","bloom","blum"
"1949","1949","blot","blat"
"1951","1951","blotter","blatX"
"1953","1953","blow","blo"
"1955","1955","blown","blon"
"1958","1958","blowy","bloi"
"1966","1966","blues","bluz"
"1973","1973","blur","blR"
"1974","1974","blurb","blRb"
"1975","1975","blurt","blRt"
"1978","1978","boa","box"
"1979","1979","boar","bor"
"1980","1980","board","bord"
"1981","1981","boast","bost"
"1982","1982","boat","bot"
"1986","1986","bob","bab"
"1988","1988","bobble","babL"
"1989","1989","bobby","babi"
"1995","1995","bock","bak"
"1996","1996","bode","bod"
"2009","2009","bold","bold"
"2010","2010","bole","bol"
"2015","2015","bolo","bolo"
"2020","2020","bolt","bolt"
"2038","2038","bone","bon"
"2039","2039","boner","bonX"
"2048","2048","boo","bu"
"2049","2049","booby","bubi"
"2053","2053","boom","bum"
"2056","2056","boon","bun"
"2058","2058","boost","bust"
"2059","2059","boot","but"
"2060","2060","booth","buT"
"2061","2061","booths","buDz"
"2062","2062","bootie","buti"
"2065","2065","booty","buti"
