"","name","ortho","phono"
"15364","15364","seek","sik"
"15365","15365","seemly","simli"
"15366","15366","seep","sip"
"15367","15367","seesaw","sisc"
"15368","15368","seethe","siD"
"15375","15375","seize","siz"
"15376","15376","seizure","siZX"
"15435","15435","sepal","sipL"
"15462","15462","serf","sRf"
"15463","15463","serge","sRJ"
"15474","15474","serve","sRv"
"15476","15476","servile","sRvL"
"15495","15495","sew","so"
"15497","15497","sewer","suX"
"15499","15499","sewn","son"
"15652","15652","side","sYd"
"15657","15657","sidle","sYdL"
"15658","15658","siege","siJ"
"15663","15663","sigh","sY"
"15664","15664","sign","sYn"
"15728","15728","sir","sR"
"15729","15729","sire","sYr"
"15733","15733","sisal","sYsL"
"15741","15741","size","sYz"
"15744","15744","skate","sket"
"15745","15745","skein","sken"
"15747","15747","sketch","skEC"
"15750","15750","ski","ski"
"15751","15751","skid","skId"
"15752","15752","skiff","skIf"
"15753","15753","skill","skIl"
"15755","15755","skim","skIm"
"15756","15756","skimp","skImp"
"15757","15757","skin","skIn"
"15760","15760","skip","skIp"
"15761","15761","skipper","skIpX"
"15763","15763","skirt","skRt"
"15764","15764","skit","skIt"
"15766","15766","skulk","sk^lk"
"15767","15767","skunk","sk^Gk"
"15768","15768","sky","skY"
"15769","15769","slab","sl@b"
"15770","15770","slack","sl@k"
"15772","15772","slag","sl@g"
"15773","15773","slain","slen"
"15774","15774","slake","slek"
"15776","15776","slam","sl@m"
"15778","15778","slang","sl@G"
"15779","15779","slant","sl@nt"
"15780","15780","slap","sl@p"
"15781","15781","slash","sl@S"
"15782","15782","slat","sl@t"
"15783","15783","slate","slet"
"15786","15786","Slav","slav"
"15787","15787","slave","slev"
"15792","15792","slaw","slc"
"15793","15793","slay","sle"
"15795","15795","sled","slEd"
"15796","15796","sledge","slEJ"
"15797","15797","sleek","slik"
"15798","15798","sleep","slip"
"15799","15799","sleet","slit"
"15800","15800","sleeve","sliv"
"15801","15801","sleight","slYt"
"15804","15804","sleuth","sluT"
"15805","15805","slew","slu"
"15806","15806","slice","slYs"
"15807","15807","slick","slIk"
"15808","15808","slicker","slIkX"
"15809","15809","slid","slId"
"15810","15810","slide","slYd"
"15812","15812","slim","slIm"
"15813","15813","slime","slYm"
"15814","15814","sling","slIG"
"15815","15815","slink","slIGk"
"15816","15816","slip","slIp"
"15818","15818","slipper","slIpX"
"15819","15819","slippery","slIpXi"
"15821","15821","slit","slIt"
"15822","15822","slither","slIDX"
"15823","15823","sliver","slIvX"
"15825","15825","sloe","slo"
"15827","15827","sloop","slup"
"15828","15828","slop","slap"
"15829","15829","slope","slop"
"15830","15830","sloppy","slapi"
"15831","15831","slot","slat"
"15832","15832","sloth","slcT"
"15835","15835","sludge","sl^J"
"15836","15836","slug","sl^g"
"15838","15838","sluice","slus"
"15839","15839","slum","sl^m"
"15841","15841","slump","sl^mp"
"15842","15842","slung","sl^G"
"15843","15843","slunk","sl^Gk"
"15844","15844","slur","slR"
"15845","15845","slush","sl^S"
"15846","15846","slut","sl^t"
"15847","15847","sly","slY"
"15916","15916","soak","sok"
"15917","15917","soap","sop"
"15919","15919","soar","sor"
"15921","15921","sober","sobX"
"15942","15942","soft","scft"
"15946","15946","soil","sOl"
"15949","15949","sol","sol"
"15951","15951","solar","solX"
"15953","15953","sold","sold"
"15955","15955","soldier","solJX"
"15957","15957","solely","soli"
"15972","15972","solo","solo"
"15978","15978","solve","sclv"
"15991","15991","song","scG"
"15996","15996","soon","sun"
"15998","15998","sooth","suT"
"15999","15999","soothe","suD"
"16015","16015","sort","sort"
"16016","16016","sortie","sorti"
"16020","16020","sough","sW"
"16021","16021","sought","sct"
"16024","16024","soup","sup"
"16025","16025","sour","sWr"
