"","name","ortho","phono"
"15589","15589","shoat","Sot"
"15600","15600","short","Sort"
"15606","15606","shot","Sat"
"15609","15609","shout","SWt"
"15621","15621","shrift","SrIft"
"15641","15641","shunt","S^nt"
"15642","15642","shut","S^t"
"15662","15662","sift","sIft"
"15735","15735","sit","sIt"
"15744","15744","skate","sket"
"15763","15763","skirt","skRt"
"15764","15764","skit","skIt"
"15779","15779","slant","sl@nt"
"15782","15782","slat","sl@t"
"15783","15783","slate","slet"
"15799","15799","sleet","slit"
"15801","15801","sleight","slYt"
"15821","15821","slit","slIt"
"15831","15831","slot","slat"
"15846","15846","slut","sl^t"
"15850","15850","smart","smart"
"15861","15861","smite","smYt"
"15872","15872","smote","smot"
"15878","15878","smut","sm^t"
"15909","15909","snort","snort"
"15910","15910","snout","snWt"
"15942","15942","soft","scft"
"15997","15997","soot","sUt"
"16015","16015","sort","sort"
"16017","16017","sot","sat"
"16021","16021","sought","sct"
"16060","16060","spat","sp@t"
"16061","16061","spate","spet"
"16100","16100","spent","spEnt"
"16137","16137","spit","spIt"
"16138","16138","spite","spYt"
"16152","16152","split","splIt"
"16175","16175","sport","sport"
"16177","16177","spot","spat"
"16179","16179","spout","spWt"
"16207","16207","spurt","spRt"
"16221","16221","squat","skwat"
"16236","16236","squirt","skwRt"
"16292","16292","start","start"
"16297","16297","state","stet"
"16382","16382","stint","stInt"
"16390","16390","stoat","stot"
"16427","16427","stout","stWt"
"16433","16433","straight","stret"
"16460","16460","street","strit"
"16533","16533","stunt","st^nt"
"16652","16652","suit","sut"
"16657","16657","suite","swit"
"16729","16729","support","sxport"
"16795","16795","swart","swort"
"16799","16799","swat","swat"
"16804","16804","sweat","swEt"
"16818","16818","swift","swIft"
"16923","16923","tact","t@kt"
"16935","16935","taint","tent"
"17000","17000","tart","tart"
"17006","17006","taste","test"
"17008","17008","tat","t@t"
"17014","17014","taught","tct"
"17015","17015","taunt","tcnt"
"17040","17040","teat","tIt"
"17130","17130","tent","tEnt"
"17167","17167","test","tEst"
"17196","17196","that","D@t"
"17203","17203","theft","TEft"
"17267","17267","thirst","TRst"
"17287","17287","thought","Tct"
"17301","17301","thrift","TrIft"
"17306","17306","throat","Trot"
"17318","17318","thrust","Tr^st"
"17330","17330","thwart","Twort"
"17353","17353","tight","tYt"
"17390","17390","tint","tInt"
"17423","17423","toast","tost"
"17479","17479","toot","tut"
"17515","17515","tort","tort"
"17522","17522","tot","tat"
