node,ortho,phono,original,replace,delete_insert,pos_l50,pos_m50,Item,NumSylls,NumPhones,Duration,OrthUP,PhonND,OrthND,FreqSUBTLEX,FreqCOCA,FreqCOCAspok,FreqGoogle,PhonUP,NumMorphs
5553,elk,Elk,5,4,1,1,4,elk,1,3,295,4,56,25,306,2350,79,4693077,4,1
1942,blood,bl^d,7,6,1,2,5,blood,1,4,369,6,20,8,9492,36787,5666,61356375,5,1
432,aid,ed,20,12,8,12,8,aid,1,2,342,4,101,49,709,17622,4037,50038814,3,1
12360,pap,p@p,28,28,0,19,9,pap,1,3,279,4,73,43,66,646,57,1954530,4,1
13198,pocket,pak|t,7,7,0,7,0,pocket,2,5,304,7,12,9,1821,10395,1017,38932393,6,1
7339,grail,grel,16,13,3,5,11,grail,1,4,499,5,51,9,137,538,89,1122474,5,1
2808,cease,sis,18,16,2,6,12,cease,1,3,509,6,126,18,445,3232,1223,4082891,4,1
15803,slept,slEpt,1,1,0,1,0,slept,1,5,487,5,8,3,1810,4726,551,2370802,4,1
4678,denial,dInYL,2,1,1,0,2,denial,3,6,437,7,1,7,268,2835,587,6159821,7,2
5005,dish,dIS,12,12,0,4,8,dish,1,3,369,5,62,25,584,6889,487,21757873,4,1
545,alone,xlon,7,5,2,5,2,alone,2,4,488,5,30,18,15735,37065,5859,39331197,5,1
6555,flock,flak,12,10,2,4,8,flock,1,4,356,6,40,16,237,1895,336,2587038,5,1
7368,grapple,gr@pL,3,2,1,0,3,grapple,2,6,554,8,10,2,12,542,81,524680,7,1
2867,century,sEnCXi,2,1,1,0,2,century,3,6,578,8,3,1,1063,44644,3861,54929645,7,1
2940,chapel,C@pL,6,4,2,2,4,chapel,2,5,393,7,17,7,406,3162,300,9025491,6,1
3348,coarse,kors,16,12,4,5,11,coarse,1,4,414,7,85,5,69,1431,39,2768915,5,1
9395,jug,J^g,16,15,1,13,3,jug,1,3,338,4,31,22,134,698,49,1597717,4,1
7370,grass,gr@s,13,10,3,5,8,grass,1,4,497,6,48,21,856,10708,652,12868953,5,1
17378,tincture,tIGkCX,1,0,1,0,1,tincture,2,6,422,9,4,1,4,104,0,318695,7,1
11900,oil,Ol,14,8,6,14,0,oil,1,2,393,4,61,26,2095,54654,10853,82182382,3,1
18971,whirl,hwRl,8,5,3,4,4,whirl,1,4,414,6,15,5,89,599,42,623768,5,1
15814,sling,slIG,16,12,4,8,8,sling,1,4,632,6,49,14,117,564,49,1688770,5,1
5406,ear,Ir,31,12,19,22,9,ear,1,2,278,4,113,50,1632,9860,923,14882612,3,1
4162,creep,krip,11,8,3,2,9,creep,1,4,366,6,40,11,573,1014,122,1812193,5,1
12979,pierce,pIrs,4,3,1,2,2,pierce,1,4,479,7,24,12,1313,2196,269,5947276,5,1
409,agile,@JL,2,2,0,2,0,agile,2,4,488,5,10,3,20,479,36,1808955,5,1
10128,lot,lat,31,26,5,26,5,lot,1,3,407,4,118,48,29066,134263,73125,106410684,4,1
18600,virtue,vRCu,2,1,1,0,2,virtue,2,4,521,7,1,1,263,3635,296,5148061,5,1
562,altar,cltX,5,1,4,4,1,altar,2,4,469,6,21,13,259,2233,171,2628192,5,1
