lower,node,ortho,phono,original,replace,delete_insert,pos_l50,pos_m50
luncheon,10185,luncheon,l^nC|n,1,1,0,1,0
lung,10189,lung,l^G,18,15,3,12,6
lunge,10190,lunge,l^nJ,3,2,1,2,1
lurch,10192,lurch,lRC,8,8,0,6,2
lure,10193,lure,lUr,9,8,1,8,1
lurk,10195,lurk,lRk,20,18,2,18,2
lush,10197,lush,l^S,16,12,4,10,6
lust,10198,lust,l^st,13,11,2,11,2
lustre,10200,lustre,l^stX,6,2,4,4,2
lusty,10201,lusty,l^sti,4,3,1,2,2
lying,10207,lying,lYIG,3,0,3,3,0
lymph,10208,lymph,lImf,3,2,1,1,2
lynch,10210,lynch,lInC,10,7,3,9,1
lyre,10211,lyre,lYr,25,23,2,15,10
lyric,10212,lyric,lIrxk,1,0,1,0,1
m,10213,m,Em,15,11,4,7,8
ma,10214,ma,ma,14,9,5,1,13
mace,10220,mace,mes,29,25,4,18,11
mad,10235,mad,m@d,28,23,5,17,11
madam,10236,madam,m@dM,3,2,1,0,3
madden,10239,madden,m@dN,5,4,1,2,3
madder,10240,madder,m@dX,8,6,2,3,5
madding,10241,madding,m@dIG,2,2,0,2,0
made,10242,made,med,24,21,3,14,10
maggot,10254,maggot,m@g|t,3,2,1,2,1
magnate,10264,magnate,m@gnet,1,1,0,0,1
magnet,10266,magnet,m@gn|t,2,1,1,0,2
mail,10288,mail,mel,35,31,4,24,11
mailed,10289,mailed,meld,6,4,2,3,3
maim,10290,maim,mem,21,19,2,12,9
main,10291,main,men,31,27,4,21,10
maize,10296,maize,mez,19,16,3,9,10
major,10300,major,meJX,4,2,2,2,2
make,10304,make,mek,25,23,2,16,9
malay,10317,Malay,mxle,3,2,1,3,0
malice,10329,malice,m@lxs,5,5,0,5,0
malign,10331,malign,mxlYn,1,0,1,1,0
mall,10335,mall,mcl,24,20,4,20,4
mallet,10339,mallet,m@l|t,6,6,0,6,0
mallow,10340,mallow,m@lo,9,8,1,8,1
malt,10346,malt,mclt,7,6,1,6,1
mama,10348,mama,mamx,4,3,1,3,1
mammal,10350,mammal,m@mL,1,1,0,1,0
mammon,10353,mammon,m@mxn,4,4,0,3,1
mammoth,10354,mammoth,m@mxT,1,1,0,0,1
man,10355,man,m@n,26,21,5,15,11
manful,10376,manful,m@nfL,1,1,0,0,1
mange,10378,mange,menJ,5,2,3,2,3
manger,10379,manger,menJX,5,3,2,2,3
mangle,10380,mangle,m@GgL,10,9,1,9,1
mango,10381,mango,m@Ggo,2,2,0,1,1
mangy,10383,mangy,menJi,2,1,1,0,2
manna,10402,manna,m@nx,6,4,2,1,5
manned,10403,manned,m@nd,15,12,3,10,5
manner,10405,manner,m@nX,10,9,1,4,6
manse,10410,manse,m@ns,10,8,2,5,5
mansion,10412,mansion,m@nC|n,1,1,0,1,0
manta,10415,manta,m@ntx,3,2,1,0,3
manteau,10416,manteau,m@nto,3,3,0,1,2
mantel,10417,mantel,m@ntL,5,5,0,2,3
manx,10428,Manx,m@Gks,1,1,0,1,0
many,10429,many,mEni,7,5,2,3,4
maori,10431,Maori,mWri,4,4,0,3,1
map,10432,map,m@p,20,20,0,13,7
maple,10433,maple,mepL,2,1,1,1,1
mar,10434,mar,mar,26,16,10,13,13
marble,10438,marble,marbL,3,3,0,1,2
march,10440,march,marC,11,9,2,3,8
mare,10442,mare,mEr,23,21,2,18,5
marge,10444,marge,marJ,11,10,1,3,8
marina,10451,marina,mXinx,1,0,1,0,1
marine,10453,marine,mXin,7,5,2,4,3
mark,10459,mark,mark,20,14,6,7,13
marked,10461,marked,markt,5,2,3,0,5
market,10463,market,mark|t,1,0,1,0,1
markka,10464,markka,marka,3,2,1,0,3
marl,10467,marl,marl,10,8,2,1,9
maroon,10474,maroon,mXun,3,2,1,1,2
marquee,10476,marquee,marki,4,2,2,0,4
marquise,10479,marquise,markiz,1,0,1,0,1
marrow,10482,marrow,m@ro,9,8,1,7,2
marry,10483,marry,m@ri,11,10,1,10,1
mars,10484,Mars,marz,8,7,1,0,8
marsh,10485,marsh,marS,10,8,2,1,9
marshal,10486,marshal,marSL,4,3,1,1,3
mart,10489,mart,mart,19,13,6,8,11
marten,10490,marten,martN,5,4,1,3,2
martyr,10495,martyr,martX,7,6,1,5,2
marvel,10496,marvel,marvL,2,2,0,0,2
mash,10504,mash,m@S,20,18,2,13,7
mask,10505,mask,m@sk,8,6,2,6,2
mason,10507,mason,mesN,6,5,1,4,2
mass,10511,mass,m@s,26,20,6,16,10
massive,10517,massive,m@sIv,2,2,0,2,0
mast,10518,mast,m@st,14,11,3,10,4
master,10519,master,m@stX,8,4,4,6,2
mastery,10523,mastery,m@stXi,2,1,1,1,1
mat,10532,mat,m@t,30,27,3,21,9
match,10534,match,m@C,14,14,0,7,7
mate,10536,mate,met,28,26,2,19,9
math,10544,math,m@T,15,15,0,8,7
matter,10558,matter,m@tX,16,13,3,13,3
matting,10559,matting,m@tIG,4,4,0,4,0
mauve,10570,mauve,mov,13,12,1,6,7
maw,10573,maw,mc,22,18,4,11,11
may,10579,may,me,32,23,9,15,17
maya,10580,maya,mayx,1,1,0,0,1
mayapple,10581,mayapple,me@pL,1,0,1,0,1
maybe,10582,maybe,mebi,2,2,0,1,1
mayor,10586,mayor,meX,12,10,2,2,10
mazy,10589,mazy,mezi,6,5,1,4,2
me,10591,me,mi,32,25,7,18,14
mead,10592,mead,mid,20,19,1,14,6
meadow,10593,meadow,mEdo,4,3,1,0,4
meadowy,10595,meadowy,mEdoi,2,1,1,0,2
meagre,10596,meagre,migX,2,1,1,1,1
meal,10597,meal,mil,28,26,2,22,6
mean,10600,mean,min,23,21,2,17,6
meaning,10602,meaning,minIG,1,1,0,1,0
meant,10603,meant,mEnt,18,15,3,12,6
meat,10610,meat,mit,25,22,3,18,7
mecca,10611,mecca,mEkx,1,1,0,1,0
medal,10617,medal,mEdL,7,7,0,5,2
meddler,10619,meddler,mEdlX,2,2,0,1,1
medial,10622,medial,midiL,1,1,0,1,0
medley,10640,medley,mEdli,2,2,0,0,2
meek,10642,meek,mik,21,19,2,15,6
meeting,10644,meeting,mitIG,2,2,0,2,0
meld,10652,meld,mEld,10,9,1,7,3
melee,10653,melee,mele,3,2,1,1,2
mellow,10658,mellow,mElo,10,10,0,6,4
melt,10666,melt,mElt,15,13,2,11,4
member,10667,member,mEmbX,1,0,1,1,0
memo,10670,memo,mEmo,2,2,0,0,2
men,10678,men,mEn,27,22,5,20,7
menace,10679,menace,mEn|s,2,2,0,2,0
mend,10682,mend,mEnd,18,14,4,14,4
menial,10686,menial,miniL,2,2,0,2,0
mental,10695,mental,mEntL,7,5,2,6,1
mention,10698,mention,mEnC|n,4,4,0,4,0
meow,10701,meow,miW,7,5,2,1,6
mercer,10707,mercer,mRsX,6,6,0,2,4
mercy,10712,mercy,mRsi,2,2,0,1,1
mere,10713,mere,mIr,31,27,4,23,8
merge,10715,merge,mRJ,11,7,4,7,4
merger,10716,merger,mRJX,7,6,1,3,4
merry,10724,merry,mEri,11,9,2,9,2
mesa,10725,mesa,mesx,2,1,1,0,2
mesh,10728,mesh,mES,6,6,0,2,4
mess,10733,mess,mEs,18,17,1,14,4
met,10741,met,mEt,26,23,3,19,7
metal,10745,metal,mEtL,11,9,2,9,2
meteor,10760,meteor,mitiX,1,0,1,0,1
meter,10764,meter,mitX,11,8,3,8,3
mew,10777,mew,myu,11,5,6,8,3
mews,10778,mews,myuz,6,3,3,3,3
mica,10782,mica,mYkx,3,2,1,1,2
mice,10783,mice,mYs,22,20,2,15,7
mid,10794,mid,mId,26,20,6,15,11
midday,10795,midday,mIde,4,3,1,0,4
midden,10796,midden,mIdN,11,10,1,5,6
middle,10797,middle,mIdL,12,11,1,7,5
middling,10800,middling,mIdlIG,1,0,1,1,0
middy,10801,middy,mIdi,6,5,1,2,4
midge,10802,midge,mIJ,10,9,1,3,7
midget,10803,midget,mIJ|t,4,4,0,4,0
midst,10805,midst,mIdst,1,0,1,1,0
miff,10809,miff,mIf,10,9,1,3,7
might,10810,might,mYt,28,24,4,19,9
mighty,10811,mighty,mYti,2,1,1,0,2
mike,10818,mike,mYk,19,17,2,11,8
mil,10819,mil,mIl,31,29,2,23,8
milch,10820,milch,mIlk,5,3,2,3,2
mild,10821,mild,mYld,8,7,1,6,2
mile,10823,mile,mYl,28,24,4,20,8
millet,10839,millet,mIl|t,5,5,0,5,0
milling,10845,milling,mIlIG,6,5,1,6,0
mime,10850,mime,mYm,14,13,1,7,7
mince,10857,mince,mIns,8,7,1,4,4
mind,10859,mind,mYnd,12,11,1,8,4
mine,10860,mine,mYn,28,24,4,18,10
miner,10862,miner,mYnX,9,8,1,4,5
mingle,10867,mingle,mIGgL,8,7,1,8,0
minister,10874,minister,mIn|stX,2,1,1,2,0
mink,10879,mink,mIGk,13,11,2,11,2
minnow,10881,minnow,mIno,3,3,0,1,2
minster,10883,minster,mInstX,3,1,2,3,0
mint,10885,mint,mInt,12,10,2,7,5
minus,10888,minus,mYn|s,3,3,0,3,0
minute,10889,minute,mIn|t,4,3,1,3,1
minx,10892,minx,mIGks,5,3,2,4,1
mire,10896,mire,mYr,21,19,2,14,7
mirror,10897,mirror,mIrX,1,0,1,0,1
mirth,10898,mirth,mRT,13,11,2,10,3
miser,10930,miser,mYzX,7,7,0,5,2
miss,10953,miss,mIs,23,18,5,12,11
missal,10954,missal,mIsL,5,4,1,2,3
missing,10957,missing,mIsIG,2,2,0,1,1
missive,10959,missive,mIsIv,2,2,0,1,1
mist,10961,mist,mIst,16,11,5,10,6
mister,10964,mister,mIstX,7,4,3,4,3
misty,10970,misty,mIsti,5,2,3,1,4
mitre,10976,mitre,mYtX,11,10,1,7,4
mitt,10977,mitt,mIt,33,27,6,23,10
mitten,10978,mitten,mItN,8,6,2,5,3
mix,10979,mix,mIks,7,5,2,5,2
mizen,10981,mizen,mIzN,3,3,0,1,2
moan,10983,moan,mon,27,24,3,19,8
moat,10984,moat,mot,31,23,8,20,11
mob,10985,mob,mab,15,14,1,10,5
mobile,10986,mobile,mobL,5,4,1,2,3
mobster,10990,mobster,mabstX,2,2,0,2,0
mock,10992,mock,mak,24,20,4,17,7
modal,10993,modal,modL,9,8,1,5,4
mode,10994,mode,mod,24,20,4,15,9
model,10995,model,madL,9,9,0,8,1
mogul,11017,mogul,mogL,4,3,1,1,3
moil,11020,moil,mOl,14,13,1,14,0
moist,11022,moist,mOst,9,9,0,8,1
moisten,11023,moisten,mOsN,2,2,0,1,1
molar,11025,molar,molX,11,9,2,5,6
mold,11027,mold,mold,18,14,4,12,6
molder,11029,molder,moldX,5,2,3,3,2
mole,11031,mole,mol,33,28,5,22,11
moll,11038,moll,mal,16,14,2,10,6
molt,11043,molt,molt,15,12,3,8,7
molten,11044,molten,moltN,1,0,1,0,1
moly,11045,moly,moli,8,7,1,3,5
monday,11062,Monday,m^nde,2,1,1,1,1
money,11064,money,m^ni,10,10,0,6,4
monger,11066,monger,m^GgX,1,1,0,1,0
mongol,11067,Mongol,maGgL,2,2,0,2,0
monitor,11072,monitor,man|tX,1,1,0,0,1
monk,11074,monk,m^Gk,12,10,2,9,3
monkey,11075,monkey,m^Gki,1,0,1,0,1
monster,11105,monster,manstX,3,3,0,2,1
month,11110,month,m^nT,2,2,0,0,2
moo,11113,moo,mu,32,26,6,19,13
mood,11114,mood,mud,17,15,2,11,6
moody,11115,moody,mudi,3,2,1,1,2
moon,11116,moon,mun,21,19,2,16,5
moor,11117,moor,mor,29,25,4,20,9
mooring,11118,mooring,mUrIG,1,1,0,1,0
moose,11120,moose,mus,19,18,1,14,5
moot,11121,moot,mut,24,22,2,19,5
mop,11122,mop,map,16,15,1,11,5
mope,11123,mope,mop,17,15,2,10,7
moraine,11125,moraine,mXen,4,3,1,2,2
moral,11126,moral,mcrL,6,3,3,6,0
morale,11127,morale,mX@l,2,2,0,1,1
morass,11134,morass,mX@s,4,3,1,2,2
morgue,11142,morgue,morg,2,1,1,0,2
morn,11146,morn,morn,12,9,3,8,4
moron,11150,moron,moran,2,1,1,1,1
morose,11152,morose,mXos,1,1,0,0,1
morrow,11161,morrow,maro,12,11,1,3,9
morsel,11162,morsel,morsL,2,2,0,1,1
mortal,11163,mortal,mortL,7,4,3,4,3
mortally,11165,mortally,mortLi,1,0,1,0,1
mortar,11166,mortar,mortX,4,3,1,3,1
mosey,11176,mosey,mozi,6,6,0,5,1
mosque,11178,mosque,mask,4,3,1,2,2
moss,11180,moss,mcs,15,14,1,12,3
most,11181,most,most,13,12,1,11,2
mot,11182,mot,mo,30,21,9,15,15
moth,11185,moth,mcT,8,7,1,5,3
mother,11186,mother,m^DX,4,2,2,2,2
motile,11189,motile,motL,10,8,2,5,5
motor,11196,motor,motX,9,7,2,6,3
mottle,11199,mottle,matL,8,8,0,6,2
motto,11200,motto,mato,2,2,0,0,2
mound,11201,mound,mWnd,11,11,0,10,1
mount,11202,mount,mWnt,7,5,2,5,2
mountain,11203,mountain,mWntN,2,1,1,1,1
mouse,11208,mouse,mWs,14,12,2,11,3
mouser,11209,mouser,mWzX,1,1,0,1,0
mousey,11210,mousey,mWsi,3,2,1,1,2
mouth,11212,mouth,mWT,7,6,1,5,2
move,11215,move,muv,8,5,3,1,7
mover,11216,mover,muvX,3,2,1,1,2
movie,11217,movie,muvi,3,2,1,0,3
mow,11218,mow,mW,20,17,3,10,10
much,11219,much,m^C,17,14,3,6,11
muck,11222,muck,m^k,25,22,3,14,11
mud,11224,mud,m^d,20,19,1,10,10
muddle,11225,muddle,m^dL,12,11,1,8,4
muff,11230,muff,m^f,18,17,1,8,10
muffin,11231,muffin,m^fxn,2,2,0,2,0
muffle,11232,muffle,m^fL,6,5,1,2,4
mufti,11234,mufti,m^fti,1,1,0,1,0
mug,11235,mug,m^g,21,19,2,11,10
muggy,11236,muggy,m^gi,4,3,1,1,3
mulch,11242,mulch,m^lC,4,2,2,1,3
mulct,11243,mulct,m^lkt,1,1,0,0,1
mule,11244,mule,myul,6,4,2,3,3
mull,11247,mull,m^l,24,23,1,14,10
mullein,11248,mullein,m^lxn,3,2,1,2,1
mullet,11249,mullet,m^l|t,4,4,0,3,1
mullion,11252,mullion,m^lyxn,1,0,1,0,1
mum,11262,mum,m^m,23,21,2,12,11
mumble,11263,mumble,m^mbL,6,5,1,6,0
mummer,11264,mummer,m^mX,6,5,1,2,4
mummy,11267,mummy,m^mi,8,7,1,4,4
mumps,11268,mumps,m^mps,1,1,0,1,0
munch,11269,munch,m^nC,8,7,1,4,4
mundane,11270,mundane,m^nden,1,0,1,0,1
murder,11276,murder,mRdX,5,5,0,2,3
murk,11277,murk,mRk,17,14,3,14,3
murmur,11278,murmur,mRmX,4,4,0,1,3
muscle,11281,muscle,m^sL,11,10,1,5,6
mush,11287,mush,m^S,15,15,0,6,9
musk,11292,musk,m^sk,11,9,2,6,5
muss,11301,muss,m^s,25,21,4,13,12
must,11303,must,m^st,16,12,4,10,6
mustard,11305,mustard,m^stXd,2,1,1,1,1
muster,11306,muster,m^stX,7,4,3,4,3
musty,11307,musty,m^sti,6,5,1,4,2
mute,11314,mute,myut,6,4,2,3,3
mutt,11321,mutt,m^t,30,26,4,18,12
mutter,11322,mutter,m^tX,15,12,3,11,4
mutton,11323,mutton,m^tN,4,3,1,2,2
muzzle,11326,muzzle,m^zL,6,6,0,3,3
my,11327,my,mY,32,24,8,17,15
mynah,11331,mynah,mYnx,6,5,1,2,4
myrrh,11335,myrrh,mR,18,15,3,7,11
myrtle,11336,myrtle,mRtL,7,7,0,7,0
mystery,11339,mystery,mIstXi,4,2,2,2,2
mystic,11340,mystic,mIstIk,4,3,1,2,2
mystical,11341,mystical,mIstIkL,1,0,1,0,1
mystique,11345,mystique,mIstik,2,1,1,0,2
myth,11346,myth,mIT,15,14,1,8,7
n,11350,n,En,29,13,16,18,11
nab,11351,nab,n@b,15,15,0,10,5
nacre,11354,nacre,nekX,4,3,1,2,2
nag,11356,nag,n@g,17,16,1,12,5
nail,11359,nail,nel,26,23,3,22,4
name,11365,name,nem,16,14,2,12,4
nap,11368,nap,n@p,20,19,1,15,5
nape,11370,nape,nep,14,12,2,10,4
nard,11381,nard,nard,12,11,1,9,3
nares,11382,nares,n@riz,1,1,0,1,0
naris,11383,naris,n@rxs,1,0,1,1,0
narrow,11388,narrow,n@ro,6,5,1,6,0
nasal,11391,nasal,nezL,5,5,0,3,2
nasty,11395,nasty,n@sti,3,2,1,3,0
natal,11396,natal,netL,4,4,0,2,2
natty,11411,natty,n@ti,7,5,2,6,1
nature,11417,nature,neCX,3,3,0,1,2
naught,11418,naught,nct,20,18,2,18,2
nautch,11421,nautch,ncC,5,4,1,3,2
naval,11425,naval,nevL,5,4,1,1,4
navy,11431,navy,nevi,5,3,2,2,3
nay,11432,nay,ne,25,21,4,15,10
neap,11436,neap,nip,19,18,1,13,6
near,11437,near,nIr,25,23,2,19,6
neat,11440,neat,nit,25,23,2,19,6
neath,11441,neath,niT,10,9,1,4,6
neb,11443,neb,nEb,10,9,1,7,3
neck,11452,neck,nEk,13,13,0,10,3
nectar,11460,nectar,nEktX,4,4,0,4,0
needle,11462,needle,nidL,6,5,1,3,3
needs,11465,needs,nidz,3,2,1,0,3
needy,11466,needy,nidi,4,3,1,1,3
neighbor,11480,neighbor,nebX,5,5,0,3,2
neither,11482,neither,niDX,2,1,1,2,0
neon,11488,neon,nian,2,2,0,2,0
nerve,11503,nerve,nRv,6,5,1,5,1
nest,11505,nest,nEst,15,13,2,11,4
nestle,11506,nestle,nEsL,5,5,0,3,2
net,11508,net,nEt,26,23,3,20,6
nether,11509,nether,nEDX,7,7,0,6,1
nettle,11511,nettle,nEtL,8,7,1,6,2
neuter,11523,neuter,nutX,4,3,1,3,1
never,11530,never,nEvX,4,3,1,3,1
newel,11534,newel,nuL,9,7,2,2,7
newly,11537,newly,nuli,3,3,0,2,1
news,11539,news,nuz,16,12,4,9,7
newsy,11541,newsy,nuzi,7,5,2,5,2
newt,11542,newt,nut,26,24,2,19,7
next,11543,next,nEkst,2,1,1,1,1
nib,11546,nib,nIb,15,14,1,8,7
nibble,11547,nibble,nIbL,8,6,2,4,4
niche,11549,niche,nIC,16,14,2,10,6
nick,11550,nick,nIk,23,20,3,14,9
nickel,11551,nickel,nIkL,10,9,1,5,5
nicker,11553,nicker,nIkX,12,9,3,7,5
niece,11556,niece,nis,14,12,2,7,7
nigh,11561,nigh,nY,27,22,5,17,10
nil,11566,nil,nIl,26,25,1,20,6
nimble,11567,nimble,nImbL,3,2,1,2,1
nine,11571,nine,nYn,21,19,2,16,5
ninny,11575,ninny,nIni,5,5,0,4,1
ninth,11576,ninth,nYnT,1,0,1,0,1
nip,11578,nip,nIp,25,21,4,16,9
nipper,11579,nipper,nIpX,8,7,1,4,4
nipple,11580,nipple,nIpL,7,6,1,2,5
nippy,11581,nippy,nIpi,5,3,2,1,4
nisei,11583,nisei,nise,1,0,1,0,1
niter,11584,niter,nYtX,5,4,1,4,1
nix,11592,nix,nIks,8,6,2,5,3
noble,11595,noble,nobL,5,3,2,5,0
nod,11601,nod,nad,20,15,5,12,8
noddle,11602,noddle,nadL,10,9,1,6,4
noddy,11603,noddy,nadi,8,7,1,5,3
node,11604,node,nod,20,17,3,13,7
noel,11608,noel,noEl,2,0,2,1,1
noise,11610,noise,nOz,4,3,1,3,1
noisy,11612,noisy,nOzi,3,2,1,2,1
nonage,11621,nonage,nanIJ,1,1,0,1,0
none,11632,none,n^n,20,20,0,15,5
nones,11634,nones,nonz,2,0,2,0,2
noodle,11654,noodle,nudL,7,5,2,5,2
nook,11655,nook,nUk,11,11,0,11,0
noon,11656,noon,nun,19,18,1,13,6
noose,11658,noose,nus,15,14,1,9,6
nor,11659,nor,nor,28,22,6,18,10
norm,11661,norm,norm,8,5,3,3,5
normal,11662,normal,normL,3,1,2,1,2
normally,11665,normally,normLi,1,0,1,0,1
norse,11666,Norse,nors,8,7,1,5,3
north,11667,north,norT,4,3,1,1,3
nose,11674,nose,noz,18,15,3,9,9
nosy,11679,nosy,nozi,7,6,1,6,1
notable,11681,notable,notxbL,2,1,1,2,0
notch,11685,notch,naC,7,7,0,3,4
note,11686,note,not,26,24,2,19,7
noun,11700,noun,nWn,8,7,1,7,1
novel,11703,novel,navL,3,3,0,1,2
now,11712,now,nW,16,15,1,9,7
nozzle,11717,nozzle,nazL,4,4,0,2,2
nth,11718,nth,EnT,3,2,1,0,3
nub,11720,nub,n^b,19,17,2,13,6
nubble,11722,nubble,n^bL,8,7,1,5,3
nude,11726,nude,nud,15,13,2,8,7
nudge,11727,nudge,n^J,8,8,0,3,5
null,11734,null,n^l,17,16,1,12,5
numb,11738,numb,n^m,17,17,0,12,5
number,11739,number,n^mbX,3,2,1,3,0
nurse,11752,nurse,nRs,10,10,0,9,1
nurture,11755,nurture,nRCX,1,1,0,1,0
nut,11756,nut,n^t,25,23,2,18,7
nuts,11762,nuts,n^ts,2,1,1,0,2
nutty,11764,nutty,n^ti,6,5,1,4,2
nuzzle,11765,nuzzle,n^zL,7,7,0,5,2
nymph,11767,nymph,nImf,1,1,0,1,0
o,11768,o,o,27,4,23,18,9
oaf,11769,oaf,of,13,11,2,4,9
oafish,11770,oafish,ofIS,2,1,1,2,0
oak,11771,oak,ok,25,12,13,13,12
oakum,11773,oakum,okM,5,3,2,2,3
oar,11774,oar,or,32,13,19,21,11
oat,11777,oat,ot,25,14,11,16,9
oath,11778,oath,oT,12,9,3,3,9
obese,11785,obese,obis,1,0,1,0,1
obey,11786,obey,obe,6,5,1,3,3
obi,11789,obi,obi,6,4,2,2,4
obit,11790,obit,obIt,2,1,1,2,0
oblique,11804,oblique,oblik,1,0,1,1,0
oboe,11810,oboe,obo,5,3,2,2,3
obtain,11831,obtain,xbten,2,0,2,2,0
occlude,11842,occlude,xklud,1,0,1,1,0
occult,11843,occult,xk^lt,2,1,1,2,0
occur,11847,occur,xkR,2,1,1,2,0
ochre,11853,ochre,okX,9,7,2,6,3
odd,11865,odd,ad,15,5,10,13,2
odds,11867,odds,adz,4,3,1,3,1
ode,11868,ode,od,24,12,12,13,11
odor,11871,odor,odX,8,6,2,7,1
of,11874,of,xv,4,1,3,1,3
off,11875,off,cf,12,7,5,4,8
offend,11877,offend,xfEnd,7,5,2,6,1
offense,11878,offense,xfEns,3,1,2,2,1
offer,11880,offer,cfX,6,4,2,3,3
offering,11881,offering,cfXIG,1,0,1,1,0
offing,11890,offing,cfIG,3,2,1,2,1
offish,11891,offish,cfIS,3,2,1,2,1
oft,11894,oft,cft,7,3,4,3,4
ogle,11896,ogle,ogL,6,5,1,5,1
ogre,11897,ogre,ogX,7,7,0,6,1
ohm,11898,ohm,om,20,11,9,11,9
ohmic,11899,ohmic,omIk,1,1,0,0,1
oil,11900,oil,Ol,14,8,6,14,0
okay,11902,okay,oke,6,3,3,3,3
old,11904,old,old,11,1,10,10,1
oleo,11909,oleo,olio,3,0,3,3,0
olive,11914,olive,alIv,1,0,1,1,0
omen,11916,omen,omxn,6,2,4,6,0
omit,11918,omit,omIt,4,3,1,3,1
once,11924,once,w^ns,4,2,2,2,2
one,11926,one,w^n,18,17,1,17,1
oneness,11927,oneness,w^n|s,1,0,1,0,1
onto,11936,onto,cntu,2,2,0,2,0
onus,11937,onus,on|s,3,2,1,3,0
onyx,11939,onyx,anIks,1,0,1,1,0
ooze,11941,ooze,uz,10,3,7,9,1
oozy,11942,oozy,uzi,6,1,5,5,1
opal,11943,opal,opL,5,4,1,4,1
ope,11946,ope,op,20,10,10,10,10
open,11947,open,opxn,4,3,1,1,3
opener,11948,opener,opxnX,1,0,1,0,1
opine,11962,opine,opYn,3,2,1,2,1
opossum,11965,opossum,xpasM,2,1,1,1,1
oppose,11968,oppose,xpoz,3,1,2,2,1
oppress,11971,oppress,xprEs,2,0,2,2,0
opt,11974,opt,apt,2,2,0,2,0
opus,11986,opus,opxs,1,1,0,0,1
oracle,11987,oracle,crxkL,2,1,1,2,0
oral,11989,oral,orL,8,5,3,5,3
orate,11994,orate,oret,9,7,2,8,1
orb,12000,orb,orb,2,1,1,0,2
order,12011,order,ordX,5,2,3,4,1
ordure,12019,ordure,orJX,2,2,0,0,2
orgy,12031,orgy,orJi,1,1,0,0,1
oriel,12032,oriel,oriL,4,1,3,3,1
oriole,12042,oriole,oriol,2,2,0,2,0
ornate,12048,ornate,ornet,1,0,1,0,1
orris,12054,orris,cr|s,3,2,1,3,0
osier,12069,osier,oZX,5,5,0,5,0
osprey,12072,osprey,aspri,2,1,1,2,0
other,12083,other,^DX,5,4,1,5,0
otter,12085,otter,atX,6,4,2,6,0
ounce,12088,ounce,Wns,3,0,3,3,0
ours,12089,ours,Wrz,1,0,1,0,1
oust,12091,oust,Wst,5,2,3,4,1
ouster,12092,ouster,WstX,6,4,2,5,1
out,12093,out,Wt,18,8,10,15,3
outer,12108,outer,WtX,5,3,2,4,1
outfight,12111,outfight,WtfYt,2,2,0,1,1
outfit,12112,outfit,WtfIt,1,1,0,0,1
outing,12123,outing,WtIG,1,1,0,1,0
outre,12138,outre,utre,2,1,1,2,0
outright,12141,outright,WtrYt,2,1,1,2,0
oval,12156,oval,ovL,6,6,0,4,2
ovary,12158,ovary,ovXi,3,1,2,0,3
over,12161,over,ovX,10,7,3,6,4
overall,12164,overall,ovXcl,3,0,3,0,3
overalls,12165,overalls,ovXclz,1,0,1,0,1
overawe,12167,overawe,ovXc,3,1,2,0,3
overhaul,12181,overhaul,ovXhcl,1,0,1,0,1
overlap,12187,overlap,ovXl@p,1,1,0,0,1
overlay,12188,overlay,ovXle,2,1,1,0,2
overleap,12189,overleap,ovXlip,2,1,1,0,2
overly,12192,overly,ovXli,3,1,2,0,3
overplay,12195,overplay,ovXple,1,0,1,0,1
overt,12204,overt,ovRt,2,1,1,2,0
ovoid,12215,ovoid,ovOd,2,1,1,2,0
ovum,12217,ovum,ovM,3,3,0,1,2
owl,12218,owl,Wl,15,10,5,13,2
own,12221,own,on,27,13,14,18,9
ox,12223,ox,aks,6,2,4,6,0
oyster,12232,oyster,OstX,5,4,1,5,0
ozone,12233,ozone,ozon,1,0,1,1,0
p,12234,p,pi,34,22,12,18,16
pa,12235,pa,pa,14,6,8,2,12
pace,12237,pace,pes,30,22,8,18,12
pacer,12239,pacer,pesX,7,5,2,2,5
pack,12246,pack,p@k,30,27,3,19,11
package,12247,package,p@kIJ,1,1,0,1,0
packer,12248,packer,p@kX,8,7,1,4,4
packet,12249,packet,p@k|t,5,4,1,4,1
pact,12251,pact,p@kt,10,6,4,4,6
pad,12252,pad,p@d,26,22,4,15,11
padding,12253,padding,p@dIG,4,4,0,4,0
paddle,12254,paddle,p@dL,10,8,2,6,4
paddock,12255,paddock,p@dxk,1,1,0,1,0
paddy,12256,paddy,p@di,7,6,1,3,4
paean,12259,paean,pian,3,1,2,1,2
page,12261,page,peJ,16,14,2,7,9
paid,12266,paid,ped,22,18,4,13,9
pail,12267,pail,pel,34,32,2,25,9
pain,12268,pain,pen,32,29,3,22,10
paint,12270,paint,pent,12,9,3,9,3
pair,12271,pair,pEr,26,22,4,20,6
pal,12275,pal,p@l,20,19,1,10,10
palace,12276,palace,p@lxs,7,7,0,5,2
palate,12281,palate,p@l|t,7,7,0,6,1
paling,12292,paling,pelIG,4,4,0,4,0
pall,12295,pall,pcl,24,21,3,21,3
pallet,12298,pallet,p@lxt,5,5,0,2,3
pallid,12302,pallid,p@lxd,5,5,0,3,2
pallor,12303,pallor,p@lX,6,5,1,3,3
palm,12304,palm,pam,14,9,5,4,10
palmer,12306,palmer,pamX,6,5,1,1,5
palmy,12309,palmy,pami,5,4,1,0,5
palter,12317,palter,pcltX,4,3,1,4,0
pampa,12318,pampa,p@mpx,1,1,0,0,1
