lower,node,ortho,phono,original,replace,delete_insert,pos_l50,pos_m50
atoll,1220,atoll,@tcl,2,1,1,2,0
atom,1221,atom,@tM,5,4,1,3,2
atonal,1225,atonal,etonL,2,0,2,1,1
atonally,1227,atonally,etonLi,1,0,1,0,1
atone,1228,atone,xton,5,4,1,3,2
atop,1229,atop,xtap,2,1,1,2,0
attach,1235,attach,xt@C,1,1,0,0,1
attack,1238,attack,xt@k,4,3,1,3,1
attain,1239,attain,xten,7,5,2,4,3
attaint,1243,attaint,xtent,2,0,2,1,1
attar,1244,attar,@tX,18,6,12,16,2
attempt,1245,attempt,xtEmpt,1,0,1,1,0
attend,1246,attend,xtEnd,5,4,1,5,0
attention,1248,attention,xtEnC|n,2,1,1,2,0
attest,1251,attest,xtEst,2,1,1,2,0
attic,1253,attic,@tIk,4,1,3,4,0
attire,1254,attire,xtYr,2,1,1,2,0
attract,1258,attract,xtr@kt,1,0,1,1,0
attune,1265,attune,xtun,3,2,1,1,2
auger,1285,auger,cgX,4,4,0,4,0
aught,1286,aught,ct,23,10,13,15,8
auk,1291,auk,ck,16,8,8,11,5
auld,1292,auld,cld,4,1,3,2,2
aura,1293,aura,crx,2,2,0,1,1
aural,1294,aural,crL,7,3,4,6,1
aureole,1297,aureole,criol,2,2,0,2,0
auricle,1298,auricle,crIkL,3,3,0,3,0
austere,1304,austere,cstIr,1,0,1,1,0
author,1312,author,cTX,3,3,0,3,0
auto,1319,auto,cto,4,2,2,2,2
autumn,1337,autumn,ctM,4,3,1,2,2
avail,1341,avail,xvel,2,1,1,2,0
avast,1346,avast,xv@st,2,1,1,2,0
avaunt,1348,avaunt,xvcnt,2,1,1,2,0
avenge,1350,avenge,xvEnJ,1,1,0,0,1
aver,1352,aver,xvR,5,2,3,1,4
averse,1355,averse,xvRs,4,2,2,2,2
aversion,1356,aversion,xvRZ|n,1,0,1,1,0
avert,1357,avert,xvRt,5,4,1,3,2
avid,1363,avid,@vxd,1,1,0,1,0
avoid,1370,avoid,xvOd,3,1,2,3,0
avouch,1372,avouch,xvWC,2,0,2,1,1
avow,1373,avow,xvW,5,2,3,2,3
await,1375,await,xwet,6,4,2,4,2
awake,1376,awake,xwek,4,2,2,2,2
award,1378,award,xword,5,4,1,5,0
aware,1379,aware,xwEr,4,3,1,4,0
awash,1380,awash,xwcS,1,0,1,1,0
awe,1381,awe,c,20,4,16,15,5
aweary,1382,aweary,xwIri,2,1,1,2,0
aweigh,1383,aweigh,xwe,6,3,3,4,2
awful,1386,awful,cfL,4,3,1,1,3
awhile,1387,awhile,xhwYl,2,1,1,1,1
awhirl,1388,awhirl,xhwRl,2,1,1,1,1
awn,1390,awn,cn,16,9,7,11,5
awning,1391,awning,cnIG,2,2,0,2,0
awol,1392,AWOL,ewcl,1,0,1,1,0
awry,1393,awry,xrY,9,6,3,6,3
axe,1394,axe,@ks,9,4,5,6,3
axial,1395,axial,@ksiL,2,1,1,0,2
axle,1399,axle,@ksL,2,0,2,0,2
ay,1400,ay,Y,25,4,21,21,4
ayah,1401,ayah,Yx,7,4,3,3,4
azure,1405,azure,@ZX,3,3,0,3,0
b,1406,b,bi,35,24,11,20,15
babble,1407,babble,b@bL,12,12,0,8,4
babe,1408,babe,beb,13,10,3,2,11
babel,1409,Babel,bebL,16,14,2,12,4
baby,1412,baby,bebi,5,4,1,3,2
back,1418,back,b@k,32,28,4,20,12
bad,1428,bad,b@d,30,27,3,19,11
badge,1429,badge,b@J,13,12,1,2,11
badger,1430,badger,b@JX,3,2,1,0,3
baffle,1433,baffle,b@fL,6,5,1,1,5
bag,1434,bag,b@g,28,26,2,17,11
bagel,1437,bagel,begL,3,3,0,1,2
baggy,1439,baggy,b@gi,3,2,1,2,1
baht,1442,baht,bat,34,31,3,26,8
bail,1443,bail,bel,33,30,3,24,9
bairn,1447,bairn,bErn,6,5,1,3,3
bait,1448,bait,bet,33,29,4,23,10
baize,1449,baize,bez,22,19,3,13,9
bake,1450,bake,bek,29,26,3,20,9
bald,1457,bald,bcld,4,2,2,3,1
baleen,1462,baleen,bxlin,3,3,0,0,3
balk,1464,balk,bck,19,18,1,15,4
ball,1465,ball,bcl,24,21,3,19,5
ballad,1466,ballad,b@lxd,3,3,0,3,0
