node,ortho,phono
2724,castled,k@sLd
2725,castor,k@stX
2732,cat,k@t
2750,catch,k@C
2751,catchy,k@Ci
2756,cater,ketX
2772,cattle,k@tL
2773,catty,k@ti
2778,caudal,kcdL
2779,caught,kct
2781,causal,kczL
2783,causally,kczLi
2786,cause,kcz
2797,cave,kev
2801,cavil,k@vL
2804,cavy,kevi
2805,caw,kc
2806,cay,ki
2808,cease,sis
2809,cecum,sikM
2810,cedar,sidX
2811,cede,sid
2812,ceiling,silIG
2819,celery,sElXi
2822,cell,sEl
2823,cellar,sElX
2826,cello,CElo
2831,celt,sElt
2839,censer,sEnsX
2843,censure,sEnCX
2845,cent,sEnt
2851,center,sEntX
2867,century,sEnCXi
2882,certain,sRtN
2893,Chablis,S@bli
2894,chafe,Cef
2895,chafer,CefX
2896,chaff,C@f
2897,chaffer,C@fX
2900,chain,Cen
2901,chair,CEr
2902,chaise,Sez
2904,chalet,S@le
2905,chalice,C@lxs
2906,chalk,Cck
2909,challis,S@li
2914,chamois,S@mi
2916,champ,C@mp
2919,chance,C@ns
2920,chancel,C@nsL
2921,chancellor,C@nsLX
2922,chancellory,C@nsLXi
2924,chancy,C@nsi
2927,change,CenJ
2929,channel,C@nL
2932,chant,C@nt
2934,chantry,C@ntri
2935,chanty,S@nti
2936,chaos,keas
2938,chap,C@p
2940,chapel,C@pL
2946,chaps,C@ps
2947,chapter,C@ptX
2948,char,Car
2957,chard,Card
2958,charge,CarJ
2959,charger,CarJX
2966,charm,Carm
2967,charnel,CarnL
2968,chart,Cart
2969,charter,CartX
2972,chary,C@ri
2973,chase,Ces
2974,chaser,CesX
2975,chasm,k@zM
2976,chassis,C@si
2977,chaste,Cest
2978,chasten,CesN
2982,chat,C@t
2983,chateau,S@to
2985,chattel,C@tL
2986,chatter,C@tX
2988,chatty,C@ti
2989,chauffeur,SofX
2990,chaunt,Ccnt
2993,cheap,Cip
2996,cheat,Cit
2997,check,CEk
2998,checker,CEkX
2999,checkers,CEkXz
3004,cheddar,CEdX
3005,cheek,Cik
3006,cheeky,Ciki
3007,cheer,CIr
3009,cheery,CIri
3010,cheese,Ciz
3011,chef,SEf
3012,chela,kilx
3019,chenille,Sxnil
3020,cherish,CErIS
3022,cherry,CEri
3023,chert,CRt
3026,chess,CEs
3027,chest,CEst
3033,chew,Cu
3037,chic,Sik
3039,chick,CIk
3044,chid,CId
3045,chidden,CIdN
3046,chide,CYd
3048,chiding,CYdIG
3049,chief,Cif
3053,chigger,CIgX
3056,child,CYld
3061,chill,CIl
3063,chime,CYm
3065,chimp,CImp
3067,chin,CIn
3068,china,CYnx
3071,chink,CIGk
3074,chip,CIp
3076,chipper,CIpX
3081,chirp,CRp
3082,chisel,CIzL
3083,chit,CIt
3088,chive,CYv
3089,chloral,klorL
3096,chock,Cak
3098,choice,COs
3099,choir,kwYX
3100,choke,Cok
3101,choler,kalX
3102,cholera,kalXx
3105,chon,Can
3106,choose,Cuz
3107,choosey,Cuzi
3108,chop,Cap
3109,choppy,Capi
3110,chops,Caps
3112,choral,korL
3113,chord,kord
3114,chore,Cor
3118,chortle,CortL
3119,chorus,kor|s
3120,chose,Coz
3121,chosen,CozN
3122,chow,CW
3123,chowder,CWdX
3124,chrism,krIzM
3125,Christ,krYst
3126,christen,krIsN
3133,chrome,krom
3135,chromo,kromo
3137,chronic,kranIk
3138,chronicle,kranIkL
3147,chub,C^b
3148,chubby,C^bi
3149,chuck,C^k
3150,chuckle,C^kL
3151,chug,C^g
3152,chukka,C^kx
3153,chum,C^m
3154,chummy,C^mi
3155,chump,C^mp
3156,chunk,C^Gk
3157,church,CRC
3158,churl,CRl
3159,churn,CRn
3160,chute,Sut
3166,cider,sYdX
3169,cinch,sInC
3172,cinder,sIndX
3178,cipher,sYfX
3179,circa,sRkx
3180,circle,sRkL
3181,circlet,sRkl|t
3182,circuit,sRk|t
3205,circus,sRk|s
3207,cistern,sIstXn
3210,cite,sYt
3216,city,sIti
3217,civet,sIvxt
3218,civic,sIvIk
3219,civil,sIvL
3224,clack,kl@k
3225,clad,kl@d
3226,claim,klem
3229,clam,kl@m
3230,clamber,kl@mbX
3231,clammy,kl@mi
3232,clamor,kl@mX
3233,clamp,kl@mp
3234,clan,kl@n
3236,clang,kl@G
3237,clangor,kl@GX
3238,clank,kl@Gk
3239,clap,kl@p
3241,clapper,kl@pX
3243,claret,kl@rxt
3247,clarion,kl@rixn
3248,clarity,kl@rxti
3249,clash,kl@S
3250,clasp,kl@sp
3251,class,kl@s
3258,clatter,kl@tX
3259,clause,klcz
3264,claw,klc
3265,clay,kle
3266,clean,klin
3268,cleanse,klEnz
3269,clear,klIr
3273,cleat,klit
3275,cleave,kliv
3276,clef,klEf
3277,cleft,klEft
3280,clench,klEnC
3284,clerk,klRk
3285,clever,klEvX
3286,clew,klu
3288,click,klIk
3291,cliff,klIf
3296,climb,klYm
3297,clinch,klInC
3298,cling,klIG
3301,clink,klIGk
3302,clinker,klIGkX
3303,clip,klIp
3305,clique,klik
3306,cloak,klok
3307,cloche,kloS
3308,clock,klak
3309,clod,klad
3310,clog,klag
3312,cloister,klOstX
3313,clop,klap
3314,close,klos
3317,closure,kloZX
3318,clot,klat
3319,cloth,klcT
3320,clothe,kloD
3321,clothes,kloz
3324,cloture,kloCX
3325,cloud,klWd
3326,clout,klWt
3327,clove,klov
3329,clover,klovX
3330,clown,klWn
3331,cloy,klO
3332,club,kl^b
3333,cluck,kl^k
3334,clump,kl^mp
3336,clung,kl^G
3337,cluster,kl^stX
3338,clutch,kl^C
3339,clutter,kl^tX
3340,coach,koC
3343,coal,kol
3348,coarse,kors
3349,coarsen,korsN
3350,coast,kost
3352,coat,kot
3354,coax,koks
3356,cob,kab
3358,cobble,kabL
3359,cobbler,kablX
3363,coca,kokx
3367,cock,kak
3374,cockeye,kakY
3375,cockle,kakL
3376,cockney,kakni
3377,cocky,kaki
3378,coco,koko
3381,cod,kad
3382,coda,kodx
3383,coddle,kadL
3384,code,kod
3388,codger,kaJX
3398,coerce,koRs
3402,coffee,kcfi
3403,coffer,kcfX
3405,cog,kag
3417,coheir,koEr
3420,coif,kOf
3421,coiffeur,kwafR
3423,coil,kOl
3424,coin,kOn
3429,coke,kok
3430,cola,kolx
3432,cold,kold
3434,colic,kalIk
3438,collapse,kxl@ps
3439,collard,kalXd
3440,collate,kolet
3443,colleague,kalig
3444,collect,kxlEkt
3447,colleen,kalin
3448,college,kalIJ
3451,collide,kxlYd
3452,collie,kali
3453,collier,kalyX
3456,colloid,kalOd
3462,cologne,kxlon
3464,colonel,kRnL
3471,color,k^lX
3474,colored,k^lXd
3479,colt,kolt
3481,column,kalM
3484,coma,komx
3485,comb,kom
3489,comber,komX
3495,come,k^m
3499,comedy,kamxdi
3502,comet,kamxt
3508,comic,kamIk
3510,comity,kamxti
3511,comma,kamx
3512,command,kxm@nd
3515,commander,kxm@ndX
3517,commando,kxm@ndo
3519,commence,kxmEns
3520,commend,kxmEnd
3539,common,kamxn
3613,con,kan
3634,conch,kaGk
3636,conchs,kaGks
3670,condor,kandX
3677,cone,kon
3679,coney,koni
3731,conic,kanIk
3742,conjure,kanJX
3743,connect,kxnEkt
3751,conquer,kaGkX
3806,consul,kansL
3913,coo,ku
3914,cook,kUk
3915,cookery,kUkXi
3916,cooky,kUki
3917,cool,kul
3919,coolie,kuli
3920,coon,kun
3921,coop,kup
3922,cooper,kupX
3926,coot,kut
3927,cootie,kuti
3928,cop,kap
3930,cope,kop
3934,copper,kapX
