Node,Item,AllD,ReplaceD,DelinsD,NumSylls,NumPhones,Duration,PhonND,FreqSUBTLEX,FreqCOCA,FreqCOCAspok,FreqGoogle,PhonUP,Dbet
3476,cast,18,14,4,1,4,522,68,1180,13176,2191,33399422,5,k&st
3478,caste,18,14,4,1,4,435,68,44,1171,73,1166877,5,k&st
3482,casting,3,3,0,2,6,671,9,212,3182,472,8072907,7,k&stIN
3484,castor,9,6,3,2,5,478,50,67,831,186,971100,6,k&stR
3486,casts,7,4,3,1,5,657,26,50,1279,120,1646123,5,k&sts
3492,cat,28,24,4,1,3,298,117,3383,10074,1207,46849873,4,k&t
3506,catch,18,17,1,1,3,579,75,6911,16857,2617,20403264,4,k&C
3507,catcher,2,0,2,2,4,345,32,191,1234,87,1877712,5,k&CR
3508,catches,3,3,0,2,5,509,14,336,3045,204,2615877,5,k&C^z
3509,catching,3,3,0,2,5,481,15,648,3957,465,4274928,6,k&CIN
3519,cater,6,4,2,2,4,389,61,64,578,79,2092828,5,ketR
3520,caterer,1,0,1,3,5,499,6,106,187,19,1022391,6,ketRR
3521,catering,1,1,0,3,6,472,2,138,867,97,13638302,5,ketRIN
3530,cats,12,10,2,1,4,446,94,1006,4215,652,15738388,5,k&ts
3532,cattle,6,6,0,2,5,399,44,674,4090,351,8542988,6,k&t^l
3536,caucus,2,1,1,2,5,659,15,15,1899,895,1831830,5,kak^s
3538,caudal,4,3,1,2,5,393,38,0,24,0,271590,6,kad^l
3539,caught,29,24,5,1,3,477,134,4791,23155,4521,17750070,4,kat
3542,causal,2,2,0,2,5,461,15,10,1411,30,2015266,5,k>z^l
3544,cause,16,10,6,1,3,464,105,15812,32020,8057,65907985,4,k>z
3545,caused,5,4,1,1,4,521,9,1318,16290,3172,27036899,4,k>zd
3551,caution,3,3,0,2,5,502,21,263,3235,568,6542160,6,kaS^n
3553,cautioned,1,1,0,2,6,541,5,5,846,75,845390,6,k>S^nd
3554,cautions,2,2,0,2,6,698,6,2,961,61,885761,6,k>S^nz
3555,cautious,1,1,0,2,5,659,4,171,2839,689,1901221,6,k>S^s
3558,cave,19,17,2,1,3,470,75,713,4364,413,7669404,4,kev
3559,caved,7,6,1,1,4,509,17,57,331,82,189190,4,kevd
3563,caves,9,8,1,1,4,479,37,202,1319,173,2358085,4,kevz
3566,cayenne,1,1,0,2,4,539,9,38,805,23,987712,3,k#En
3567,cease,23,20,3,1,3,509,126,445,3232,1223,4082891,4,sis
3568,ceased,9,6,3,1,4,515,25,68,1496,92,2207677,5,sist
3569,ceases,2,2,0,2,5,591,14,37,375,34,1198216,5,sisIz
3570,cedar,10,8,2,2,4,499,64,127,1971,146,9488016,5,sidR
3571,cede,37,28,9,1,3,456,143,6,232,31,207651,4,sid
3572,ceiling,17,12,5,2,5,552,35,426,7021,855,10391461,6,silIN
3573,ceilings,5,2,3,2,6,630,13,51,997,75,2143491,6,silINz
3581,celery,4,2,2,3,5,569,17,95,1682,85,1256388,5,sElRi
3584,cell,25,17,8,1,3,359,133,2772,17288,3641,113072063,4,sEl
3585,cellar,15,7,8,2,4,422,113,478,1152,44,3002258,5,sElR
3587,cello,4,4,0,2,4,416,23,95,589,68,2358848,5,CElo
3589,cells,22,14,8,1,4,496,97,610,12737,1766,44129124,5,sElz
3596,censor,10,5,5,2,5,571,27,42,395,118,887109,6,sEnsR
3597,censored,7,5,2,2,6,660,9,23,1715,1480,1168665,6,sEnsRd
3598,censors,7,5,2,2,6,607,20,20,270,68,387588,6,sEnsRz
3600,censure,5,4,1,2,5,553,13,8,328,55,452851,6,sEnSR
3601,censured,3,2,1,2,6,489,3,10,129,27,124053,6,sEnSRd
3604,cent,23,14,9,1,4,503,68,483,3031,250,30837557,5,sEnt
3606,center,13,6,7,2,5,455,45,2335,74697,10678,294324066,6,sEntR
3607,centered,7,4,3,2,6,488,15,49,4670,277,5823521,6,sEntRd
3610,centers,9,5,4,2,6,585,24,124,11365,1237,35590976,6,sEntRz
3620,centre,13,6,7,2,5,451,45,505,2382,44,97259970,6,sEntR
3623,cents,11,6,5,1,5,479,41,1114,5686,1404,10301064,5,sEnts
3624,centuries,1,0,1,3,7,708,1,382,7232,609,6510767,7,sEnCRiz
3625,century,2,1,1,3,6,578,3,1063,44644,3861,54929645,7,sEnCRi
3635,certain,4,4,0,2,5,537,29,4354,42058,9555,73108213,6,sRt^n
3648,cession,4,2,2,2,5,549,14,0,87,9,134553,6,sES^n
3652,chafe,4,4,0,1,3,469,17,13,130,6,123596,4,Cef
3654,chain,19,17,2,1,3,334,108,1082,9888,1099,35938524,4,Cen
3655,chains,13,12,1,1,4,521,71,387,3040,299,9923382,4,Cenz
3656,chair,29,23,6,1,3,429,94,2511,19652,1787,40765136,4,CEr
3657,chairing,10,10,0,2,5,499,33,10,122,29,266089,6,CErIN
3660,chairs,19,14,5,1,4,458,58,504,6639,522,15833441,4,CErz
3662,chaise,27,26,1,1,3,465,121,15,232,0,599684,3,Sez
3664,chalk,19,18,1,1,3,409,80,183,1145,75,2498717,4,Cak
3676,chamois,3,2,1,2,4,584,23,11,139,3,356783,4,S&mi
3677,champ,7,6,1,1,4,385,24,771,1171,134,2872397,5,C&mp
3684,champs,5,3,2,1,5,559,13,56,399,72,2391773,5,C&mps
3685,chance,5,3,2,1,4,538,25,12303,33018,9747,43463277,5,C&ns
3686,chanced,3,1,2,1,5,562,7,12,124,0,165085,5,C&nst
3687,chancel,3,2,1,2,6,550,11,0,37,0,197855,7,C&ns^l
3690,chances,2,2,0,2,6,601,4,1472,7116,1695,7980733,6,C&ns^z
3692,change,5,3,2,1,4,508,17,12258,80896,18784,210606359,5,CenJ
3694,changed,3,2,1,1,5,491,5,5148,29733,7968,45453899,5,CenJd
3695,changeling,1,0,1,2,7,554,1,11,320,12,163007,5,CenJlIN
3696,changes,1,1,0,2,6,547,3,1481,35947,4589,130570944,6,CenJ^z
3697,changing,3,2,1,2,6,469,5,1339,16892,3202,32077367,6,CenJIN
3698,channel,5,3,2,2,5,442,23,1245,8967,1355,67360048,6,C&n^l
3699,channels,3,2,1,2,6,501,11,280,4097,496,23429894,6,C&n^lz
3700,chant,8,4,4,1,4,490,33,116,906,104,1374428,5,C&nt
3701,chanting,3,2,1,2,6,599,7,215,1077,214,828312,6,C&ntIN
3702,chants,5,1,4,1,5,487,25,33,493,56,727229,5,C&nts
3703,chaos,3,2,1,2,4,548,14,479,4860,1194,8709959,4,keas
3705,chapel,4,2,2,2,5,393,17,406,3162,300,9025491,6,C&p^l
3706,chapels,3,1,2,2,6,636,10,11,162,14,496127,6,C&p^lz
3711,chapped,12,9,3,1,4,379,22,19,132,5,131439,5,C&pt
3712,chaps,13,12,1,1,4,456,37,131,201,14,791470,4,C&ps
3713,chapter,4,1,3,2,5,468,7,604,8897,1082,87884703,6,C&ptR
3714,chapters,2,1,1,2,6,558,3,101,1997,155,12814410,6,C&ptRz
3725,charade,2,1,1,2,4,639,6,112,273,75,366594,5,SRed
3727,charge,7,5,2,1,4,477,16,4559,19516,5409,56542975,5,CarJ
3728,charged,3,1,2,1,5,562,6,737,11927,3619,21377577,5,CarJd
3729,charger,4,3,1,2,5,482,8,62,422,19,13863803,6,CarJR
3731,charging,1,1,0,2,6,450,6,320,2696,549,5805957,6,CarJIN
3739,charm,7,5,2,1,4,435,15,794,2861,363,10557764,5,Carm
3740,charming,2,2,0,2,6,437,7,1434,2912,404,5553736,7,CarmIN
3741,charms,3,1,2,1,5,609,17,173,731,46,6168649,5,Carmz
3742,charred,12,11,1,1,4,468,29,38,764,87,296588,5,Card
3743,chart,12,9,3,1,4,379,32,483,5701,424,35031298,5,Cart
3744,charter,8,7,1,2,5,449,22,151,3320,405,19192440,6,CartR
3745,chartings,1,1,0,2,7,538,2,0,0,0,8642,7,CartINz
3747,charts,8,6,2,1,5,513,25,333,2568,351,25433797,5,Carts
3748,chase,17,13,4,1,3,410,38,1673,6499,1242,10975462,4,Ces
3749,chased,12,11,1,1,4,483,20,431,1573,236,1006299,4,Cest
3750,chaser,5,4,1,2,4,454,17,66,209,48,1668181,5,CesR
3751,chases,6,6,0,2,5,464,16,65,446,75,490125,5,Ces^z
3752,chasing,4,4,0,2,5,413,10,933,2554,504,2647727,5,CesIN
3754,chassis,2,2,0,2,4,506,29,33,565,19,5955012,4,C&si
3755,chaste,12,11,1,1,4,513,20,30,238,13,289676,4,Cest
3757,chat,14,10,4,1,3,346,60,830,2994,745,83643143,4,C&t
3758,chatted,2,2,0,2,5,403,5,19,579,63,467353,5,C&t^d
3759,chattel,6,6,0,2,5,421,17,15,80,7,191116,5,C&t^l
3760,chatter,9,7,2,2,4,394,24,238,1131,127,1773397,5,C&tR
3761,chatting,5,4,1,2,5,425,10,171,1133,175,2016434,5,C&tIN
3762,chauffeur,2,1,1,2,4,564,38,287,408,43,821561,5,SofR
3763,chauffeured,1,0,1,2,5,665,7,6,95,13,177665,5,SofRd
3766,cheap,16,15,1,1,3,361,46,1848,7414,1141,97055447,4,Cip
3767,cheapen,1,1,0,2,5,409,5,16,35,10,69984,6,Cip^n
3768,cheaper,9,7,2,2,4,394,24,251,3380,647,8786062,4,CipR
3772,cheat,22,19,3,1,3,318,51,901,1411,365,9904417,4,Cit
3773,cheated,1,1,0,2,5,479,7,627,1056,294,818815,5,CitId
3774,cheater,10,8,2,2,4,384,36,109,196,79,510063,5,CitR
3775,cheating,7,6,1,2,5,411,12,948,2369,669,3615902,5,CitIN
3776,cheats,12,10,2,1,4,429,65,109,280,46,24107069,4,Cits
3777,check,17,14,3,1,3,367,65,14228,26608,6771,244508125,4,CEk
3779,checked,10,7,3,1,4,457,27,2382,6488,1167,15762439,4,CEkt
3780,checker,4,2,2,2,4,377,37,56,263,31,3577995,5,CEkR
3781,checking,3,3,0,2,5,424,7,1656,5110,1051,23708784,5,CEkIN
3785,checkout,1,0,1,2,5,509,2,64,484,63,31653325,6,CEk$t
3788,checks,15,12,3,1,4,451,47,759,5748,1329,22489800,4,CEks
3790,cheek,23,21,2,1,3,341,76,365,4412,267,2681244,4,Cik
3793,cheeks,10,9,1,1,4,349,45,225,3755,114,1977361,4,Ciks
3794,cheeky,2,1,1,2,4,400,17,64,173,25,895925,4,Ciki
3795,cheep,16,15,1,1,3,323,46,6,15,1,411919,4,Cip
3796,cheer,24,21,3,1,3,433,65,953,2030,372,3649712,4,CIr
3797,cheered,12,10,2,1,4,371,23,62,1141,183,622394,4,CIrd
3798,cheerful,1,1,0,2,6,520,4,190,1535,81,1722018,7,CIrf^l
