Node,Item,AllD,ReplaceD,DelinsD,NumSylls,NumPhones,Duration,PhonND,FreqSUBTLEX,FreqCOCA,FreqCOCAspok,FreqGoogle,PhonUP,Dbet
3324,capers,3,2,1,2,5,609,19,32,461,16,574209,5,kepRz
3325,capes,13,10,3,1,4,406,37,16,164,16,455411,4,keps
3339,caps,15,13,2,1,4,467,62,151,2331,343,12766712,5,k&ps
3340,capsule,2,1,1,2,6,495,13,130,1201,191,3315216,7,k&ps^l
3341,capsules,2,1,1,2,7,574,7,40,547,40,4104571,7,k&ps^lz
3351,captor,4,3,1,2,5,491,20,15,173,42,313307,6,k&ptR
3352,captors,3,2,1,2,6,585,10,29,605,206,369964,6,k&ptRz
3353,capture,5,2,3,2,5,599,14,540,6377,914,17823473,6,k&pCR
3354,captured,2,1,1,2,6,471,2,618,6549,1497,8081642,6,k&pCRd
3355,captures,4,3,1,2,6,588,6,31,1319,145,3642295,6,k&pCRz
3357,car,25,17,8,1,3,339,162,24636,60316,12604,264728586,4,kar
3363,carb,9,6,3,1,4,312,54,0,1482,19,5813312,5,karb
3368,carbons,1,1,0,2,7,501,6,8,32,1,186590,7,karb^nz
3369,carbs,4,2,2,1,5,498,34,54,694,46,1716071,5,karbz
3370,carcass,1,0,1,2,6,492,8,79,557,33,811220,7,kark^s
3373,card,20,15,5,1,4,529,73,4357,17668,3388,181392776,5,kard
3378,cards,8,6,2,1,5,609,35,2449,10619,1753,121098342,5,kardz
3379,care,30,21,9,1,3,347,143,24748,91854,24156,225351564,4,kEr
3380,cared,13,9,4,1,4,450,48,723,3525,700,2333049,4,kErd
3381,career,3,2,1,2,4,474,12,2305,30744,4976,71249453,5,kRIr
3382,careers,2,1,1,2,5,549,4,157,4279,583,47344590,5,kRIrz
3391,cares,23,17,6,1,4,444,98,2023,2927,891,4758855,4,kErz
3392,caressing,1,0,1,3,6,518,2,19,248,12,279783,6,kREsIN
3393,caret,2,2,0,2,5,358,25,0,10,5,284139,6,k&r^t
3400,caring,10,8,2,2,5,515,41,359,4541,745,7254196,6,kErIN
3402,carmel,3,2,1,2,6,418,21,29,783,29,3192702,7,karm^l
3403,carmine,4,2,2,2,6,486,56,111,190,14,452762,7,karm^n
3404,carnal,1,1,0,2,6,347,25,61,203,7,550376,6,karn^l
3405,carney,1,1,0,2,5,381,49,31,637,192,817574,6,karni
3416,carrel,5,5,0,2,5,376,61,1,85,44,93297,6,k&r^l
3417,carriage,1,1,0,2,5,444,20,381,1780,110,4664470,6,kEr^J
3418,carried,9,6,3,2,5,474,29,1026,15263,1829,27222989,6,kErid
3419,carrier,6,3,3,3,5,517,41,326,3150,548,22919197,6,kEriR
3420,carriers,4,2,2,3,6,526,11,128,2607,504,10644210,6,kEriRz
3421,carries,11,8,3,2,5,589,67,333,5174,534,6902951,5,kEriz
3422,carrot,6,5,1,2,5,374,32,195,1510,139,1949964,6,kEr^t
3423,carrots,2,1,1,2,6,619,12,198,2548,160,1756446,6,kEr^ts
3424,carry,22,16,6,2,4,377,126,3361,17736,3255,33056477,5,kEri
3427,carrying,3,2,1,3,6,612,8,1451,11012,1852,16328349,5,kEriIN
3429,cars,16,12,4,1,4,515,102,2327,20494,4114,109722086,5,karz
3431,cart,17,11,6,1,4,324,82,461,3129,254,152159382,5,kart
3432,carte,17,11,6,1,4,294,82,60,356,37,2722336,5,kart
3436,carter,10,8,2,2,5,639,40,1669,9265,2986,13236345,6,kartR
3440,carton,4,2,2,2,6,449,42,96,619,44,2028105,7,kart^n
3441,cartons,3,2,1,2,7,602,12,59,488,28,826215,7,kart^nz
3442,cartoon,3,1,2,2,6,560,5,192,2448,514,19619909,7,kartun
3444,cartoons,3,2,1,2,7,588,3,144,1359,312,15008440,7,kartunz
3445,cartoony,2,1,1,3,7,608,2,0,26,3,74997,7,kartuni
3448,carts,10,7,3,1,5,408,45,96,1004,76,3562377,5,karts
3451,carve,8,5,3,1,4,469,45,158,1148,157,952422,5,karv
3452,carved,3,1,2,1,5,417,5,197,3860,149,3908746,5,karvd
3453,carver,3,2,1,2,5,428,24,161,1141,31,1623528,6,karvR
3459,case,22,18,4,1,3,362,100,14403,98299,33259,235573247,4,kes
3461,cases,6,6,0,2,5,469,19,1436,38363,8007,86261466,5,kes^z
3465,cash,19,15,4,1,3,448,82,3694,15035,2727,79175050,4,k&S
3468,casing,6,6,0,2,5,509,16,96,518,103,1563984,6,kesIN
3471,cask,7,6,1,1,4,455,34,6,104,7,484364,5,k&sk
3475,cassette,2,2,0,2,5,446,8,93,856,67,10853321,6,k^sEt
